model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
EuroCOVIDhub-ensemble,inc case,1,AT,620.3788164251208,344.0551449275362,31.258454106280194,245.06521739130434,0.05439613526570049,0.275,920.7777777777778,0.8151426950081984,NA,0.6666666666666666,0.9444444444444444,920.7777777777778,18,18
IEM_Health-CovidProject,inc case,1,AT,793.8303381642512,350.5767149758454,17.864734299516908,425.3888888888889,-0.056714975845410624,0.44166666666666665,1205.8333333333333,1.0512790829058476,NA,0.3888888888888889,0.8333333333333334,1205.8333333333333,18,18
ILM-EKF,inc case,1,AT,760.7427053140096,461.81516908212564,20.32850241545894,278.5990338164251,0.11719806763285025,0.19166666666666668,1044,0.9445837045594242,NA,0.6666666666666666,1,1044,18,18
LANL-GrowthRate,inc case,1,AT,566.1704603580563,310.2727621483376,179.88235294117646,76.0153452685422,0.029104859335038365,-0.2882352941176471,899.6470588235294,0.6759879381124732,NA,0.47058823529411764,0.9411764705882353,899.6470588235294,17,5
RobertWalraven-ESG,inc case,1,AT,595.4477559055118,374.15641732283467,32.27165354330709,189.01968503937007,0.07921259842519685,0.20905511811023622,787.0787401574803,0.9737655920355098,NA,0.6111111111111112,0.9444444444444444,1049.888888888889,18,18
USC-SIkJalpha,inc case,1,AT,953.6624879227053,347.54413043478263,41.270531400966185,564.8478260869565,-0.27410628019323674,0.55,1107.2777777777778,1.2822746518345924,NA,0.2777777777777778,0.4444444444444444,1107.2777777777778,18,18
epiforecasts-EpiExpert,inc case,1,AT,765.0399516908212,282.1269082125604,65.34782608695652,417.5652173913044,-0.11468599033816425,0.35,1161.6666666666667,0.9837296602639906,NA,0.3333333333333333,0.8888888888888888,1161.6666666666667,9,0
epiforecasts-EpiNow2,inc case,1,AT,575.7554830917875,227.08881642512077,135.74637681159422,212.92028985507247,-0.18231884057971015,0.04833333333333334,905.4444444444445,0.745318301635238,NA,0.3888888888888889,0.6666666666666666,905.4444444444445,18,18
EuroCOVIDhub-ensemble,inc case,2,AT,1265.8072378516624,542.1550639386189,21.455242966751918,702.1969309462916,0.00864450127877238,0.3676470588235294,1885.0588235294117,0.8818475119780698,NA,0.5294117647058824,0.9411764705882353,1885.0588235294117,17,18
IEM_Health-CovidProject,inc case,2,AT,1689.109948849105,553.4091815856777,14.595907928388748,1121.1048593350383,-0.19595907928388748,0.5647058823529412,2601.823529411765,1.2081147117462285,NA,0.29411764705882354,0.7647058823529411,2601.823529411765,17,18
ILM-EKF,inc case,2,AT,1528.9685166240408,814.3598209718671,17.115089514066497,697.4936061381075,0.07514066496163684,0.2823529411764706,2181.4117647058824,0.9776044092906157,NA,0.6470588235294118,1,2181.4117647058824,17,18
LANL-GrowthRate,inc case,2,AT,980.62625,438.34092391304347,180.77989130434784,361.5054347826087,0.02239130434782609,0.048124999999999994,1567.0625,0.6498530632655233,NA,0.5625,0.9375,1567.0625,16,5
RobertWalraven-ESG,inc case,2,AT,831.6375757575757,488.6505627705628,34.476190476190474,308.5108225108225,0.13411255411255413,0.17662337662337663,1052.1038961038962,0.7726828504436734,NA,0.5882352941176471,0.8823529411764706,1663.2941176470588,17,18
USC-SIkJalpha,inc case,2,AT,1544.4846035805626,405.970537084399,51.62915601023018,1086.8849104859335,-0.3136061381074169,0.5735294117647058,1959.9411764705883,1.163792265979418,NA,0.23529411764705882,0.4117647058823529,1959.9411764705883,17,18
