model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
EuroCOVIDhub-ensemble,inc case,1,AT,754.7051717794362,424.14462237594387,25.590381754142637,304.97016764934966,0.06819875776397516,0.33571428571428574,1113.2652537112644,0.8445190236295259,NA,0.7142857142857143,0.9285714285714286,1113.2652537112644,14,14
IEM_Health-CovidProject,inc case,1,AT,965.1198703104434,441.66059212850485,0.9842182393958236,522.4750599425427,0.006086956521739133,0.48928571428571427,1473.5852156932137,1.0954226963477447,NA,0.42857142857142855,0.9285714285714286,1473.5852156932137,14,14
ILM-EKF,inc case,1,AT,936.0832462581337,575.9821706042956,7.987577639751553,352.1134980140866,0.1427329192546584,0.2357142857142857,1278.2346561659008,0.9865936255436525,NA,0.7142857142857143,1,1278.2346561659008,14,14
LANL-GrowthRate,inc case,1,AT,694.8167918060201,392.06863127090304,204.88327759197327,97.86488294314378,0.04287625418060201,-0.27692307692307694,1114.1153846153845,0.6653681415094923,NA,0.38461538461538464,1,1114.1153846153845,13,1
RobertWalraven-ESG,inc case,1,AT,803.4553567901235,497.13517160493825,18.220432098765414,288.09975308641975,0.04666666666666667,0.3277777777777778,1050.1835185185184,0.9816666692129258,NA,0.5714285714285714,0.9285714285714286,1257.333571428571,14,14
USC-SIkJalpha,inc case,1,AT,1154.7926242236024,439.49013975155276,37.77018633540373,677.532298136646,-0.19267080745341614,0.5642857142857143,1336.2142857142858,1.3622341988787212,NA,0.35714285714285715,0.5714285714285714,1336.2142857142858,14,14
epiforecasts-EpiExpert,inc case,1,AT,765.0290497682728,282.1324296736352,65.3425879114231,417.5540321832144,-0.11468599033816425,0.35,1161.5666666666666,0.9837245850900023,NA,0.3333333333333333,0.8888888888888888,1161.5666666666666,9,1
epiforecasts-EpiNow2,inc case,1,AT,692.0773447204969,284.4251708074534,145.74844720496895,261.90372670807454,-0.13055900621118013,0.07285714285714286,1096.0714285714287,0.7401160722919563,NA,0.5,0.6428571428571429,1096.0714285714287,14,14
EuroCOVIDhub-ensemble,inc case,2,AT,1595.643833545781,675.9020478270663,18.0202171900798,901.7215685286349,-0.003946488294314379,0.43461538461538457,2361.2202850389813,0.9357004484891418,NA,0.5384615384615384,0.9230769230769231,2361.2202850389813,13,14
IEM_Health-CovidProject,inc case,2,AT,2131.377890679798,704.2953257108395,1.7301480890341638,1425.3524168799245,-0.1511036789297659,0.6153846153846154,3279.2735923011755,1.2918141361312034,NA,0.38461538461538464,0.7692307692307693,3279.2735923011755,13,14
ILM-EKF,inc case,2,AT,1950.5291078615933,1038.4066373470898,6.3076923076923075,905.814778206811,0.08301003344481606,0.35384615384615387,2779.1274544851035,1.036829006679514,NA,0.6153846153846154,1,2779.1274544851035,13,14
LANL-GrowthRate,inc case,2,AT,1256.3248001811594,561.7186407608696,215.87971014492751,478.7264492753623,-0.0011594202898550696,0.10416666666666667,2022.375,0.6516436163693444,NA,0.5,1,2022.375,12,1
RobertWalraven-ESG,inc case,2,AT,1205.1514402877697,654.1924474820144,45.13748201438848,505.82151079136685,0.04618705035971223,0.2935251798561151,1575.000143884892,0.7895897775541229,NA,0.46153846153846156,0.8461538461538461,2094.481538461538,13,14
USC-SIkJalpha,inc case,2,AT,1919.3109264214047,522.2052408026756,43.37190635451504,1353.733779264214,-0.23806020066889633,0.5961538461538461,2450.6923076923076,1.2075765986932092,NA,0.3076923076923077,0.5384615384615384,2450.6923076923076,13,14
UVA-Ensemble,inc case,1,AT,1398.47342700268,648.5102032860513,145.30896011339516,604.6542636032335,-0.005494505494505495,0.23076923076923078,2719.023517464855,1.6071984380480475,NA,0.38461538461538464,1,2719.023517464855,13,13
epiforecasts-EpiExpert,inc case,2,AT,1678.8921548964397,404.2848444477803,102.45302208302705,1172.1542883656323,-0.12434782608695652,0.36,2344.2322916666626,1.0410490073265644,NA,0.375,0.625,2344.2322916666626,8,1
epiforecasts-EpiNow2,inc case,2,AT,1603.0236454849498,562.6657859531773,258.55852842809367,781.7993311036789,-0.19792642140468228,0.22153846153846152,2567.230769230769,0.8913315572650695,NA,0.23076923076923078,0.6923076923076923,2567.230769230769,13,14
DSMPG-bayes,inc case,1,AT,1265.0226127264777,319.9279125418243,5.915549490081231,939.1791506945723,-0.16782608695652174,0.58875,2029.8514593513491,0.9931444397658673,NA,0.25,0.75,2029.8514593513491,8,0
