model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
EuroCOVIDhub-ensemble,inc case,1,AT,720.1339284434158,403.0658214639244,23.88435630386646,293.18375067562494,0.05536231884057971,0.36,1068.2475701305134,0.8419904149315257,NA,0.6666666666666666,0.9333333333333333,1068.2475701305134,15,15
IEM_Health-CovidProject,inc case,1,AT,922.2856742940268,415.2862525806397,0.9186036901027688,506.08081802328434,-0.03159420289855072,0.5233333333333333,1406.8627540448674,1.0926668534284099,NA,0.4,0.8666666666666667,1406.8627540448674,15,15
ILM-EKF,inc case,1,AT,884.7314356380263,544.0718809698063,7.455072463768116,333.20448220445184,0.1307246376811594,0.26,1212.4190124215072,0.9761338213410583,NA,0.6666666666666666,1,1212.4190124215072,15,15
LANL-GrowthRate,inc case,1,AT,651.7429551242236,369.1973029503106,190.24875776397516,92.29689440993786,0.04956521739130435,-0.2285714285714286,1044.25,0.6563164394484285,NA,0.42857142857142855,1,1044.25,14,2
RobertWalraven-ESG,inc case,1,AT,741.8382378378378,470.1396972972973,15.955189189189175,255.74335135135135,0.07945945945945947,0.31189189189189187,960.3985405405404,0.9809483879716793,NA,0.6,0.9333333333333333,1195.3779999999997,15,15
USC-SIkJalpha,inc case,1,AT,1112.7976376811594,412.99531884057967,35.25217391304348,664.5501449275363,-0.21710144927536232,0.5933333333333334,1287.0666666666666,1.3662246655094499,NA,0.3333333333333333,0.5333333333333333,1287.0666666666666,15,15
epiforecasts-EpiExpert,inc case,1,AT,765.0290497682728,282.1324296736352,65.3425879114231,417.5540321832144,-0.11468599033816425,0.35,1161.5666666666666,0.9837245850900023,NA,0.3333333333333333,0.8888888888888888,1161.5666666666666,9,0
epiforecasts-EpiNow2,inc case,1,AT,656.3072463768116,267.831884057971,136.031884057971,252.44347826086957,-0.14753623188405796,0.13133333333333333,1040.2,0.7342918661923513,NA,0.4666666666666667,0.6666666666666666,1040.2,15,15
EuroCOVIDhub-ensemble,inc case,2,AT,1500.551385808039,637.6451934791703,16.733058819359815,846.1731335095087,-0.006335403726708072,0.4464285714285714,2226.918836107626,0.9269339556323661,NA,0.5,0.9285714285714286,2226.918836107626,14,15
IEM_Health-CovidProject,inc case,2,AT,1995.2933330782319,662.6910074649602,1.6065660826745807,1330.995759530597,-0.14298136645962733,0.6142857142857143,3074.6901197623242,1.2715276353828222,NA,0.35714285714285715,0.7857142857142857,3074.6901197623242,14,15
ILM-EKF,inc case,2,AT,1820.7727430143366,973.0223744309934,5.857142857142857,841.8932257262003,0.09925465838509318,0.34285714285714286,2589.832636307596,1.0190010149079896,NA,0.6428571428571429,1,2589.832636307596,14,15
LANL-GrowthRate,inc case,2,AT,1167.5048976588628,526.1560682274247,199.44749163879598,441.90133779264215,0.029498327759197328,0.08846153846153845,1870.8076923076924,0.6409306208926085,NA,0.5384615384615384,1,1870.8076923076924,13,2
RobertWalraven-ESG,inc case,2,AT,1085.870935185185,609.7322932098765,38.72907407407406,437.40956790123454,0.08370370370370371,0.2802469135802469,1397.9569135802467,0.7924892339880265,NA,0.5,0.8571428571428571,1968.3042857142855,14,15
USC-SIkJalpha,inc case,2,AT,1810.1783664596273,487.13364596273294,40.27391304347825,1282.7708074534162,-0.2609937888198758,0.625,2306.3571428571427,1.1969665115763566,NA,0.2857142857142857,0.5,2306.3571428571427,14,15
UVA-Ensemble,inc case,1,AT,1384.7853865266918,634.3221986393387,134.92974867672407,615.5334392106291,-0.01020408163265306,0.2714285714285714,2724.8523365832684,1.6572147158542072,NA,0.35714285714285715,1,2724.8523365832684,14,14
epiforecasts-EpiExpert,inc case,2,AT,1614.2931985552893,372.6532221178337,91.069352962690715,1150.570623474765,-0.17265700483091787,0.4311111111111111,2244.5953703703667,1.0934310140956218,NA,0.3333333333333333,0.5555555555555556,2244.5953703703667,9,0
epiforecasts-EpiNow2,inc case,2,AT,1493.3115838509318,526.4917080745341,240.8633540372671,725.9565217391305,-0.16782608695652174,0.18428571428571427,2390.214285714286,0.8728550199906867,NA,0.2857142857142857,0.7142857142857143,2390.214285714286,14,15
DSMPG-bayes,inc case,1,AT,1265.0226127264777,319.9279125418243,5.915549490081231,939.1791506945723,-0.16782608695652174,0.58875,2029.8514593513491,0.9931444397658673,NA,0.25,0.75,2029.8514593513491,8,0
EuroCOVIDhub-ensemble,inc case,3,AT,2516.954559642853,950.1254407091639,6.811467203205999,1560.0176517304833,-0.05076923076923077,0.5461538461538461,3762.485980934497,0.941848255314298,NA,0.46153846153846156,0.8461538461538461,3762.485980934497,13,15
IEM_Health-CovidProject,inc case,3,AT,3532.517779377977,997.106486385906,0,2535.411292992071,-0.25812709030100334,0.7884615384615384,5446.116376977403,1.411404865150959,NA,0.23076923076923078,0.6923076923076923,5446.116376977403,13,15
ILM-EKF,inc case,3,AT,3103.751572832208,1573.1093958790448,7.531772575250835,1523.1104043779121,0.029498327759197328,0.46153846153846156,4711.519732331772,1.0772846777129477,NA,0.5384615384615384,1,4711.519732331772,13,15
LANL-GrowthRate,inc case,3,AT,2117.728486956522,709.3319652173914,244.27934782608696,1164.1171739130434,-0.12434782608695652,0.39,3449.2083333333335,0.7585999625010267,NA,0.4166666666666667,0.8333333333333334,3449.2083333333335,12,2
RobertWalraven-ESG,inc case,3,AT,1442.6317618705036,763.6803230215827,79.42237410071942,599.5290647482014,0.06057553956834533,0.3535971223021583,1919.3032374100721,0.672531459485514,NA,0.46153846153846156,0.8461538461538461,2699.936153846154,13,15
USC-SIkJalpha,inc case,3,AT,3003.6485050167225,574.77827090301,23.229431438127097,2405.6408026755853,-0.34508361204013377,0.6615384615384615,3461.076923076923,1.1906560115857936,NA,0.23076923076923078,0.3076923076923077,3461.076923076923,13,15
UVA-Ensemble,inc case,2,AT,2186.7754537424457,801.5783157272842,269.3792511947352,1115.8178868204263,-0.11538461538461539,0.19230769230769232,4512.758579086766,1.418441099946736,NA,0.3076923076923077,0.9230769230769231,4512.758579086766,13,14
epiforecasts-EpiExpert,inc case,3,AT,3039.395215477317,552.5250934524918,142.18499509061647,2344.6851269342087,-0.27652173913043476,0.365,4171.9983333333375,1.0610546825302087,NA,0.25,0.5,4171.9983333333375,8,0
epiforecasts-EpiNow2,inc case,3,AT,2340.9502173913042,838.5957023411371,197.47826086956522,1304.876254180602,-0.19123745819397994,0.22923076923076924,3640.4615384615386,0.8412859977895392,NA,0.3076923076923077,0.6153846153846154,3640.4615384615386,13,15
DSMPG-bayes,inc case,2,AT,2186.280528151048,650.7897934740026,14.77356531342491,1520.7171693636208,-0.15695652173913044,0.54125,3566.8625297270546,0.8747781989648433,NA,0.375,0.875,3566.8625297270546,8,0
EuroCOVIDhub-ensemble,inc case,4,AT,3727.6761073625394,1354.4565537347771,0,2373.2195536277623,-0.16782608695652174,0.7066666666666667,5754.402951128927,0.9817256999303502,NA,0.25,0.75,5754.402951128927,12,15
IEM_Health-CovidProject,inc case,4,AT,5629.968052719636,1494.2537260182692,0,4135.714326701367,-0.40695652173913044,0.9175,8779.979588574352,1.5951893566636528,NA,0.08333333333333333,0.4166666666666667,8779.979588574352,12,15
ILM-EKF,inc case,4,AT,4856.7831615882715,2417.6443719586887,0.7681159420289851,2438.3706736875533,-0.03739130434782608,0.5666666666666667,7569.533844846745,1.1383295821262682,NA,0.3333333333333333,1,7569.533844846745,12,15
LANL-GrowthRate,inc case,4,AT,2978.2563797101448,895.5930463768116,169.84891304347826,1912.8144202898552,-0.20405797101449274,0.6208333333333333,4736.375,0.8611916754581826,NA,0.25,0.8333333333333334,4736.375,12,2
RobertWalraven-ESG,inc case,4,AT,1921.3134387931034,936.540076724138,86.06293103448279,898.7104310344828,0.02827586206896552,0.3581896551724138,2438.6002586206896,0.5992992187541892,NA,0.4166666666666667,0.75,3261.7375,12,15
UMass-SemiMech,inc case,1,AT,963.3026449275362,582.2591666666667,44.05434782608696,336.9891304347826,0.013333333333333336,0.45833333333333337,1513.8333333333333,1.151075689386258,NA,0.5,1,1513.8333333333333,12,12
USC-SIkJalpha,inc case,4,AT,4176.342079710145,734.5181666666667,0,3441.823913043478,-0.3417391304347826,0.8166666666666667,5099.166666666667,1.1824474977392865,NA,0.25,0.3333333333333333,5099.166666666667,12,15
UVA-Ensemble,inc case,3,AT,3269.5829747759876,912.5980815226497,574.3765455084994,1782.6083477448383,-0.2012987012987013,0.3318181818181818,5614.793029801421,1.2746079339373781,NA,0.36363636363636365,0.7272727272727273,5614.793029801421,11,9
epiforecasts-EpiExpert,inc case,4,AT,4008.1170963444097,719.8148684078253,14.977549999619582,3273.3246779369647,-0.27652173913043476,0.69375,5502.08,1.0848847290503778,NA,0.25,0.5,5502.08,8,0
epiforecasts-EpiNow2,inc case,4,AT,3060.902898550725,1145.45,129.67753623188406,1785.7753623188405,-0.13884057971014493,0.3041666666666667,4828.916666666667,0.7320513426961551,NA,0.4166666666666667,0.8333333333333334,4828.916666666667,12,15
DSMPG-bayes,inc case,3,AT,4715.066073008463,1533.2493947061823,0,3181.8166783022807,-0.22869565217391305,0.796,7689.097018755037,1.0922806818340696,NA,0.2,0.8,7689.097018755037,5,0
LANL-GrowthRate,inc case,5,AT,4176.360495454545,1155.4539341897234,39.983003952569156,2980.923557312253,-0.3140711462450593,0.7618181818181818,6235.454545454545,0.8588138894868762,NA,0.18181818181818182,0.5454545454545454,6235.454545454545,11,2
UMass-SemiMech,inc case,2,AT,1744.3949802371542,822.7902371541502,54.569169960474305,867.0355731225296,-0.10063241106719367,0.5772727272727273,2804.5454545454545,1.1143917622304982,NA,0.2727272727272727,1,2804.5454545454545,11,12
USC-SIkJalpha,inc case,5,AT,5662.391063241107,924.4321699604743,0,4737.958893280633,-0.44055335968379444,0.9,7399.636363636364,1.1643966314954217,NA,0.09090909090909091,0.18181818181818182,7399.636363636364,11,15
UVA-Ensemble,inc case,4,AT,5545.868069581038,871.7036896682738,285.4512765443477,4388.713103368417,-0.3253968253968254,0.4,8256.429223174642,1.7959810300990424,NA,0.2222222222222222,0.4444444444444444,8256.429223174642,9,9
bisop-seirfilterlite,inc case,1,AT,1410.0249275362319,235.95246376811593,312.0869565217391,861.9855072463768,-0.3272463768115942,0.21666666666666667,2033.6666666666667,1.0321557244989368,NA,0,0.6666666666666666,2033.6666666666667,3,0
DSMPG-bayes,inc case,4,AT,6135.838722050746,2249.8741001634075,0,3885.9646218873377,-0.22869565217391305,0.8099999999999999,9970.374092838943,1.0858732887917852,NA,0,1,9970.374092838943,5,0
LANL-GrowthRate,inc case,6,AT,5497.098987608696,1469.2014658695653,7.915217391304348,4019.9823043478264,-0.3417391304347826,0.785,7628.75,NA,NA,0.2,0.4,7628.75,10,2
