model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,998,297,315,386,1,1527,1,0.33,1,0.01,1,27,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,530,298,61,171,0.49,800,0.51,0.67,0.93,0.15,1,27,Austria
IEM_Health-CovidProject,inc case,1,AT,670,278,83,309,0.62,993,0.62,0.44,0.81,0.27,1,27,Austria
ILM-EKF,inc case,1,AT,758,415,105,238,0.75,1044,0.7,0.63,0.93,0.12,1,27,Austria
LANL-GrowthRate,inc case,1,AT,544,261,218,65,0.53,836,0.52,0.42,0.92,-0.28,1,26,Austria
USC-SIkJalpha,inc case,1,AT,831,271,174,387,0.8,985,0.64,0.3,0.56,0.23,1,27,Austria
epiforecasts-EpiNow2,inc case,1,AT,648,275,150,223,0.69,1013,0.69,0.41,0.74,0.01,1,27,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1796,581,495,720,1,2946,1,0.31,1,0.02,1,26,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,1109,478,148,483,0.57,1576,0.5,0.58,0.88,0.18,1,26,Austria
IEM_Health-CovidProject,inc case,2,AT,1465,429,230,806,0.76,2194,0.71,0.31,0.73,0.32,1,26,Austria
ILM-EKF,inc case,2,AT,1482,720,191,571,0.8,2109,0.71,0.58,0.88,0.17,1,26,Austria
LANL-GrowthRate,inc case,2,AT,1019,398,361,260,0.56,1540,0.5,0.56,0.84,-0.08,1,25,Austria
USC-SIkJalpha,inc case,2,AT,1452,312,373,767,0.8,1837,0.62,0.19,0.46,0.24,1,26,Austria
epiforecasts-EpiNow2,inc case,2,AT,1741,662,328,752,1.09,2693,0.98,0.31,0.77,0.05,1,26,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2470,811,610,1050,1,4181,1,0.4,1,0.07,1,25,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,1850,692,282,876,0.7,2776,0.64,0.36,0.84,0.22,1,25,Austria
IEM_Health-CovidProject,inc case,3,AT,2417,624,418,1375,0.87,3635,0.81,0.16,0.68,0.28,1,25,Austria
ILM-EKF,inc case,3,AT,2362,1114,300,948,0.91,3503,0.81,0.48,0.88,0.18,1,25,Austria
LANL-GrowthRate,inc case,3,AT,1769,526,647,596,0.71,2582,0.58,0.38,0.75,-0.02,1,24,Austria
USC-SIkJalpha,inc case,3,AT,2418,358,606,1454,0.97,2792,0.67,0.12,0.24,0.19,1,25,Austria
epiforecasts-EpiNow2,inc case,3,AT,3612,1471,396,1746,1.8,5217,1.42,0.32,0.6,0.06,1,25,Austria
EuroCOVIDhub-baseline,inc case,4,AT,3044,1001,641,1402,1,5213,1,0.38,1,0.11,1,24,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,2790,983,442,1365,0.89,4216,0.79,0.25,0.75,0.21,1,24,Austria
IEM_Health-CovidProject,inc case,4,AT,3592,880,636,2076,1.02,5422,0.93,0.21,0.54,0.23,1,24,Austria
ILM-EKF,inc case,4,AT,3445,1601,466,1378,1.05,5158,0.93,0.42,0.83,0.15,1,24,Austria
LANL-GrowthRate,inc case,4,AT,2575,618,944,1013,0.85,3838,0.71,0.22,0.65,0.04,1,23,Austria
