model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
EuroCOVIDhub-ensemble,inc case,1,AT,631.6874936061381,363.753989769821,18.506393861892583,249.42710997442455,0.08537084398976982,0.3458823529411765,939.0588235294117,0.7521297147597403,NA,0.7058823529411765,0.9411764705882353,939.0588235294117,17,18
IEM_Health-CovidProject,inc case,1,AT,821.3680818414323,370.1455754475703,0.8107416879795396,450.4117647058824,-0.027161125319693093,0.5264705882352941,1253.5294117647059,0.9549807848091291,NA,0.4117647058823529,0.8823529411764706,1253.5294117647059,17,18
ILM-EKF,inc case,1,AT,788.5130690537085,486.9478516624041,6.578005115089514,294.98721227621485,0.14675191815856778,0.25882352941176473,1078.8235294117646,0.8779612532583624,NA,0.7058823529411765,1,1078.8235294117646,17,18
LANL-GrowthRate,inc case,1,AT,576.6717934782608,328.0821195652174,167.8233695652174,80.7663043478261,0.0658695652173913,-0.24375000000000002,923.1875,0.60329502040721,NA,0.5,1,923.1875,16,5
RobertWalraven-ESG,inc case,1,AT,623.4162337662337,402.79718614718615,12.779220779220779,207.83982683982683,0.10813852813852814,0.30952380952380953,802.2207792207793,0.9403132684904815,NA,0.6470588235294118,0.9411764705882353,1074.2941176470588,17,18
USC-SIkJalpha,inc case,1,AT,995.9593606138108,366.7854475703325,31.099744245524295,598.074168797954,-0.2573401534526854,0.6411764705882353,1151.1176470588234,1.2460429425856518,NA,0.29411764705882354,0.47058823529411764,1151.1176470588234,17,18
epiforecasts-EpiExpert,inc case,1,AT,765.0399516908212,282.1269082125604,65.34782608695652,417.5652173913044,-0.11468599033816425,0.35,1161.6666666666667,0.9850318813928759,NA,0.3333333333333333,0.8888888888888888,1161.6666666666667,9,0
epiforecasts-EpiNow2,inc case,1,AT,588.9076470588235,239.57005115089515,123.8925831202046,225.44501278772378,-0.160153452685422,0.11,934.1764705882352,0.6942352648776428,NA,0.4117647058823529,0.7058823529411765,934.1764705882352,17,18
EuroCOVIDhub-ensemble,inc case,2,AT,1316.5616032608696,576.6376902173913,12.111413043478262,727.8125,0.03326086956521739,0.43124999999999997,1955,0.907030273726727,NA,0.625,0.9375,1955,16,18
IEM_Health-CovidProject,inc case,2,AT,1778.5759782608695,585.9998913043478,1.4021739130434783,1191.1739130434783,-0.18413043478260868,0.659375,2739.375,1.2679159058982916,NA,0.3125,0.75,2739.375,16,18
ILM-EKF,inc case,2,AT,1608.6472826086956,862.4353260869566,5.125,741.0869565217391,0.09847826086956522,0.35625,2290.25,1.010306469040352,NA,0.6875,1,2290.25,16,18
LANL-GrowthRate,inc case,2,AT,1023.5162898550725,465.0496231884058,172.8608695652174,385.6057971014493,0.05536231884057971,0.11666666666666665,1636.8666666666666,0.635722344760517,NA,0.6,1,1636.8666666666666,15,5
RobertWalraven-ESG,inc case,2,AT,901.1263942307693,528.3427403846154,30.158653846153847,342.625,0.14346153846153847,0.2514423076923077,1125.4278846153845,0.7984396740088098,NA,0.5625,0.875,1742.9375,16,18
USC-SIkJalpha,inc case,2,AT,1620.3338043478261,430.2713043478261,35.247282608695656,1154.8152173913045,-0.2982608695652174,0.671875,2058.0625,1.1965318889252414,NA,0.25,0.4375,2058.0625,16,18
UVA-Ensemble,inc case,1,AT,1280.9973214285715,597.9616071428571,118.05357142857143,564.9821428571429,0,0.31875,2543.125,1.7050553858873725,NA,0.375,1,2543.125,16,17
epiforecasts-EpiExpert,inc case,2,AT,1614.2889855072465,372.6416425120773,91.08212560386474,1150.5652173913043,-0.17265700483091787,0.4311111111111111,2244.777777777778,1.0946230101045156,NA,0.3333333333333333,0.5555555555555556,2244.777777777778,9,0
epiforecasts-EpiNow2,inc case,2,AT,1318.215489130435,465.12853260869565,215.00543478260872,638.0815217391305,-0.16782608695652174,0.1425,2112.625,0.8639970057102565,NA,0.25,0.75,2112.625,16,18
DSMPG-bayes,inc case,1,AT,1265.000054347826,319.92940217391305,5.918478260869565,939.1521739130435,-0.16782608695652174,0.58875,2029.875,0.9945587862561931,NA,0.25,0.75,2029.875,8,0
EuroCOVIDhub-ensemble,inc case,3,AT,2210.4071304347826,851.9839420289856,5.901449275362319,1352.5217391304348,-0.06637681159420289,0.5733333333333334,3328,0.9278245183820211,NA,0.4666666666666667,0.8666666666666667,3328,15,18
IEM_Health-CovidProject,inc case,3,AT,3106.5790144927537,878.0601739130435,0,2228.5188405797103,-0.2634782608695652,0.79,4789.533333333334,1.3829363004920072,NA,0.2,0.6666666666666666,4789.533333333334,15,18
ILM-EKF,inc case,3,AT,2709.75231884058,1378.6189855072464,6.527536231884058,1324.6057971014493,0.043768115942028986,0.4533333333333333,4108.2,1.0531429746570335,NA,0.5333333333333333,1,4108.2,15,18
LANL-GrowthRate,inc case,3,AT,1847.6836335403727,624.5594099378882,209.3913043478261,1013.7329192546584,-0.11813664596273292,0.42714285714285716,3009.8571428571427,0.7512424256910963,NA,0.42857142857142855,0.8571428571428571,3009.8571428571427,14,5
