model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.58,NA,0.61,0.96,NA,419,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.32,0.93,0.08,726,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.8,0.73,0.56,0.94,0.03,726,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.06,0.98,0.4,0.82,0.09,716,32,NA
ILM-EKF,inc case,1,Overall,1.04,1,0.44,0.87,-0,725,32,NA
Karlen-pypm,inc case,1,Overall,1.66,1.21,0.51,0.88,0.17,152,29,NA
LANL-GrowthRate,inc case,1,Overall,0.89,0.82,0.56,0.91,-0.31,695,32,NA
MUNI-ARIMA,inc case,1,Overall,0.59,0.73,0.55,0.89,-0.02,471,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.02,1.14,0.36,0.73,-0.16,726,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.75,NA,NA,NA,NA,631,32,NA
USC-SIkJalpha,inc case,1,Overall,1.1,1.25,0.37,0.5,0.05,726,32,NA
UVA-Ensemble,inc case,1,Overall,2,NA,0.44,0.77,NA,698,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.89,0.78,0.36,0.82,0.19,227,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.88,0.92,0.56,0.93,0.12,94,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.69,0.76,0.34,0.7,0.29,83,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.15,1.14,0.49,0.85,0.01,724,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.72,NA,0.57,0.95,NA,402,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.4,0.88,0.09,693,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.9,0.91,0.45,0.88,0.07,693,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.08,1.1,0.3,0.7,0.12,684,32,NA
ILM-EKF,inc case,2,Overall,1.35,1.46,0.38,0.81,0.01,692,32,NA
Karlen-pypm,inc case,2,Overall,3.09,2.14,0.32,0.74,0.3,123,29,NA
LANL-GrowthRate,inc case,2,Overall,0.87,0.86,0.49,0.86,-0.21,663,32,NA
MUNI-ARIMA,inc case,2,Overall,0.7,0.79,0.56,0.9,-0.06,438,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.92,0.98,0.33,0.65,-0.24,693,32,NA
USC-SIkJalpha,inc case,2,Overall,1,1.23,0.31,0.41,0.02,693,32,NA
UVA-Ensemble,inc case,2,Overall,1.58,NA,0.42,0.69,NA,665,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.97,1.01,0.29,0.7,0.22,222,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.9,1.07,0.38,0.79,0.21,90,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.82,0.96,0.27,0.58,0.31,79,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.26,1.42,0.4,0.81,-0.01,691,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.84,0.12,660,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.02,1.07,0.37,0.82,0.13,660,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.25,1.3,0.26,0.63,0.16,652,32,NA
ILM-EKF,inc case,3,Overall,1.69,2.03,0.36,0.78,0.02,659,32,NA
Karlen-pypm,inc case,3,Overall,4.51,3.03,0.27,0.61,0.4,94,29,NA
LANL-GrowthRate,inc case,3,Overall,0.89,0.92,0.42,0.78,-0.11,629,32,NA
MUNI-ARIMA,inc case,3,Overall,0.83,0.85,0.53,0.89,-0.12,375,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.91,0.94,0.3,0.61,-0.29,660,32,NA
USC-SIkJalpha,inc case,3,Overall,0.97,1.22,0.28,0.37,-0.01,660,32,NA
UVA-Ensemble,inc case,3,Overall,1.3,NA,0.35,0.61,NA,600,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.12,1.34,0.24,0.66,0.26,217,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,1.04,1.32,0.31,0.73,0.25,86,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,1.17,1.41,0.13,0.47,0.29,75,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.29,1.39,0.36,0.76,-0.03,658,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.82,0.15,627,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.16,1.25,0.33,0.77,0.16,627,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.42,1.46,0.25,0.56,0.15,620,32,NA
ILM-EKF,inc case,4,Overall,2.22,2.8,0.35,0.76,0.02,625,32,NA
Karlen-pypm,inc case,4,Overall,4.33,2.53,0.17,0.55,0.44,65,29,NA
LANL-GrowthRate,inc case,4,Overall,0.89,0.92,0.34,0.75,-0.01,596,32,NA
MUNI-ARIMA,inc case,4,Overall,0.89,0.89,0.51,0.87,-0.16,343,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.87,0.92,0.33,0.61,-0.34,627,32,NA
USC-SIkJalpha,inc case,4,Overall,0.95,1.23,0.27,0.35,-0.03,627,32,NA
UVA-Ensemble,inc case,4,Overall,1.24,NA,0.26,0.49,NA,535,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,1.29,1.7,0.22,0.62,0.32,211,32,NA
epiforecasts-EpiExpert_Rt,inc case,4,Overall,1.11,1.42,0.23,0.62,0.24,82,19,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,1.49,1.99,0.14,0.39,0.31,70,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.31,1.39,0.32,0.71,-0.05,625,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.28,0.71,0.08,564,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.23,0.32,-0.07,595,32,NA
BIOCOMSC-Gompertz,inc death,1,Overall,0.66,NA,0.46,0.87,NA,378,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.52,0.96,0.14,731,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.59,0.56,0.71,0.97,0.11,731,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.91,0.82,0.57,0.89,0.07,719,32,NA
ILM-EKF,inc death,1,Overall,0.76,0.82,0.86,0.98,0.11,730,32,NA
Imperial-DeCa,inc death,1,Overall,0.95,1.17,0.19,0.43,-0.19,324,22,NA
Imperial-RtI0,inc death,1,Overall,0.98,1.08,0.33,0.66,-0.03,324,22,NA
Imperial-sbkp,inc death,1,Overall,0.9,1.03,0.25,0.61,-0.05,324,22,NA
Karlen-pypm,inc death,1,Overall,0.48,0.68,0.59,0.97,-0,152,29,NA
LANL-GrowthRate,inc death,1,Overall,0.75,0.67,0.38,0.85,0,700,32,NA
MUNI-ARIMA,inc death,1,Overall,0.52,0.75,0.6,0.94,0.08,475,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.8,0.75,0.6,0.86,-0.05,731,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.75,NA,NA,NA,NA,635,32,NA
UMass-MechBayes,inc death,1,Overall,0.71,0.77,0.54,0.92,0.13,631,32,NA
USC-SIkJalpha,inc death,1,Overall,0.79,0.91,0.39,0.5,0.23,731,32,NA
USyd-OneModelMan,inc death,1,Overall,0.68,NA,NA,NA,NA,635,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,1.04,0.77,0.4,0.77,0.17,225,32,NA
epiforecasts-EpiExpert_Rt,inc death,1,Overall,0.81,0.91,0.43,0.86,0.17,94,19,NA
epiforecasts-EpiNow2,inc death,1,Overall,1,0.9,0.55,0.93,0.17,704,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,0.67,NA,0.47,0.87,NA,361,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.65,0.94,0.15,698,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.47,0.45,0.69,0.97,0.18,698,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.92,0.8,0.5,0.88,0.11,688,32,NA
ILM-EKF,inc death,2,Overall,0.69,0.66,0.79,0.98,0.15,697,32,NA
Karlen-pypm,inc death,2,Overall,0.5,0.66,0.45,0.94,0.14,123,29,NA
LANL-GrowthRate,inc death,2,Overall,0.61,0.53,0.38,0.82,0.01,667,32,NA
MUNI-ARIMA,inc death,2,Overall,0.47,0.73,0.62,0.96,0.1,442,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.73,0.72,0.61,0.84,-0.07,698,32,NA
UMass-MechBayes,inc death,2,Overall,0.51,0.58,0.53,0.92,0.16,598,32,NA
USC-SIkJalpha,inc death,2,Overall,0.62,0.64,0.4,0.53,0.27,698,32,NA
USyd-OneModelMan,inc death,2,Overall,0.64,NA,NA,NA,NA,602,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,0.93,0.68,0.32,0.76,0.24,221,32,NA
epiforecasts-EpiExpert_Rt,inc death,2,Overall,0.59,0.71,0.38,0.72,0.26,90,19,NA
epiforecasts-EpiNow2,inc death,2,Overall,0.88,0.79,0.49,0.91,0.23,673,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.66,0.91,0.18,665,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.47,0.43,0.65,0.95,0.24,665,32,NA
IEM_Health-CovidProject,inc death,3,Overall,1.01,0.85,0.46,0.87,0.15,656,32,NA
ILM-EKF,inc death,3,Overall,0.76,0.66,0.7,0.97,0.17,663,32,NA
Karlen-pypm,inc death,3,Overall,0.67,0.78,0.33,0.84,0.25,94,29,NA
LANL-GrowthRate,inc death,3,Overall,0.56,0.46,0.37,0.79,0.05,634,32,NA
MUNI-ARIMA,inc death,3,Overall,0.44,0.77,0.63,0.96,0.08,378,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.75,0.73,0.61,0.83,-0.08,665,32,NA
UMass-MechBayes,inc death,3,Overall,0.51,0.54,0.51,0.92,0.16,565,32,NA
USC-SIkJalpha,inc death,3,Overall,0.62,0.6,0.36,0.49,0.3,665,32,NA
USyd-OneModelMan,inc death,3,Overall,0.68,NA,NA,NA,NA,569,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,0.8,0.6,0.33,0.77,0.31,216,32,NA
epiforecasts-EpiExpert_Rt,inc death,3,Overall,0.53,0.63,0.2,0.69,0.38,86,19,NA
epiforecasts-EpiNow2,inc death,3,Overall,0.91,0.82,0.49,0.9,0.24,641,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.66,0.89,0.21,632,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.52,0.46,0.61,0.93,0.29,632,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.11,0.96,0.4,0.83,0.19,624,32,NA
ILM-EKF,inc death,4,Overall,0.89,0.76,0.63,0.97,0.18,630,32,NA
Karlen-pypm,inc death,4,Overall,0.96,1,0.28,0.75,0.33,65,29,NA
LANL-GrowthRate,inc death,4,Overall,0.52,0.42,0.37,0.77,0.09,601,32,NA
MUNI-ARIMA,inc death,4,Overall,0.4,0.77,0.65,0.95,0.09,346,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.74,0.73,0.6,0.81,-0.08,632,32,NA
UMass-MechBayes,inc death,4,Overall,0.53,0.6,0.5,0.89,0.16,532,32,NA
USC-SIkJalpha,inc death,4,Overall,0.57,0.58,0.36,0.51,0.25,632,32,NA
USyd-OneModelMan,inc death,4,Overall,0.71,NA,NA,NA,NA,536,32,NA
epiforecasts-EpiExpert,inc death,4,Overall,0.8,0.6,0.3,0.73,0.33,210,32,NA
epiforecasts-EpiExpert_Rt,inc death,4,Overall,0.5,0.64,0.2,0.61,0.42,82,19,NA
epiforecasts-EpiNow2,inc death,4,Overall,0.96,0.86,0.48,0.9,0.21,608,32,NA
