model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.32,0.94,0.04,950,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.77,0.72,0.57,0.95,0.02,950,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.07,0.99,0.4,0.83,0.13,933,32,NA
ILM-EKF,inc case,1,Overall,1.01,1.02,0.48,0.87,0.04,948,32,NA
Karlen-pypm,inc case,1,Overall,1.22,1.1,0.54,0.92,0.09,355,29,NA
LANL-GrowthRate,inc case,1,Overall,0.92,0.86,0.56,0.92,-0.32,919,32,NA
MUNI-ARIMA,inc case,1,Overall,0.62,0.76,0.58,0.92,-0.02,695,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.03,1.12,0.36,0.73,-0.19,950,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.74,NA,NA,NA,NA,855,32,NA
USC-SIkJalpha,inc case,1,Overall,1.11,1.28,0.31,0.53,0.03,950,32,NA
UVA-Ensemble,inc case,1,Overall,2.24,NA,0.41,0.76,NA,922,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.16,1.16,0.52,0.87,-0,948,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.4,0.89,0.04,917,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.88,0.88,0.47,0.89,0.05,917,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.11,1.13,0.29,0.7,0.16,901,32,NA
ILM-EKF,inc case,2,Overall,1.31,1.43,0.41,0.83,0.05,916,32,NA
Karlen-pypm,inc case,2,Overall,1.91,1.88,0.37,0.78,0.11,326,29,NA
LANL-GrowthRate,inc case,2,Overall,0.86,0.86,0.49,0.87,-0.22,887,32,NA
MUNI-ARIMA,inc case,2,Overall,0.74,0.83,0.6,0.92,-0.03,662,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.93,1.02,0.32,0.64,-0.27,917,32,NA
USC-SIkJalpha,inc case,2,Overall,1.17,1.52,0.26,0.41,-0.01,917,32,NA
UVA-Ensemble,inc case,2,Overall,1.74,NA,0.39,0.7,NA,889,32,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.85,0.94,0.27,0.63,0.3,99,18,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.31,1.52,0.45,0.84,-0.02,915,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.86,0.07,884,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.01,1.04,0.39,0.84,0.09,884,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.29,1.35,0.26,0.64,0.16,869,32,NA
ILM-EKF,inc case,3,Overall,1.7,2.01,0.38,0.79,0.06,883,32,NA
Karlen-pypm,inc case,3,Overall,2.51,2.6,0.28,0.71,0.12,297,29,NA
LANL-GrowthRate,inc case,3,Overall,0.87,0.9,0.42,0.8,-0.14,853,32,NA
MUNI-ARIMA,inc case,3,Overall,0.85,0.91,0.57,0.91,-0.07,599,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.93,1.03,0.29,0.58,-0.31,884,32,NA
USC-SIkJalpha,inc case,3,Overall,1.39,1.95,0.23,0.35,-0.04,884,32,NA
UVA-Ensemble,inc case,3,Overall,1.51,NA,0.33,0.61,NA,824,32,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,1.19,1.36,0.17,0.51,0.29,96,18,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.4,1.57,0.42,0.81,-0.02,882,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.84,0.08,851,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.16,1.23,0.37,0.8,0.11,851,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.46,1.52,0.25,0.6,0.14,837,32,NA
ILM-EKF,inc case,4,Overall,2.67,3.38,0.35,0.76,0.06,849,32,NA
Karlen-pypm,inc case,4,Overall,2.93,2.91,0.25,0.64,0.12,268,29,NA
LANL-GrowthRate,inc case,4,Overall,0.9,0.94,0.34,0.75,-0.07,820,32,NA
MUNI-ARIMA,inc case,4,Overall,0.91,0.95,0.55,0.91,-0.1,567,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.9,1.03,0.29,0.58,-0.36,851,32,NA
USC-SIkJalpha,inc case,4,Overall,1.62,2.43,0.22,0.32,-0.06,851,32,NA
UVA-Ensemble,inc case,4,Overall,1.4,NA,0.23,0.47,NA,759,32,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,1.5,1.93,0.2,0.45,0.29,93,18,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.45,1.6,0.4,0.77,-0.04,849,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.27,0.7,-0.01,788,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.19,0.3,-0.11,819,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.53,0.97,0.06,955,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.62,0.57,0.68,0.98,0.04,955,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.93,0.83,0.54,0.88,0.04,936,32,NA
ILM-EKF,inc death,1,Overall,0.8,0.89,0.87,0.99,0.09,953,32,NA
Imperial-DeCa,inc death,1,Overall,1.01,1.22,0.21,0.46,-0.26,427,22,NA
Imperial-RtI0,inc death,1,Overall,1.08,1.2,0.34,0.67,-0.1,427,22,NA
Imperial-sbkp,inc death,1,Overall,1.01,1.16,0.26,0.62,-0.06,427,22,NA
Karlen-pypm,inc death,1,Overall,0.5,0.66,0.56,0.96,-0.14,355,29,NA
LANL-GrowthRate,inc death,1,Overall,0.79,0.72,0.38,0.82,-0.08,924,32,NA
MUNI-ARIMA,inc death,1,Overall,0.6,0.75,0.61,0.95,0.01,699,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.81,0.74,0.57,0.86,-0.08,955,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.78,NA,NA,NA,NA,859,32,NA
UMass-MechBayes,inc death,1,Overall,0.77,0.78,0.52,0.93,0.06,855,32,NA
USC-SIkJalpha,inc death,1,Overall,0.83,0.94,0.35,0.48,0.14,955,32,NA
USyd-OneModelMan,inc death,1,Overall,0.73,NA,NA,NA,NA,859,32,NA
epiforecasts-EpiNow2,inc death,1,Overall,0.98,0.88,0.56,0.94,0.08,928,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.66,0.95,0.06,922,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.5,0.46,0.66,0.97,0.08,922,32,NA
