model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,1416,289,710,417,1,1,0.2,1,-0.24,1,5,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,1048,607,31,410,0.74,0.72,0.8,1,0.28,1,5,Austria
IEM_Health-CovidProject,inc case,1,AT,1248,683,1,563,0.88,0.87,0.6,1,0.4,1,5,Austria
ILM-EKF,inc case,1,AT,1544,847,3,694,1.09,1.02,0.6,1,0.38,1,5,Austria
LANL-GrowthRate,inc case,1,AT,1066,510,364,192,0.75,0.82,0.4,1,-0.24,1,5,Austria
USC-SIkJalpha,inc case,1,AT,1042,769,121,151,0.74,0.61,0.8,1,0.04,1,5,Austria
epiforecasts-EpiNow2,inc case,1,AT,927,477,0,451,0.65,0.69,0.6,1,0.5,1,5,Austria
EuroCOVIDhub-baseline,inc case,2,AT,2260,601,1259,400,1,1,0,1,-0.35,1,4,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,2169,1005,41,1123,0.96,0.9,0.5,1,0.38,1,4,Austria
IEM_Health-CovidProject,inc case,2,AT,2502,1103,3,1396,1.11,1.08,0.5,1,0.45,1,4,Austria
ILM-EKF,inc case,2,AT,3017,1639,0,1378,1.34,1.16,0.75,1,0.45,1,4,Austria
LANL-GrowthRate,inc case,2,AT,1685,684,626,374,0.75,0.8,0.25,1,-0.1,1,4,Austria
USC-SIkJalpha,inc case,2,AT,2111,866,166,1079,0.93,0.82,0.25,0.75,0.26,1,4,Austria
epiforecasts-EpiNow2,inc case,2,AT,2348,985,0,1363,1.04,0.98,0.5,0.75,0.57,1,4,Austria
EuroCOVIDhub-baseline,inc death,1,AT,14,5,7,1,1,1,0.2,1,-0.4,1,5,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,13,10,2,1,0.94,0.81,1,1,-0.04,1,5,Austria
IEM_Health-CovidProject,inc death,1,AT,18,11,7,0,1.29,1.27,0.8,1,-0.28,1,5,Austria
ILM-EKF,inc death,1,AT,25,23,0,2,1.79,0.75,1,1,0.04,1,5,Austria
