model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
LANL-GrowthRate,inc case,3,HR,1891.592876923077,1020.4111043478262,601.2717391304349,269.91003344481607,0.08969899665551839,-0.06615384615384616,2533.576923076923,0.49392401051682394,NA,0.6923076923076923,0.8461538461538461,2533.576923076923,13,1
RobertWalraven-ESG,inc case,3,HR,2056.576362962963,460.83654814814815,451.5814814814815,1144.1583333333333,0.00962962962962963,0.00648148148148147,3005.8454938271607,0.9333505901877345,NA,0.5,0.5714285714285714,4796.285,14,17
USC-SIkJalpha,inc case,3,HR,4004.413400621118,676.3040838509316,637.1751552795031,2690.9341614906834,-0.32931677018633543,0.39285714285714285,4578,1.2545450755745677,NA,0.21428571428571427,0.35714285714285715,4578,14,17
UVA-Ensemble,inc case,2,HR,4355.252201397639,684.3683016047585,2087.5954038773584,1583.288495915522,-0.2755102040816326,0.02857142857142858,6182.156011308096,2.227875648803342,NA,0.2857142857142857,0.5,6182.156011308096,14,16
epiforecasts-EpiExpert,inc case,3,HR,3118.9439766214173,613.6015919773008,646.9330802962903,1858.409304347826,-0.38521739130434784,0.25,4745.398,0.844258621597876,NA,0,0.6,4745.398,5,0
epiforecasts-EpiNow2,inc case,3,HR,2671.8687267080745,1109.8656211180125,49.729813664596264,1512.2732919254659,-0.0932919254658385,0.18928571428571428,4328.357142857143,0.7067106617202671,NA,0.2857142857142857,1,4328.357142857143,14,17
DSMPG-bayes,inc case,3,HR,6776.457080886084,3951.913002633921,32.781655347642854,2791.76242290452,-0.03739130434782608,0.52,9835.504707647306,1.2649035622015599,NA,0.2,1,9835.504707647306,5,0
EuroCOVIDhub-ensemble,inc case,4,HR,5108.853377926422,1918.1309698996656,298.056856187291,2892.665551839465,-0.21130434782608695,0.5561538461538461,7674,0.9764556866661415,NA,0.23076923076923078,0.6923076923076923,7674,13,17
IEM_Health-CovidProject,inc case,4,HR,7955.105131129131,2230.215223203967,696.2104499304978,5028.679457994666,-0.3116387959866221,0.56,12003.620823515736,1.5518771088723187,NA,0.23076923076923078,0.46153846153846156,12003.620823515736,13,17
ILM-EKF,inc case,4,HR,7251.488955049934,2146.6245721524847,526.5867909242046,4578.277591973244,-0.20461538461538462,0.4346153846153846,10834.406540125348,1.3156214497246705,NA,0.38461538461538464,0.6923076923076923,10834.406540125348,13,17
LANL-GrowthRate,inc case,4,HR,2781.349266847826,1209.3382523550724,924.1599275362319,647.8510869565217,-0.015652173913043476,0.13499999999999998,4035,0.4839152334699712,NA,0.5,0.8333333333333334,4035,12,1
RobertWalraven-ESG,inc case,4,HR,2957.136851798561,551.7521035971223,763.7291366906475,1641.6556115107912,-0.05453237410071942,0.010071942446043173,4378.077410071943,0.8388808178272429,NA,0.46153846153846156,0.46153846153846156,6524.692307692308,13,17
UMass-SemiMech,inc case,1,HR,1058.4034782608696,604.2496321070234,28.391304347826086,425.76254180602007,-0.003946488294314379,0.4461538461538462,1560.4615384615386,1.1494399724511883,NA,0.5384615384615384,1,1560.4615384615386,13,14
USC-SIkJalpha,inc case,4,HR,5705.24437458194,923.6717993311038,761.457525083612,4020.115050167224,-0.3985953177257525,0.4,6611.692307692308,1.1748877593365634,NA,0.15384615384615385,0.23076923076923078,6611.692307692308,13,17
UVA-Ensemble,inc case,3,HR,5886.554755345918,894.0082390771586,2217.568511121147,2774.9780051476127,-0.30952380952380953,0.15,7838.356397660306,1.7030092119442986,NA,0.3333333333333333,0.4166666666666667,7838.356397660306,12,11
epiforecasts-EpiExpert,inc case,4,HR,3528.0997337886793,807.7945554427996,804.9157870415319,1915.3893913043478,-0.31565217391304345,0.34400000000000003,4980.192,0.719405810422931,NA,0.2,0.4,4980.192,5,0
epiforecasts-EpiNow2,inc case,4,HR,4430.366304347826,1728.06864548495,46.92642140468227,2655.371237458194,-0.1511036789297659,0.3292307692307692,7022.153846153846,0.7352960210340072,NA,0.3076923076923077,0.8461538461538461,7022.153846153846,13,17
DSMPG-bayes,inc case,4,HR,13190.75950490124,8392.533194919466,0,4798.226309981774,-0.05478260869565217,0.62,16437.31726277685,1.718317045271967,NA,0.4,1,16437.31726277685,5,0
LANL-GrowthRate,inc case,5,HR,3513.8676710144928,1231.252055072464,1188.675036231884,1093.940579710145,-0.15333333333333332,0.2791666666666667,5351.75,0.6761031576776078,NA,0.25,0.8333333333333334,5351.75,12,1
UMass-SemiMech,inc case,2,HR,1770.8230434782608,888.7433333333333,1.4963768115942029,880.5833333333334,-0.0953623188405797,0.6174999999999999,2412.1666666666665,0.9865488229466298,NA,0.4166666666666667,0.8333333333333334,2412.1666666666665,12,14
USC-SIkJalpha,inc case,5,HR,7687.0458913043485,1239.5219782608697,701.7130434782608,5745.810869565217,-0.40695652173913044,0.4583333333333333,9039.833333333334,1.4790642354562686,NA,0.16666666666666666,0.25,9039.833333333334,12,17
UVA-Ensemble,inc case,4,HR,5873.209789960403,772.1536481226606,2371.0063716461336,2730.0497701916092,-0.38571428571428573,0.3,8103.567409621461,1.3168184264523968,NA,0.1,0.5,8103.567409621461,10,11
