model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.32,0.93,0.07,758,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.79,0.72,0.57,0.94,0.02,758,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.06,0.97,0.4,0.83,0.09,747,32,NA
ILM-EKF,inc case,1,Overall,1.03,0.97,0.45,0.87,0,757,32,NA
Karlen-pypm,inc case,1,Overall,1.53,1.15,0.51,0.9,0.15,181,29,NA
LANL-GrowthRate,inc case,1,Overall,0.9,0.82,0.56,0.91,-0.31,727,32,NA
MUNI-ARIMA,inc case,1,Overall,0.62,0.74,0.56,0.9,-0.03,503,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.03,1.17,0.36,0.73,-0.18,758,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.76,NA,NA,NA,NA,663,32,NA
USC-SIkJalpha,inc case,1,Overall,1.19,1.4,0.36,0.51,0.05,758,32,NA
UVA-Ensemble,inc case,1,Overall,2.01,NA,0.43,0.77,NA,730,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.88,0.77,0.37,0.82,0.18,232,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.88,0.9,0.56,0.93,0.11,96,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.69,0.75,0.35,0.72,0.26,88,18,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.15,1.13,0.5,0.86,0.01,756,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.72,NA,0.58,0.95,NA,418,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.4,0.88,0.07,725,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.9,0.9,0.46,0.88,0.06,725,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.09,1.09,0.3,0.7,0.11,715,32,NA
ILM-EKF,inc case,2,Overall,1.33,1.43,0.38,0.82,0.01,724,32,NA
Karlen-pypm,inc case,2,Overall,2.82,2.17,0.32,0.74,0.2,152,29,NA
LANL-GrowthRate,inc case,2,Overall,0.88,0.86,0.49,0.86,-0.22,695,32,NA
MUNI-ARIMA,inc case,2,Overall,0.7,0.79,0.57,0.91,-0.07,470,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.93,1.02,0.32,0.65,-0.27,725,32,NA
USC-SIkJalpha,inc case,2,Overall,1.01,1.23,0.3,0.41,-0.01,725,32,NA
UVA-Ensemble,inc case,2,Overall,1.56,NA,0.42,0.7,NA,697,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.97,0.99,0.29,0.7,0.21,225,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.89,1.03,0.39,0.8,0.2,93,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.8,0.93,0.27,0.6,0.3,82,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.26,1.41,0.41,0.81,-0.02,723,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.85,0.1,692,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.03,1.08,0.38,0.82,0.11,692,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.25,1.3,0.27,0.63,0.13,683,32,NA
ILM-EKF,inc case,3,Overall,1.74,2.05,0.35,0.78,0.02,691,32,NA
Karlen-pypm,inc case,3,Overall,3.97,2.93,0.25,0.64,0.32,123,29,NA
LANL-GrowthRate,inc case,3,Overall,0.9,0.92,0.42,0.79,-0.13,661,32,NA
MUNI-ARIMA,inc case,3,Overall,0.84,0.85,0.53,0.89,-0.13,407,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.92,0.95,0.29,0.6,-0.3,692,32,NA
USC-SIkJalpha,inc case,3,Overall,0.99,1.25,0.27,0.36,-0.03,692,32,NA
UVA-Ensemble,inc case,3,Overall,1.33,NA,0.35,0.62,NA,632,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.12,1.32,0.24,0.67,0.25,221,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,1.05,1.3,0.33,0.74,0.24,89,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,1.15,1.38,0.16,0.49,0.26,79,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.34,1.45,0.37,0.77,-0.03,690,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.82,0.13,659,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.18,1.26,0.34,0.77,0.15,659,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.43,1.46,0.25,0.57,0.13,651,32,NA
ILM-EKF,inc case,4,Overall,2.71,3.41,0.34,0.75,0.02,657,32,NA
Karlen-pypm,inc case,4,Overall,4.82,3.08,0.21,0.57,0.41,94,29,NA
LANL-GrowthRate,inc case,4,Overall,0.89,0.93,0.35,0.75,-0.03,628,32,NA
MUNI-ARIMA,inc case,4,Overall,0.91,0.88,0.51,0.88,-0.17,375,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.87,0.91,0.32,0.59,-0.35,659,32,NA
USC-SIkJalpha,inc case,4,Overall,0.99,1.28,0.26,0.35,-0.04,659,32,NA
UVA-Ensemble,inc case,4,Overall,1.25,NA,0.26,0.49,NA,567,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,1.28,1.76,0.24,0.63,0.32,216,32,NA
epiforecasts-EpiExpert_Rt,inc case,4,Overall,1.11,1.47,0.26,0.64,0.23,85,19,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,1.48,2.06,0.17,0.41,0.31,75,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.37,1.46,0.33,0.72,-0.05,657,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.27,0.7,0.05,596,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.24,0.32,-0.07,627,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.53,0.96,0.12,763,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.6,0.56,0.71,0.97,0.1,763,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.9,0.81,0.56,0.89,0.05,750,32,NA
ILM-EKF,inc death,1,Overall,0.77,0.82,0.86,0.99,0.11,762,32,NA
Imperial-DeCa,inc death,1,Overall,0.96,1.18,0.19,0.44,-0.2,338,22,NA
Imperial-RtI0,inc death,1,Overall,0.99,1.09,0.34,0.67,-0.05,338,22,NA
Imperial-sbkp,inc death,1,Overall,0.91,1.04,0.25,0.61,-0.06,338,22,NA
Karlen-pypm,inc death,1,Overall,0.5,0.68,0.57,0.97,-0.05,181,29,NA
LANL-GrowthRate,inc death,1,Overall,0.75,0.67,0.38,0.85,-0.01,732,32,NA
MUNI-ARIMA,inc death,1,Overall,0.52,0.74,0.6,0.94,0.06,507,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.8,0.74,0.6,0.86,-0.06,763,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.75,NA,NA,NA,NA,667,32,NA
UMass-MechBayes,inc death,1,Overall,0.72,0.77,0.54,0.92,0.13,663,32,NA
USC-SIkJalpha,inc death,1,Overall,0.8,0.91,0.39,0.51,0.21,763,32,NA
USyd-OneModelMan,inc death,1,Overall,0.67,NA,NA,NA,NA,667,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,1.05,0.77,0.4,0.77,0.16,230,32,NA
epiforecasts-EpiExpert_Rt,inc death,1,Overall,0.87,0.96,0.42,0.84,0.16,96,19,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.01,0.91,0.55,0.93,0.15,736,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,0.68,NA,0.47,0.86,NA,377,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.65,0.94,0.13,730,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.47,0.45,0.68,0.97,0.16,730,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.91,0.79,0.5,0.88,0.1,718,32,NA
ILM-EKF,inc death,2,Overall,0.69,0.67,0.8,0.98,0.14,729,32,NA
Karlen-pypm,inc death,2,Overall,0.49,0.64,0.45,0.95,0.05,152,29,NA
LANL-GrowthRate,inc death,2,Overall,0.61,0.53,0.38,0.82,-0.01,699,32,NA
MUNI-ARIMA,inc death,2,Overall,0.47,0.73,0.63,0.96,0.08,474,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.73,0.72,0.62,0.84,-0.08,730,32,NA
UMass-MechBayes,inc death,2,Overall,0.53,0.59,0.52,0.92,0.15,630,32,NA
USC-SIkJalpha,inc death,2,Overall,0.64,0.66,0.39,0.52,0.25,730,32,NA
USyd-OneModelMan,inc death,2,Overall,0.63,NA,NA,NA,NA,634,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,0.95,0.69,0.32,0.75,0.24,224,32,NA
epiforecasts-EpiExpert_Rt,inc death,2,Overall,0.62,0.76,0.37,0.7,0.26,93,19,NA
epiforecasts-EpiNow2,inc death,2,Overall,0.89,0.79,0.49,0.91,0.21,703,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.67,0.91,0.16,697,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.48,0.43,0.64,0.95,0.22,697,32,NA
IEM_Health-CovidProject,inc death,3,Overall,1.01,0.85,0.46,0.87,0.12,687,32,NA
ILM-EKF,inc death,3,Overall,0.77,0.69,0.7,0.97,0.16,695,32,NA
Karlen-pypm,inc death,3,Overall,0.64,0.76,0.36,0.85,0.17,123,29,NA
LANL-GrowthRate,inc death,3,Overall,0.57,0.48,0.37,0.78,0.02,666,32,NA
MUNI-ARIMA,inc death,3,Overall,0.44,0.74,0.64,0.96,0.05,410,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.75,0.73,0.61,0.83,-0.1,697,32,NA
UMass-MechBayes,inc death,3,Overall,0.53,0.56,0.5,0.92,0.14,597,32,NA
USC-SIkJalpha,inc death,3,Overall,0.64,0.63,0.36,0.49,0.29,697,32,NA
USyd-OneModelMan,inc death,3,Overall,0.69,NA,NA,NA,NA,601,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,0.82,0.61,0.33,0.76,0.31,220,32,NA
epiforecasts-EpiExpert_Rt,inc death,3,Overall,0.57,0.68,0.19,0.66,0.38,89,19,NA
epiforecasts-EpiNow2,inc death,3,Overall,0.93,0.84,0.49,0.9,0.24,672,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.67,0.89,0.19,664,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.53,0.47,0.61,0.93,0.27,664,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.11,0.96,0.4,0.83,0.15,655,32,NA
ILM-EKF,inc death,4,Overall,0.94,0.82,0.62,0.96,0.17,662,32,NA
Karlen-pypm,inc death,4,Overall,0.97,1.03,0.26,0.8,0.28,94,29,NA
LANL-GrowthRate,inc death,4,Overall,0.52,0.42,0.37,0.77,0.06,633,32,NA
MUNI-ARIMA,inc death,4,Overall,0.42,0.76,0.64,0.96,0.06,378,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.74,0.73,0.6,0.81,-0.09,664,32,NA
UMass-MechBayes,inc death,4,Overall,0.57,0.63,0.5,0.88,0.16,564,32,NA
USC-SIkJalpha,inc death,4,Overall,0.58,0.58,0.36,0.5,0.25,664,32,NA
USyd-OneModelMan,inc death,4,Overall,0.71,NA,NA,NA,NA,568,32,NA
epiforecasts-EpiExpert,inc death,4,Overall,0.82,0.62,0.3,0.73,0.33,215,32,NA
epiforecasts-EpiExpert_Rt,inc death,4,Overall,0.53,0.68,0.19,0.6,0.42,85,19,NA
epiforecasts-EpiNow2,inc death,4,Overall,1,0.91,0.48,0.9,0.21,640,32,NA
LANL-GrowthRate,inc death,5,Overall,NA,NA,0.33,0.75,0.14,601,32,NA
USC-SIkJalpha,inc death,5,Overall,NA,NA,0.36,0.51,0.21,632,32,NA
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.38,1,0.1,24,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.56,0.52,0.62,0.92,0.14,24,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.69,0.66,0.46,0.79,0.24,24,1,Austria
ILM-EKF,inc case,1,AT,0.67,0.74,0.62,0.92,0.08,24,1,Austria
Karlen-pypm,inc case,1,AT,0.53,0.68,0.67,1,0.12,6,1,Austria
LANL-GrowthRate,inc case,1,AT,0.55,0.52,0.43,0.91,-0.3,23,1,Austria
MUNI-ARIMA,inc case,1,AT,0.33,0.44,0.56,1,0.03,16,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.71,0.96,0.54,0.83,-0.2,24,1,Austria
SDSC_ISG-TrendModel,inc case,1,AT,0.45,NA,NA,NA,NA,21,1,Austria
USC-SIkJalpha,inc case,1,AT,0.69,0.9,0.29,0.5,0.28,24,1,Austria
UVA-Ensemble,inc case,1,AT,1.34,NA,0.43,1,NA,23,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,0.66,0.69,0.38,0.71,0.05,24,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.35,1,0.12,23,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.59,0.63,0.57,0.87,0.16,23,1,Austria
IEM_Health-CovidProject,inc case,2,AT,0.8,0.84,0.3,0.7,0.28,23,1,Austria
ILM-EKF,inc case,2,AT,0.69,0.77,0.61,0.87,0.12,23,1,Austria
Karlen-pypm,inc case,2,AT,0.94,1.21,0.4,0.6,0.08,5,1,Austria
LANL-GrowthRate,inc case,2,AT,0.55,0.62,0.5,0.82,-0.14,22,1,Austria
MUNI-ARIMA,inc case,2,AT,0.34,0.53,0.67,1,-0.07,15,1,Austria
RobertWalraven-ESG,inc case,2,AT,0.61,0.92,0.43,0.7,-0.37,23,1,Austria
USC-SIkJalpha,inc case,2,AT,0.68,0.95,0.22,0.39,0.3,23,1,Austria
UVA-Ensemble,inc case,2,AT,1.14,NA,0.36,0.95,NA,22,1,Austria
epiforecasts-EpiNow2,inc case,2,AT,0.85,1.04,0.3,0.74,0.04,23,1,Austria
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.45,1,0.19,22,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,0.71,0.75,0.36,0.86,0.25,22,1,Austria
IEM_Health-CovidProject,inc case,3,AT,0.95,1,0.14,0.64,0.32,22,1,Austria
ILM-EKF,inc case,3,AT,0.84,0.92,0.45,0.86,0.13,22,1,Austria
Karlen-pypm,inc case,3,AT,1.74,2.33,0,0.75,0.35,4,1,Austria
LANL-GrowthRate,inc case,3,AT,0.65,0.72,0.33,0.76,0.02,21,1,Austria
MUNI-ARIMA,inc case,3,AT,0.3,0.64,0.85,1,-0.16,13,1,Austria
RobertWalraven-ESG,inc case,3,AT,0.59,1.01,0.41,0.64,-0.46,22,1,Austria
USC-SIkJalpha,inc case,3,AT,0.71,1.11,0.14,0.18,0.25,22,1,Austria
UVA-Ensemble,inc case,3,AT,0.92,NA,0.45,0.8,NA,20,1,Austria
epiforecasts-EpiNow2,inc case,3,AT,1.21,1.89,0.27,0.55,0.05,22,1,Austria
EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.43,1,0.24,21,1,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,0.88,0.97,0.24,0.71,0.34,21,1,Austria
IEM_Health-CovidProject,inc case,4,AT,1.15,1.18,0.19,0.48,0.35,21,1,Austria
ILM-EKF,inc case,4,AT,1.02,1.06,0.38,0.81,0.1,21,1,Austria
LANL-GrowthRate,inc case,4,AT,0.74,0.78,0.2,0.7,0.16,20,1,Austria
MUNI-ARIMA,inc case,4,AT,0.31,0.67,0.67,1,-0.18,12,1,Austria
RobertWalraven-ESG,inc case,4,AT,0.57,0.96,0.38,0.62,-0.51,21,1,Austria
USC-SIkJalpha,inc case,4,AT,0.8,1.15,0.24,0.29,0.32,21,1,Austria
UVA-Ensemble,inc case,4,AT,1.07,NA,0.22,0.56,NA,18,1,Austria
epiforecasts-EpiNow2,inc case,4,AT,1.92,2.73,0.29,0.62,0.09,21,1,Austria
LANL-GrowthRate,inc case,5,AT,NA,NA,0.16,0.53,0.24,19,1,Austria
USC-SIkJalpha,inc case,5,AT,NA,NA,0.1,0.15,0.32,20,1,Austria
EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.54,1,0.18,24,1,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,0.7,0.59,0.71,1,0.15,24,1,Austria
IEM_Health-CovidProject,inc death,1,AT,0.99,0.81,0.5,0.96,0.14,24,1,Austria
ILM-EKF,inc death,1,AT,0.77,1.12,0.92,1,0.14,24,1,Austria
Karlen-pypm,inc death,1,AT,0.25,0.59,0.33,1,0.41,6,1,Austria
LANL-GrowthRate,inc death,1,AT,0.79,0.68,0.35,0.91,0.16,23,1,Austria
MUNI-ARIMA,inc death,1,AT,0.77,1,0.62,1,0.09,16,1,Austria
RobertWalraven-ESG,inc death,1,AT,0.73,0.65,0.5,1,0.05,24,1,Austria
SDSC_ISG-TrendModel,inc death,1,AT,0.83,NA,NA,NA,NA,21,1,Austria
UMass-MechBayes,inc death,1,AT,0.54,0.58,0.48,0.95,0.01,21,1,Austria
USC-SIkJalpha,inc death,1,AT,0.94,1.05,0.29,0.42,0.35,24,1,Austria
USyd-OneModelMan,inc death,1,AT,0.64,NA,NA,NA,NA,21,1,Austria
epiforecasts-EpiNow2,inc death,1,AT,0.89,0.67,0.5,1,0.24,24,1,Austria
EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.65,1,0.19,23,1,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,0.52,0.47,0.65,1,0.28,23,1,Austria
IEM_Health-CovidProject,inc death,2,AT,0.94,0.77,0.39,0.96,0.27,23,1,Austria
ILM-EKF,inc death,2,AT,0.7,0.8,0.87,1,0.2,23,1,Austria
Karlen-pypm,inc death,2,AT,0.28,0.59,0.4,0.8,0.64,5,1,Austria
LANL-GrowthRate,inc death,2,AT,0.68,0.58,0.14,0.77,0.09,22,1,Austria
MUNI-ARIMA,inc death,2,AT,0.7,0.87,0.6,1,0.14,15,1,Austria
RobertWalraven-ESG,inc death,2,AT,0.74,0.57,0.61,0.96,0.06,23,1,Austria
UMass-MechBayes,inc death,2,AT,0.38,0.42,0.55,1,0.1,20,1,Austria
USC-SIkJalpha,inc death,2,AT,0.64,0.84,0.22,0.26,0.45,23,1,Austria
USyd-OneModelMan,inc death,2,AT,0.77,NA,NA,NA,NA,20,1,Austria
epiforecasts-EpiNow2,inc death,2,AT,0.76,0.65,0.39,0.96,0.33,23,1,Austria
EuroCOVIDhub-baseline,inc death,3,AT,1,1,0.68,1,0.21,22,1,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,0.44,0.46,0.55,1,0.39,22,1,Austria
IEM_Health-CovidProject,inc death,3,AT,1,0.8,0.41,0.82,0.23,22,1,Austria
ILM-EKF,inc death,3,AT,0.74,0.71,0.73,1,0.24,22,1,Austria
Karlen-pypm,inc death,3,AT,0.47,1.4,0.25,0.5,0.8,4,1,Austria
LANL-GrowthRate,inc death,3,AT,0.57,0.49,0.29,0.81,0.19,21,1,Austria
MUNI-ARIMA,inc death,3,AT,0.37,0.71,0.77,1,0.02,13,1,Austria
RobertWalraven-ESG,inc death,3,AT,0.59,0.49,0.59,0.95,0.01,22,1,Austria
UMass-MechBayes,inc death,3,AT,0.37,0.41,0.47,0.89,0.15,19,1,Austria
USC-SIkJalpha,inc death,3,AT,0.73,0.89,0.14,0.23,0.79,22,1,Austria
USyd-OneModelMan,inc death,3,AT,0.91,NA,NA,NA,NA,19,1,Austria
epiforecasts-EpiNow2,inc death,3,AT,0.79,0.88,0.36,0.86,0.4,22,1,Austria
EuroCOVIDhub-baseline,inc death,4,AT,1,1,0.67,1,0.26,21,1,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,0.49,0.49,0.52,0.95,0.43,21,1,Austria
IEM_Health-CovidProject,inc death,4,AT,1.2,0.99,0.38,0.81,0.29,21,1,Austria
ILM-EKF,inc death,4,AT,0.84,0.71,0.52,1,0.26,21,1,Austria
LANL-GrowthRate,inc death,4,AT,0.6,0.54,0.45,0.7,0.29,20,1,Austria
MUNI-ARIMA,inc death,4,AT,0.35,0.75,0.83,1,0.03,12,1,Austria
RobertWalraven-ESG,inc death,4,AT,0.69,0.52,0.57,0.9,-0.02,21,1,Austria
UMass-MechBayes,inc death,4,AT,0.42,0.42,0.5,0.94,0.08,18,1,Austria
USC-SIkJalpha,inc death,4,AT,0.69,0.82,0.29,0.38,0.57,21,1,Austria
USyd-OneModelMan,inc death,4,AT,1.03,NA,NA,NA,NA,18,1,Austria
epiforecasts-EpiNow2,inc death,4,AT,1.15,1.05,0.48,0.9,0.31,21,1,Austria
LANL-GrowthRate,inc death,5,AT,NA,NA,0.21,0.63,0.32,19,1,Austria
USC-SIkJalpha,inc death,5,AT,NA,NA,0.25,0.4,0.47,20,1,Austria
EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.42,1,-0.02,24,1,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,0.89,0.88,0.5,0.96,-0.01,24,1,Belgium
IEM_Health-CovidProject,inc case,1,BE,1.03,0.92,0.46,0.96,0.08,24,1,Belgium
ILM-EKF,inc case,1,BE,1.03,0.95,0.46,0.88,0.03,24,1,Belgium
Karlen-pypm,inc case,1,BE,0.86,1.25,0.83,1,0.17,6,1,Belgium
LANL-GrowthRate,inc case,1,BE,1.06,1.22,0.52,0.91,-0.42,23,1,Belgium
MUNI-ARIMA,inc case,1,BE,1.3,1.89,0.25,0.81,-0.06,16,1,Belgium
RobertWalraven-ESG,inc case,1,BE,1.15,1.18,0.25,0.83,-0.09,24,1,Belgium
SDSC_ISG-TrendModel,inc case,1,BE,0.97,NA,NA,NA,NA,21,1,Belgium
USC-SIkJalpha,inc case,1,BE,1.14,1.41,0.38,0.5,0,24,1,Belgium
UVA-Ensemble,inc case,1,BE,1.64,NA,0.26,0.65,NA,23,1,Belgium
epiforecasts-EpiNow2,inc case,1,BE,1.09,1.22,0.58,0.79,-0.02,24,1,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.39,1,0.06,23,1,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,0.91,0.92,0.57,0.91,0.04,23,1,Belgium
IEM_Health-CovidProject,inc case,2,BE,1.17,1.03,0.3,0.83,0.16,23,1,Belgium
ILM-EKF,inc case,2,BE,1.12,1.17,0.48,0.83,0.09,23,1,Belgium
Karlen-pypm,inc case,2,BE,1.6,2.89,0.6,1,0.31,5,1,Belgium
LANL-GrowthRate,inc case,2,BE,0.95,1.01,0.55,0.91,-0.34,22,1,Belgium
MUNI-ARIMA,inc case,2,BE,1.07,1.7,0.53,0.87,-0.04,15,1,Belgium
RobertWalraven-ESG,inc case,2,BE,0.94,1.12,0.26,0.78,-0,23,1,Belgium
USC-SIkJalpha,inc case,2,BE,0.84,1.08,0.35,0.43,0,23,1,Belgium
UVA-Ensemble,inc case,2,BE,1.11,NA,0.27,0.82,NA,22,1,Belgium
epiforecasts-EpiNow2,inc case,2,BE,1.08,1.29,0.57,0.74,-0.02,23,1,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.45,1,0.1,22,1,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,1.03,1.08,0.5,0.86,0.12,22,1,Belgium
IEM_Health-CovidProject,inc case,3,BE,1.37,1.25,0.27,0.77,0.21,22,1,Belgium
ILM-EKF,inc case,3,BE,1.39,1.51,0.41,0.82,0.11,22,1,Belgium
Karlen-pypm,inc case,3,BE,3.1,5.9,0.5,0.75,0.43,4,1,Belgium
LANL-GrowthRate,inc case,3,BE,0.93,0.99,0.52,0.76,-0.22,21,1,Belgium
MUNI-ARIMA,inc case,3,BE,1.13,1.66,0.46,0.92,-0.04,13,1,Belgium
RobertWalraven-ESG,inc case,3,BE,0.86,1.04,0.27,0.77,0.03,22,1,Belgium
USC-SIkJalpha,inc case,3,BE,0.82,1.18,0.36,0.36,0.03,22,1,Belgium
UVA-Ensemble,inc case,3,BE,0.94,NA,0.4,0.7,NA,20,1,Belgium
epiforecasts-EpiNow2,inc case,3,BE,1.15,1.45,0.5,0.77,0.06,22,1,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.38,1,0.1,21,1,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,1.15,1.24,0.43,0.86,0.19,21,1,Belgium
IEM_Health-CovidProject,inc case,4,BE,1.62,1.54,0.24,0.71,0.21,21,1,Belgium
ILM-EKF,inc case,4,BE,1.71,1.79,0.38,0.86,0.15,21,1,Belgium
LANL-GrowthRate,inc case,4,BE,0.89,0.94,0.4,0.8,-0.09,20,1,Belgium
MUNI-ARIMA,inc case,4,BE,1.22,1.52,0.25,1,-0.02,12,1,Belgium
RobertWalraven-ESG,inc case,4,BE,0.65,1.02,0.38,0.81,-0.03,21,1,Belgium
USC-SIkJalpha,inc case,4,BE,0.81,1.16,0.33,0.38,-0.04,21,1,Belgium
UVA-Ensemble,inc case,4,BE,1.03,NA,0,0.44,NA,18,1,Belgium
epiforecasts-EpiNow2,inc case,4,BE,1.25,1.49,0.52,0.71,0.1,21,1,Belgium
LANL-GrowthRate,inc case,5,BE,NA,NA,0.32,0.74,-0.01,19,1,Belgium
USC-SIkJalpha,inc case,5,BE,NA,NA,0.3,0.4,-0.08,20,1,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.88,1,0.15,24,1,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,0.87,0.52,0.75,1,0.06,24,1,Belgium
IEM_Health-CovidProject,inc death,1,BE,1.16,0.67,0.54,0.88,0.05,24,1,Belgium
ILM-EKF,inc death,1,BE,0.89,0.88,1,1,0.12,24,1,Belgium
Karlen-pypm,inc death,1,BE,0.34,0.58,0.5,1,-0.07,6,1,Belgium
LANL-GrowthRate,inc death,1,BE,1.38,0.68,0.3,0.87,-0.07,23,1,Belgium
MUNI-ARIMA,inc death,1,BE,0.87,0.73,0.62,0.94,-0.13,16,1,Belgium
RobertWalraven-ESG,inc death,1,BE,0.97,0.58,0.79,1,0.01,24,1,Belgium
SDSC_ISG-TrendModel,inc death,1,BE,1.1,NA,NA,NA,NA,21,1,Belgium
UMass-MechBayes,inc death,1,BE,0.79,0.45,0.62,1,-0.06,21,1,Belgium
USC-SIkJalpha,inc death,1,BE,1.22,0.7,0.29,0.5,0.15,24,1,Belgium
USyd-OneModelMan,inc death,1,BE,0.97,NA,NA,NA,NA,21,1,Belgium
epiforecasts-EpiNow2,inc death,1,BE,1.61,0.77,0.52,0.91,0.3,23,1,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,1,1,0.96,1,0.1,23,1,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,0.71,0.38,0.87,1,0.14,23,1,Belgium
IEM_Health-CovidProject,inc death,2,BE,1.01,0.59,0.48,0.87,0.14,23,1,Belgium
ILM-EKF,inc death,2,BE,0.76,0.59,0.91,1,0.21,23,1,Belgium
Karlen-pypm,inc death,2,BE,0.29,0.68,0.6,1,0.06,5,1,Belgium
