model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,1,Overall,1.06,0.93,0.47,0.91,0.4,148,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.19,0.89,0.09,255,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.82,0.74,0.7,0.96,0.06,255,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.19,1.07,0.52,0.93,0.13,255,32,NA
ILM-EKF,inc case,1,Overall,1.07,0.97,0.51,0.93,0.09,255,32,NA
LANL-GrowthRate,inc case,1,Overall,1.01,0.92,0.64,0.94,-0.25,255,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.98,NA,0.31,0.76,NA,255,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,1.11,NA,NA,NA,NA,160,32,NA
UMass-SemiMech,inc case,1,Overall,1.05,0.93,0.64,0.96,0.08,156,32,NA
USC-SIkJalpha,inc case,1,Overall,1.03,1.06,0.55,0.71,0.02,255,32,NA
UVA-Ensemble,inc case,1,Overall,1.78,NA,0.22,0.55,NA,227,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.89,0.88,0.33,0.81,0.15,135,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.03,0.88,0.54,0.9,0.12,254,32,NA
DSMPG-bayes,inc case,2,Overall,1.27,1.19,0.46,0.94,0.32,127,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.26,0.8,0.02,223,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.9,0.82,0.52,0.94,0.11,223,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.23,1.2,0.39,0.85,0.15,223,32,NA
ILM-EKF,inc case,2,Overall,1.26,1.13,0.43,0.92,0.12,223,32,NA
LANL-GrowthRate,inc case,2,Overall,0.87,0.84,0.5,0.91,-0.14,223,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.98,NA,0.3,0.66,NA,223,32,NA
UMass-SemiMech,inc case,2,Overall,1.02,0.96,0.51,0.94,0.11,124,32,NA
USC-SIkJalpha,inc case,2,Overall,0.96,1.03,0.46,0.68,-0,223,32,NA
UVA-Ensemble,inc case,2,Overall,1.37,NA,0.15,0.39,NA,195,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,1.05,1.07,0.27,0.69,0.1,117,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.99,0.95,0.46,0.87,0.1,222,32,NA
DSMPG-bayes,inc case,3,Overall,1.82,1.94,0.44,NA,0.33,106,25,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.31,0.77,0.04,191,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.11,1.06,0.44,0.91,0.21,191,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.68,1.69,0.37,0.82,0.19,191,32,NA
ILM-EKF,inc case,3,Overall,1.56,1.5,0.41,0.87,0.17,191,32,NA
LANL-GrowthRate,inc case,3,Overall,0.97,0.92,0.45,0.85,-0.03,191,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.16,NA,0.26,0.6,NA,191,32,NA
USC-SIkJalpha,inc case,3,Overall,1.02,1.04,0.45,0.63,-0.05,191,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.99,0.98,0.27,0.72,0.13,108,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.15,1.16,0.46,0.85,0.14,190,32,NA
