model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
EuroCOVIDhub-ensemble,inc case,1,AT,845.0756236674553,473.8345802839898,29.85544537983308,341.38559800363237,0.05681159420289855,0.325,1248.5908438015347,0.8577865645366577,NA,0.75,0.9166666666666666,1248.5908438015347,12,13
IEM_Health-CovidProject,inc case,1,AT,1106.4966219834007,498.26559561993537,1.0007892508458784,607.2302371126195,-0.03739130434782609,0.5458333333333333,1699.5340496231668,1.1379092713621515,NA,0.3333333333333333,0.9166666666666666,1699.5340496231668,12,13
ILM-EKF,inc case,1,AT,1066.3746206344892,650.3653946905188,5.210144927536232,410.79908101643434,0.12202898550724638,0.31666666666666665,1467.4404321935508,1.0136568331522704,NA,0.6666666666666666,1,1467.4404321935508,12,13
LANL-GrowthRate,inc case,1,AT,732.0810519927536,417.3959070652174,208.66485507246378,106.02028985507243,0.05681159420289855,-0.2416666666666667,1167.2083333333333,0.6550929464512019,NA,0.4166666666666667,1,1167.2083333333333,12,NA
RobertWalraven-ESG,inc case,1,AT,976.5228681034482,577.1230405172414,25.445775862068942,373.9540517241379,-0.023448275862068966,0.33879310344827585,1300.5974137931032,0.9708466932187736,NA,0.5,0.9166666666666666,1397.1049999999996,12,13
USC-SIkJalpha,inc case,1,AT,1298.3487391304348,506.8125072463768,44.06521739130435,747.4710144927536,-0.16782608695652174,0.5166666666666667,1491.0833333333333,1.3976809257903364,NA,0.4166666666666667,0.5833333333333334,1491.0833333333333,12,13
epiforecasts-EpiExpert,inc case,1,AT,812.5422288153937,307.5737486002309,73.51041140035099,431.4580688148119,-0.0808695652173913,0.27499999999999997,1229.2,0.9631205479720698,NA,0.375,0.875,1229.2,8,NA
epiforecasts-EpiNow2,inc case,1,AT,736.5316485507246,320.73454710144927,148.3913043478261,267.4057971014493,-0.059130434782608696,0.085,1176.9166666666667,0.7067510542685551,NA,0.5833333333333334,0.75,1176.9166666666667,12,13
EuroCOVIDhub-ensemble,inc case,2,AT,1837.6432037039156,761.4806525434238,21.296620315548857,1054.8659308449428,-0.029486166007905136,0.44090909090909086,2720.266474029942,0.9531329458242155,NA,0.45454545454545453,0.9090909090909091,2720.266474029942,11,13
IEM_Health-CovidProject,inc case,2,AT,2448.166515453951,808.4095386465306,0.6270694064200064,1639.1299074010005,-0.16387351778656126,0.6681818181818182,3763.9057761902454,1.3097692276046347,NA,0.36363636363636365,0.7272727272727273,3763.9057761902454,11,13
ILM-EKF,inc case,2,AT,2265.7656254965073,1194.913377734308,0.3438735177865613,1070.508374244413,0.057470355731225296,0.4727272727272727,3235.6051734823955,1.0617029993960112,NA,0.5454545454545454,1,3235.6051734823955,11,13
LANL-GrowthRate,inc case,2,AT,1347.6348199604743,598.3865986166008,227.00118577075096,522.2470355731225,-0.00577075098814229,0.1590909090909091,2163.7727272727275,0.6532677514133747,NA,0.45454545454545453,1,2163.7727272727275,11,NA
RobertWalraven-ESG,inc case,2,AT,1587.6351634408602,793.8430129032258,67.46354838709676,726.3286021505376,-0.06301075268817205,0.3150537634408602,2128.0562365591395,0.7726800006195725,NA,0.36363636363636365,0.8181818181818182,2392.2299999999996,11,13
USC-SIkJalpha,inc case,2,AT,2205.108853754941,606.4068774703558,51.25770750988141,1547.4442687747037,-0.24292490118577076,0.5772727272727273,2809.7272727272725,1.228891474614618,NA,0.2727272727272727,0.5454545454545454,2809.7272727272725,11,13
