model,target_variable,location,horizon,weight
LANL-GrowthRate,inc case,DK,1,0.2016269671888582
USC-SIkJalpha,inc case,DK,1,0.18795734229469835
epiforecasts-EpiExpert,inc case,DK,1,0.1149169243045306
epiforecasts-EpiNow2,inc case,DK,1,0.16071714775923485
IEM_Health-CovidProject,inc death,DK,1,0.13958226234674845
ILM-EKF,inc death,DK,1,0.06620187299874354
LANL-GrowthRate,inc death,DK,1,0.3994940611993145
RobertWalraven-ESG,inc death,DK,1,0.079898812239862907
USC-SIkJalpha,inc death,DK,1,0.09735569558638757
epiforecasts-EpiExpert,inc death,DK,1,0.17037246727617825
epiforecasts-EpiNow2,inc death,DK,1,0.04709482835276472
IEM_Health-CovidProject,inc case,EE,1,0.19047257191303038
ILM-EKF,inc case,EE,1,0.13747818698561468
LANL-GrowthRate,inc case,EE,1,0.30715847182371564
USC-SIkJalpha,inc case,EE,1,0.1230851637993951
epiforecasts-EpiNow2,inc case,EE,1,0.24180560547824426
IEM_Health-CovidProject,inc death,EE,1,0.17435336650172256
ILM-EKF,inc death,EE,1,0.08341157732972775
LANL-GrowthRate,inc death,EE,1,0.12616525013189975
RobertWalraven-ESG,inc death,EE,1,0.3747296235260903
USC-SIkJalpha,inc death,EE,1,0.12875325526281053
epiforecasts-EpiNow2,inc death,EE,1,0.11258692724774912
IEM_Health-CovidProject,inc case,ES,1,0.14983692301322038
ILM-EKF,inc case,ES,1,0.1519774504848378
LANL-GrowthRate,inc case,ES,1,0.2364093674208588
UNIPV-BayesINGARCHX,inc case,ES,1,0.067760646712985
USC-SIkJalpha,inc case,ES,1,0.19700780618404898
epiforecasts-EpiNow2,inc case,ES,1,0.19700780618404898
IEM_Health-CovidProject,inc death,ES,1,0.13000702778364043
ILM-EKF,inc death,ES,1,0.1375655759105963
LANL-GrowthRate,inc death,ES,1,0.1408409467656105
RobertWalraven-ESG,inc death,ES,1,0.15566630958304317
USC-SIkJalpha,inc death,ES,1,0.12585786732246043
epiforecasts-EpiExpert,inc death,ES,1,0.10954295859547482
epiforecasts-EpiNow2,inc death,ES,1,0.20051931403917428
IEM_Health-CovidProject,inc case,FI,1,0.19547401391198077
ILM-EKF,inc case,FI,1,0.16529052646968959
LANL-GrowthRate,inc case,FI,1,0.31661283943489843
USC-SIkJalpha,inc case,FI,1,0.15610771944359572
epiforecasts-EpiNow2,inc case,FI,1,0.16651490073983544
IEM_Health-CovidProject,inc death,FI,1,0.15665554312241448
ILM-EKF,inc death,FI,1,0.08330096340636325
LANL-GrowthRate,inc death,FI,1,0.2099184277840354
RobertWalraven-ESG,inc death,FI,1,0.2559980826634578
USC-SIkJalpha,inc death,FI,1,0.17941745964447472
epiforecasts-EpiNow2,inc death,FI,1,0.11470952337925432
IEM_Health-CovidProject,inc case,FR,1,0.11820397347362209
ILM-EKF,inc case,FR,1,0.09978257501020048
LANL-GrowthRate,inc case,FR,1,0.10745815770329283
UNIPV-BayesINGARCHX,inc case,FR,1,0.2259781845819246
USC-SIkJalpha,inc case,FR,1,0.10821490529275264
epiforecasts-EpiExpert,inc case,FR,1,0.189710080883591
epiforecasts-EpiNow2,inc case,FR,1,0.1506521230546164
IEM_Health-CovidProject,inc death,FR,1,0.10088514575599011
ILM-EKF,inc death,FR,1,0.13663185094512045
LANL-GrowthRate,inc death,FR,1,0.289204084500505
RobertWalraven-ESG,inc death,FR,1,0.10453159680741145
USC-SIkJalpha,inc death,FR,1,0.10913361679264338
epiforecasts-EpiExpert,inc death,FR,1,0.1563265321624351
epiforecasts-EpiNow2,inc death,FR,1,0.10328717303589463
IEM_Health-CovidProject,inc case,GB,1,0.13966792999439373
ILM-EKF,inc case,GB,1,0.13644482391760002
LANL-GrowthRate,inc case,GB,1,0.11593351051822226
USC-SIkJalpha,inc case,GB,1,0.26085039866600007
epiforecasts-EpiExpert,inc case,GB,1,0.18286419700296916
epiforecasts-EpiNow2,inc case,GB,1,0.16423913990081485
IEM_Health-CovidProject,inc death,GB,1,0.09533013158961667
ILM-EKF,inc death,GB,1,0.14428344240590632
LANL-GrowthRate,inc death,GB,1,0.4106528745398872
RobertWalraven-ESG,inc death,GB,1,0.12132925838678486
USC-SIkJalpha,inc death,GB,1,0.058027036619766666
epiforecasts-EpiExpert,inc death,GB,1,0.1135848376386922
epiforecasts-EpiNow2,inc death,GB,1,0.0567924188193461
IEM_Health-CovidProject,inc case,GR,1,0.20367755306714674
ILM-EKF,inc case,GR,1,0.20777157423432555
LANL-GrowthRate,inc case,GR,1,0.28126900185463116
USC-SIkJalpha,inc case,GR,1,0.12019343974601973
epiforecasts-EpiNow2,inc case,GR,1,0.18708843109787684
IEM_Health-CovidProject,inc death,GR,1,0.14184595879409978
ILM-EKF,inc death,GR,1,0.08400585909165133
LANL-GrowthRate,inc death,GR,1,0.2544883378364731
RobertWalraven-ESG,inc death,GR,1,0.12724416891823656
USC-SIkJalpha,inc death,GR,1,0.0940500378960879
epiforecasts-EpiNow2,inc death,GR,1,0.2983656374634513
IEM_Health-CovidProject,inc case,HR,1,0.14585488149018372
ILM-EKF,inc case,HR,1,0.1437099567623869
LANL-GrowthRate,inc case,HR,1,0.17450494749718412
USC-SIkJalpha,inc case,HR,1,0.11104860295275354
epiforecasts-EpiNow2,inc case,HR,1,0.42488161129749175
IEM_Health-CovidProject,inc death,HR,1,0.11333661121707449
ILM-EKF,inc death,HR,1,0.13394326780199714
LANL-GrowthRate,inc death,HR,1,0.15786170848092518
RobertWalraven-ESG,inc death,HR,1,0.14492222417921002
USC-SIkJalpha,inc death,HR,1,0.24902128661779752
epiforecasts-EpiNow2,inc death,HR,1,0.20091490170299572
IEM_Health-CovidProject,inc case,HU,1,0.1357540482754877
ILM-EKF,inc case,HU,1,0.20267505798875632
LANL-GrowthRate,inc case,HU,1,0.35974822793004246
USC-SIkJalpha,inc case,HU,1,0.12194855184069237
epiforecasts-EpiNow2,inc case,HU,1,0.17987411396502123
IEM_Health-CovidProject,inc death,HU,1,0.3004302070881676
ILM-EKF,inc death,HU,1,0.14230904546281625
LANL-GrowthRate,inc death,HU,1,0.18435489980410288
RobertWalraven-ESG,inc death,HU,1,0.12106888942358993
USC-SIkJalpha,inc death,HU,1,0.16554317533429647
epiforecasts-EpiNow2,inc death,HU,1,0.08629378288702687
IEM_Health-CovidProject,inc case,IE,1,0.19586328281178245
ILM-EKF,inc case,IE,1,0.17642646848694904
LANL-GrowthRate,inc case,IE,1,0.21599876048402172
USC-SIkJalpha,inc case,IE,1,0.3166009229012373
epiforecasts-EpiNow2,inc case,IE,1,0.09511056531600956
IEM_Health-CovidProject,inc death,IE,1,0.15654186369191872
ILM-EKF,inc death,IE,1,0.14088767732272686
LANL-GrowthRate,inc death,IE,1,0.16050494884867617
RobertWalraven-ESG,inc death,IE,1,0.23054347198264397
USC-SIkJalpha,inc death,IE,1,0.13782490172875453
epiforecasts-EpiNow2,inc death,IE,1,0.1736971364252797
IEM_Health-CovidProject,inc case,IS,1,0.18027044109869264
ILM-EKF,inc case,IS,1,0.15983979110750746
LANL-GrowthRate,inc case,IS,1,0.14530890100682498
USC-SIkJalpha,inc case,IS,1,0.22618838364269922
epiforecasts-EpiExpert,inc case,IS,1,0.04863279648301445
epiforecasts-EpiNow2,inc case,IS,1,0.2397596866612612
USC-SIkJalpha,inc death,IS,1,NA
IEM_Health-CovidProject,inc case,IT,1,0.10602870168225458
ILM-EKF,inc case,IT,1,0.12423565045597507
LANL-GrowthRate,inc case,IT,1,0.18495232173145157
UNIPV-BayesINGARCHX,inc case,IT,1,0.22160953865119873
USC-SIkJalpha,inc case,IT,1,0.10602870168225458
epiforecasts-EpiExpert,inc case,IT,1,0.11658132128096238
epiforecasts-EpiNow2,inc case,IT,1,0.1405637645159032
IEM_Health-CovidProject,inc death,IT,1,0.0898670238720149
ILM-EKF,inc death,IT,1,0.15388189019180631
LANL-GrowthRate,inc death,IT,1,0.14041722480002328
RobertWalraven-ESG,inc death,IT,1,0.09132827629269806
USC-SIkJalpha,inc death,IT,1,0.10906192217477535
epiforecasts-EpiExpert,inc death,IT,1,0.040997729868619937
epiforecasts-EpiNow2,inc death,IT,1,0.37444593280006205
IEM_Health-CovidProject,inc case,LI,1,0.24050265782111244
ILM-EKF,inc case,LI,1,0.1284039613790685
LANL-GrowthRate,inc case,LI,1,0.2913782200525016
USC-SIkJalpha,inc case,LI,1,0.14294025889368003
epiforecasts-EpiNow2,inc case,LI,1,0.19677490185363744
IEM_Health-CovidProject,inc death,LI,1,0.05611315224808027
ILM-EKF,inc death,LI,1,0.10480904873923037
LANL-GrowthRate,inc death,LI,1,0.28947261080358866
RobertWalraven-ESG,inc death,LI,1,0.21205551721658242
USC-SIkJalpha,inc death,LI,1,0.08069369239215082
epiforecasts-EpiNow2,inc death,LI,1,0.2568559786003674
IEM_Health-CovidProject,inc case,LT,1,0.22200860185111038
ILM-EKF,inc case,LT,1,0.19678035164075697
LANL-GrowthRate,inc case,LT,1,0.1385333675550929
USC-SIkJalpha,inc case,LT,1,0.2584577752893524
epiforecasts-EpiNow2,inc case,LT,1,0.18421990366368735
IEM_Health-CovidProject,inc death,LT,1,0.13537993202527837
ILM-EKF,inc death,LT,1,0.08825874021537485
LANL-GrowthRate,inc death,LT,1,0.2158761078240925
RobertWalraven-ESG,inc death,LT,1,0.19246785516846804
USC-SIkJalpha,inc death,LT,1,0.2158761078240925
epiforecasts-EpiNow2,inc death,LT,1,0.15214125694269376
IEM_Health-CovidProject,inc case,LU,1,0.14350046891885024
ILM-EKF,inc case,LU,1,0.22136894042520308
LANL-GrowthRate,inc case,LU,1,0.11898580547854667
USC-SIkJalpha,inc case,LU,1,0.13159720421590415
epiforecasts-EpiExpert,inc case,LU,1,0.26198709463166236
epiforecasts-EpiNow2,inc case,LU,1,0.12256048632983349
IEM_Health-CovidProject,inc death,LU,1,0.10280236263584142
ILM-EKF,inc death,LU,1,0.1400495954749144
LANL-GrowthRate,inc death,LU,1,0.16105703479615158
RobertWalraven-ESG,inc death,LU,1,0.1400495954749144
USC-SIkJalpha,inc death,LU,1,0.09520612894353789
epiforecasts-EpiExpert,inc death,LU,1,0.13610453644745205
epiforecasts-EpiNow2,inc death,LU,1,0.22473074622718825
IEM_Health-CovidProject,inc case,LV,1,0.13856334942671078
ILM-EKF,inc case,LV,1,0.17815287783434244
LANL-GrowthRate,inc case,LV,1,0.11777884701270418
USC-SIkJalpha,inc case,LV,1,0.13503307300819586
epiforecasts-EpiExpert,inc case,LV,1,0.2141433582049167
epiforecasts-EpiNow2,inc case,LV,1,0.2163284945131301
IEM_Health-CovidProject,inc death,LV,1,0.09050892705034917
ILM-EKF,inc death,LV,1,0.06285342156274248
LANL-GrowthRate,inc death,LV,1,0.191216043064118
RobertWalraven-ESG,inc death,LV,1,0.16760912416731327
USC-SIkJalpha,inc death,LV,1,0.1697042382194047
epiforecasts-EpiExpert,inc death,LV,1,0.1525431354781166
epiforecasts-EpiNow2,inc death,LV,1,0.1655651104579558
IEM_Health-CovidProject,inc case,MT,1,0.1565064325679875
ILM-EKF,inc case,MT,1,0.13557824681761707
