weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.17,0.87,-0.16,127,32,NA
10,EuroCOVIDhub-mean,inc case,1,Overall,0.9,0.82,0.65,0.98,-0.01,127,32,NA
10,EuroCOVIDhub-median,inc case,1,Overall,0.95,0.81,0.59,0.98,-0.02,127,32,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.27,0.79,-0.31,95,32,NA
10,EuroCOVIDhub-mean,inc case,2,Overall,0.93,0.76,0.48,0.95,-0.02,95,32,NA
10,EuroCOVIDhub-median,inc case,2,Overall,0.97,0.78,0.37,0.93,-0.05,95,32,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.25,0.78,-0.3,63,32,NA
10,EuroCOVIDhub-mean,inc case,3,Overall,0.82,0.72,0.41,0.94,-0.01,63,32,NA
10,EuroCOVIDhub-median,inc case,3,Overall,0.84,0.7,0.38,0.89,-0.08,63,32,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.23,0.68,-0.32,31,31,NA
10,EuroCOVIDhub-mean,inc case,4,Overall,0.92,0.77,0.39,0.9,-0.11,31,31,NA
10,EuroCOVIDhub-median,inc case,4,Overall,0.99,0.78,0.35,0.9,-0.2,31,31,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.3,0.95,-0.03,128,32,NA
10,EuroCOVIDhub-mean,inc death,1,Overall,0.67,0.69,0.68,0.94,0.13,128,32,NA
10,EuroCOVIDhub-median,inc death,1,Overall,0.63,0.65,0.65,0.98,0.06,128,32,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.46,0.89,-0.06,96,32,NA
10,EuroCOVIDhub-mean,inc death,2,Overall,0.6,0.6,0.65,0.91,0.17,96,32,NA
10,EuroCOVIDhub-median,inc death,2,Overall,0.61,0.62,0.65,0.96,0.07,96,32,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.45,0.86,-0.07,64,32,NA
10,EuroCOVIDhub-mean,inc death,3,Overall,0.56,0.54,0.59,0.94,0.12,64,32,NA
10,EuroCOVIDhub-median,inc death,3,Overall,0.65,0.59,0.59,0.95,0.01,64,32,NA
