weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.67,0.63,0.62,0.94,0.04,383,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.67,0.63,0.59,0.93,0.03,383,29,NA
All,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.32,0.94,0.14,523,32,NA
All,EuroCOVIDhub-mean,inc case,1,Overall,0.7,0.66,0.59,0.95,0.07,408,31,NA
All,EuroCOVIDhub-median,inc case,1,Overall,0.73,0.65,0.56,0.91,0.04,408,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.57,0.55,0.51,0.9,0.11,356,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.57,0.55,0.49,0.88,0.07,356,30,NA
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.37,0.88,0.14,494,31,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.6,0.59,0.48,0.9,0.11,383,31,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.6,0.6,0.45,0.87,0.04,383,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.65,0.62,0.41,0.83,0.17,328,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.65,0.62,0.41,0.83,0.12,328,30,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.38,0.84,0.19,463,31,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.68,0.66,0.39,0.83,0.16,350,31,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.66,0.67,0.4,0.82,0.07,350,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,0.65,0.65,0.34,0.77,0.25,302,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,0.65,0.65,0.37,0.78,0.19,302,30,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.38,0.82,0.24,436,31,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,0.69,0.69,0.35,0.76,0.23,323,31,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.67,0.68,0.36,0.78,0.13,323,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.52,0.51,0.65,0.96,0.16,355,26,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.51,0.49,0.65,0.96,0.13,355,26,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.49,0.95,0.18,505,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.52,0.53,0.7,0.97,0.16,398,29,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.49,0.51,0.69,0.96,0.12,398,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.41,0.4,0.61,0.95,0.24,334,25,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.4,0.39,0.62,0.94,0.2,334,25,NA
All,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.59,0.92,0.21,476,29,NA
All,EuroCOVIDhub-mean,inc death,2,Overall,0.39,0.4,0.67,0.96,0.24,376,29,NA
All,EuroCOVIDhub-median,inc death,2,Overall,0.39,0.39,0.65,0.96,0.18,376,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,Overall,0.38,0.37,0.55,0.91,0.32,310,25,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,Overall,0.37,0.35,0.54,0.94,0.27,310,25,NA
All,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.59,0.88,0.24,452,29,NA
All,EuroCOVIDhub-mean,inc death,3,Overall,0.38,0.36,0.63,0.94,0.32,348,29,NA
All,EuroCOVIDhub-median,inc death,3,Overall,0.37,0.34,0.6,0.95,0.24,348,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.4,0.37,0.5,0.89,0.41,286,24,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.36,0.33,0.49,0.9,0.35,286,24,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.61,0.85,0.28,424,29,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.41,0.38,0.57,0.91,0.39,322,29,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.35,0.33,0.57,0.93,0.29,322,29,NA
