weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.8,0.68,0.53,0.89,-0.07,1020,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.82,0.7,0.5,0.88,-0.09,1020,31,NA
All,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.27,0.84,-0.1,1216,32,NA
All,EuroCOVIDhub-mean,inc case,1,Overall,0.79,0.67,0.53,0.91,-0.04,1101,32,NA
All,EuroCOVIDhub-median,inc case,1,Overall,0.83,0.72,0.5,0.88,-0.08,1101,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.92,0.79,0.44,0.83,-0.06,987,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.89,0.78,0.42,0.82,-0.1,987,32,NA
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.31,0.77,-0.11,1180,32,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.91,0.79,0.44,0.84,-0.04,1069,32,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.87,0.77,0.39,0.82,-0.12,1069,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.85,0.76,0.36,0.78,-0.04,955,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.85,0.76,0.34,0.77,-0.11,955,32,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.32,0.74,-0.1,1139,32,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.85,0.74,0.36,0.78,-0.02,1026,32,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.83,0.75,0.33,0.74,-0.15,1026,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.03,0.92,0.32,0.75,-0.03,926,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,0.96,0.87,0.31,0.74,-0.11,926,32,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.33,0.71,-0.1,1114,32,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,1.04,0.93,0.34,0.74,-0.01,1001,32,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.94,0.86,0.3,0.71,-0.17,1001,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.63,0.57,0.52,0.92,0.12,907,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.61,0.53,0.5,0.92,0.04,907,30,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.61,0.86,-0,1087,30,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.64,0.57,0.55,0.92,0.14,985,30,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.62,0.54,0.51,0.92,0,985,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.61,0.57,0.65,0.97,0.04,992,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.6,0.56,0.61,0.96,0.01,992,30,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.46,0.95,-0.01,1180,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.62,0.58,0.67,0.97,0.05,1073,30,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.59,0.56,0.63,0.96,0,1073,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.53,0.48,0.59,0.96,0.07,962,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.53,0.47,0.58,0.95,0.03,962,30,NA
All,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.56,0.92,-0,1141,30,NA
All,EuroCOVIDhub-mean,inc death,2,Overall,0.53,0.48,0.63,0.97,0.09,1041,30,NA
All,EuroCOVIDhub-median,inc death,2,Overall,0.53,0.48,0.59,0.95,0.01,1041,30,NA
