weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.74,0.64,0.53,0.89,-0.08,996,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.75,0.66,0.51,0.88,-0.09,996,31,NA
All,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.27,0.85,-0.09,1190,32,NA
All,EuroCOVIDhub-mean,inc case,1,Overall,0.75,0.64,0.53,0.91,-0.04,1075,32,NA
All,EuroCOVIDhub-median,inc case,1,Overall,0.78,0.7,0.51,0.88,-0.08,1075,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.79,0.69,0.45,0.85,-0.05,961,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.8,0.71,0.43,0.83,-0.1,961,32,NA
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.32,0.79,-0.1,1152,32,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.79,0.69,0.44,0.85,-0.03,1041,32,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.8,0.71,0.4,0.83,-0.11,1041,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.9,0.82,0.37,0.79,-0.03,929,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.87,0.8,0.35,0.78,-0.09,929,32,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.33,0.76,-0.08,1112,32,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.91,0.81,0.36,0.79,-0,999,32,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.85,0.79,0.34,0.76,-0.13,999,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.05,0.95,0.33,0.76,-0.01,900,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,0.98,0.89,0.32,0.75,-0.09,900,31,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.33,0.73,-0.08,1086,32,NA
