weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.76,0.7,0.6,0.94,0.04,433,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.76,0.68,0.58,0.94,0.03,433,29,NA
All,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.34,0.94,0.1,576,32,NA
All,EuroCOVIDhub-mean,inc case,1,Overall,0.8,0.73,0.59,0.95,0.07,461,31,NA
All,EuroCOVIDhub-median,inc case,1,Overall,0.8,0.71,0.56,0.92,0.04,461,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.81,0.79,0.49,0.89,0.1,406,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.79,0.76,0.47,0.87,0.06,406,30,NA
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.39,0.89,0.11,546,31,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.83,0.83,0.46,0.89,0.11,435,31,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.79,0.79,0.43,0.87,0.04,435,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.92,0.9,0.39,0.81,0.14,377,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.86,0.85,0.39,0.81,0.08,377,30,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.39,0.85,0.14,515,31,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.93,0.93,0.37,0.82,0.15,402,31,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.85,0.86,0.37,0.79,0.03,402,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,0.84,0.84,0.33,0.78,0.18,349,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,0.83,0.82,0.34,0.77,0.1,349,30,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.4,0.83,0.17,488,31,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,0.88,0.89,0.34,0.78,0.17,375,31,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.82,0.83,0.33,0.75,0.03,375,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.53,0.51,0.66,0.96,0.14,400,26,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.52,0.5,0.65,0.96,0.12,400,26,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.51,0.95,0.15,555,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.53,0.53,0.7,0.97,0.14,448,29,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.51,0.52,0.69,0.96,0.11,448,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.41,0.4,0.63,0.95,0.22,379,26,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.41,0.39,0.64,0.95,0.18,379,26,NA
All,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.62,0.93,0.18,525,29,NA
All,EuroCOVIDhub-mean,inc death,2,Overall,0.4,0.4,0.69,0.96,0.22,425,29,NA
All,EuroCOVIDhub-median,inc death,2,Overall,0.4,0.4,0.67,0.96,0.16,425,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,Overall,0.4,0.38,0.56,0.91,0.31,354,26,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,Overall,0.38,0.36,0.56,0.94,0.25,354,26,NA
All,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.63,0.89,0.22,502,29,NA
All,EuroCOVIDhub-mean,inc death,3,Overall,0.4,0.38,0.63,0.94,0.31,398,29,NA
All,EuroCOVIDhub-median,inc death,3,Overall,0.38,0.35,0.62,0.95,0.22,398,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.41,0.38,0.52,0.89,0.37,328,25,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.37,0.34,0.5,0.91,0.3,328,25,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.64,0.86,0.25,474,29,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.42,0.39,0.58,0.91,0.36,372,29,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.36,0.33,0.59,0.93,0.23,372,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,BE,1.08,1.06,0.44,0.89,-0.01,18,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,BE,1.08,1.04,0.39,0.89,0.02,18,1,Belgium
All,EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.36,1,0.02,22,1,Belgium
All,EuroCOVIDhub-mean,inc case,1,BE,1.09,1.03,0.44,0.94,0.04,18,1,Belgium
All,EuroCOVIDhub-median,inc case,1,BE,1.11,1.01,0.44,0.94,0.04,18,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,BE,0.84,0.96,0.53,0.88,0.05,17,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,BE,0.86,0.96,0.53,0.88,0.06,17,1,Belgium
All,EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.33,1,0.1,21,1,Belgium
All,EuroCOVIDhub-mean,inc case,2,BE,0.83,0.93,0.59,0.88,0.09,17,1,Belgium
All,EuroCOVIDhub-median,inc case,2,BE,0.8,0.91,0.59,0.82,0.08,17,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,BE,0.81,0.95,0.38,0.81,0.09,16,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,BE,0.81,0.96,0.44,0.81,0.05,16,1,Belgium
All,EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.4,1,0.14,20,1,Belgium
All,EuroCOVIDhub-mean,inc case,3,BE,0.82,0.95,0.5,0.88,0.14,16,1,Belgium
All,EuroCOVIDhub-median,inc case,3,BE,0.75,0.91,0.62,0.81,0.06,16,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BE,0.83,0.96,0.33,0.87,0.13,15,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BE,0.83,0.97,0.33,0.8,0.08,15,1,Belgium
