weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.72,0.67,0.61,0.95,0,631,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.72,0.66,0.59,0.95,-0.01,631,29,NA
All,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.34,0.94,0.04,798,32,NA
All,EuroCOVIDhub-mean,inc case,1,Overall,0.76,0.7,0.6,0.96,0.04,683,31,NA
All,EuroCOVIDhub-median,inc case,1,Overall,0.76,0.68,0.57,0.94,-0,683,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.81,0.79,0.51,0.91,0.08,603,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.77,0.75,0.5,0.9,0.03,603,30,NA
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.39,0.9,0.04,767,31,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.83,0.82,0.49,0.9,0.1,656,31,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.77,0.77,0.47,0.89,0,656,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.98,0.97,0.42,0.84,0.13,572,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.88,0.86,0.41,0.85,0.05,572,30,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.87,0.06,732,31,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,1.01,1.01,0.41,0.84,0.15,619,31,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.86,0.86,0.41,0.83,0,619,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.3,1.34,0.36,0.8,0.16,544,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,1.04,1.04,0.37,0.81,0.06,544,30,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.85,0.08,705,31,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,1.34,1.42,0.39,0.79,0.18,592,31,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.97,0.99,0.36,0.79,0.01,592,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.55,0.52,0.66,0.97,0.06,587,27,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.55,0.5,0.64,0.97,0.03,587,27,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.54,0.96,0.07,757,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.56,0.54,0.69,0.98,0.06,650,29,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.54,0.52,0.66,0.97,0.02,650,29,NA
