weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,compare_against,mean_scores_ratio,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-baseline,inc case,3,BG,1,1,EuroCOVIDhub-mean,1.03,0.22,0.58,0.03,50,1,Bulgaria
All,EuroCOVIDhub-baseline,inc case,3,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.03,0.22,0.58,0.03,50,1,Bulgaria
All,EuroCOVIDhub-baseline,inc case,3,BG,1,1,EuroCOVIDhub-baseline,1,0.22,0.58,0.03,50,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,3,BG,1.12,0.97,EuroCOVIDhub-baseline,0.97,0.35,0.8,0.07,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,3,BG,1.12,0.97,EuroCOVIDhub-median,1.04,0.35,0.8,0.07,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,3,BG,1.12,0.97,EuroCOVIDhub-All_relative_skill_weighted_median,1.05,0.35,0.8,0.07,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,3,BG,1.12,0.97,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.35,0.8,0.07,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,3,BG,1.12,0.97,EuroCOVIDhub-mean,1,0.35,0.8,0.07,46,1,Bulgaria
All,EuroCOVIDhub-median,inc case,3,BG,1.07,0.94,EuroCOVIDhub-baseline,0.94,0.33,0.74,-0,46,1,Bulgaria
All,EuroCOVIDhub-median,inc case,3,BG,1.07,0.94,EuroCOVIDhub-All_relative_skill_weighted_median,1.01,0.33,0.74,-0,46,1,Bulgaria
All,EuroCOVIDhub-median,inc case,3,BG,1.07,0.94,EuroCOVIDhub-mean,0.96,0.33,0.74,-0,46,1,Bulgaria
All,EuroCOVIDhub-median,inc case,3,BG,1.07,0.94,EuroCOVIDhub-All_relative_skill_weighted_mean,0.96,0.33,0.74,-0,46,1,Bulgaria
All,EuroCOVIDhub-median,inc case,3,BG,1.07,0.94,EuroCOVIDhub-median,1,0.33,0.74,-0,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BG,1.4,1.24,EuroCOVIDhub-mean,0.99,0.22,0.62,0.07,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BG,1.4,1.24,EuroCOVIDhub-All_relative_skill_weighted_median,1.11,0.22,0.62,0.07,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BG,1.4,1.24,EuroCOVIDhub-median,1.19,0.22,0.62,0.07,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BG,1.4,1.24,EuroCOVIDhub-baseline,1.24,0.22,0.62,0.07,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BG,1.4,1.24,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.22,0.62,0.07,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BG,1.28,1.12,EuroCOVIDhub-mean,0.89,0.2,0.62,0.01,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BG,1.28,1.12,EuroCOVIDhub-median,1.07,0.2,0.62,0.01,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BG,1.28,1.12,EuroCOVIDhub-baseline,1.12,0.2,0.62,0.01,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BG,1.28,1.12,EuroCOVIDhub-All_relative_skill_weighted_mean,0.9,0.2,0.62,0.01,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BG,1.28,1.12,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.2,0.62,0.01,45,1,Bulgaria
All,EuroCOVIDhub-baseline,inc case,4,BG,1,1,EuroCOVIDhub-median,0.96,0.22,0.57,-0.02,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc case,4,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,0.89,0.22,0.57,-0.02,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc case,4,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,0.81,0.22,0.57,-0.02,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc case,4,BG,1,1,EuroCOVIDhub-mean,0.8,0.22,0.57,-0.02,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc case,4,BG,1,1,EuroCOVIDhub-baseline,1,0.22,0.57,-0.02,49,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,4,BG,1.42,1.25,EuroCOVIDhub-median,1.2,0.24,0.67,0.08,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,4,BG,1.42,1.25,EuroCOVIDhub-baseline,1.25,0.24,0.67,0.08,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,4,BG,1.42,1.25,EuroCOVIDhub-All_relative_skill_weighted_median,1.12,0.24,0.67,0.08,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,4,BG,1.42,1.25,EuroCOVIDhub-All_relative_skill_weighted_mean,1.01,0.24,0.67,0.08,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc case,4,BG,1.42,1.25,EuroCOVIDhub-mean,1,0.24,0.67,0.08,45,1,Bulgaria
All,EuroCOVIDhub-median,inc case,4,BG,1.17,1.04,EuroCOVIDhub-baseline,1.04,0.29,0.64,-0.04,45,1,Bulgaria
All,EuroCOVIDhub-median,inc case,4,BG,1.17,1.04,EuroCOVIDhub-All_relative_skill_weighted_median,0.93,0.29,0.64,-0.04,45,1,Bulgaria
All,EuroCOVIDhub-median,inc case,4,BG,1.17,1.04,EuroCOVIDhub-All_relative_skill_weighted_mean,0.84,0.29,0.64,-0.04,45,1,Bulgaria
All,EuroCOVIDhub-median,inc case,4,BG,1.17,1.04,EuroCOVIDhub-mean,0.83,0.29,0.64,-0.04,45,1,Bulgaria
All,EuroCOVIDhub-median,inc case,4,BG,1.17,1.04,EuroCOVIDhub-median,1,0.29,0.64,-0.04,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,BG,0.6,0.7,EuroCOVIDhub-baseline,0.7,0.71,1,-0.07,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,BG,0.6,0.7,EuroCOVIDhub-mean,1,0.71,1,-0.07,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,BG,0.6,0.7,EuroCOVIDhub-All_relative_skill_weighted_median,1.04,0.71,1,-0.07,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,BG,0.6,0.7,EuroCOVIDhub-median,1.06,0.71,1,-0.07,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,BG,0.6,0.7,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.71,1,-0.07,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,BG,0.55,0.67,EuroCOVIDhub-baseline,0.67,0.69,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,BG,0.55,0.67,EuroCOVIDhub-mean,0.96,0.69,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,BG,0.55,0.67,EuroCOVIDhub-median,1.02,0.69,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,BG,0.55,0.67,EuroCOVIDhub-All_relative_skill_weighted_mean,0.96,0.69,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,BG,0.55,0.67,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.69,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,1,BG,1,1,EuroCOVIDhub-median,1.51,0.21,0.92,0.06,52,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,1,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.48,0.21,0.92,0.06,52,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,1,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.43,0.21,0.92,0.06,52,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,1,BG,1,1,EuroCOVIDhub-mean,1.43,0.21,0.92,0.06,52,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,1,BG,1,1,EuroCOVIDhub-baseline,1,0.21,0.92,0.06,52,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,1,BG,0.61,0.7,EuroCOVIDhub-baseline,0.7,0.71,1,-0.06,48,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,1,BG,0.61,0.7,EuroCOVIDhub-median,1.06,0.71,1,-0.06,48,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,1,BG,0.61,0.7,EuroCOVIDhub-All_relative_skill_weighted_median,1.04,0.71,1,-0.06,48,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,1,BG,0.61,0.7,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.71,1,-0.06,48,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,1,BG,0.61,0.7,EuroCOVIDhub-mean,1,0.71,1,-0.06,48,1,Bulgaria
All,EuroCOVIDhub-median,inc death,1,BG,0.54,0.66,EuroCOVIDhub-baseline,0.66,0.65,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-median,inc death,1,BG,0.54,0.66,EuroCOVIDhub-All_relative_skill_weighted_median,0.98,0.65,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-median,inc death,1,BG,0.54,0.66,EuroCOVIDhub-All_relative_skill_weighted_mean,0.95,0.65,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-median,inc death,1,BG,0.54,0.66,EuroCOVIDhub-mean,0.95,0.65,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-median,inc death,1,BG,0.54,0.66,EuroCOVIDhub-median,1,0.65,1,-0.1,48,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,BG,0.63,0.64,EuroCOVIDhub-baseline,0.64,0.64,1,-0.02,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,BG,0.63,0.64,EuroCOVIDhub-mean,1.03,0.64,1,-0.02,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,BG,0.63,0.64,EuroCOVIDhub-All_relative_skill_weighted_median,1.1,0.64,1,-0.02,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,BG,0.63,0.64,EuroCOVIDhub-median,1.19,0.64,1,-0.02,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,BG,0.63,0.64,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.64,1,-0.02,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,BG,0.57,0.58,EuroCOVIDhub-baseline,0.58,0.62,0.98,-0.07,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,BG,0.57,0.58,EuroCOVIDhub-mean,0.93,0.62,0.98,-0.07,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,BG,0.57,0.58,EuroCOVIDhub-median,1.08,0.62,0.98,-0.07,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,BG,0.57,0.58,EuroCOVIDhub-All_relative_skill_weighted_mean,0.91,0.62,0.98,-0.07,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,BG,0.57,0.58,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.62,0.98,-0.07,47,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,2,BG,1,1,EuroCOVIDhub-median,1.86,0.25,0.86,0,51,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,2,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.72,0.25,0.86,0,51,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,2,BG,1,1,EuroCOVIDhub-mean,1.6,0.25,0.86,0,51,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,2,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.56,0.25,0.86,0,51,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,2,BG,1,1,EuroCOVIDhub-baseline,1,0.25,0.86,0,51,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,2,BG,0.61,0.62,EuroCOVIDhub-baseline,0.62,0.7,1,-0.01,47,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,2,BG,0.61,0.62,EuroCOVIDhub-median,1.16,0.7,1,-0.01,47,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,2,BG,0.61,0.62,EuroCOVIDhub-All_relative_skill_weighted_median,1.07,0.7,1,-0.01,47,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,2,BG,0.61,0.62,EuroCOVIDhub-All_relative_skill_weighted_mean,0.97,0.7,1,-0.01,47,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,2,BG,0.61,0.62,EuroCOVIDhub-mean,1,0.7,1,-0.01,47,1,Bulgaria
All,EuroCOVIDhub-median,inc death,2,BG,0.49,0.54,EuroCOVIDhub-baseline,0.54,0.66,0.98,-0.1,47,1,Bulgaria
All,EuroCOVIDhub-median,inc death,2,BG,0.49,0.54,EuroCOVIDhub-All_relative_skill_weighted_median,0.92,0.66,0.98,-0.1,47,1,Bulgaria
All,EuroCOVIDhub-median,inc death,2,BG,0.49,0.54,EuroCOVIDhub-mean,0.86,0.66,0.98,-0.1,47,1,Bulgaria
All,EuroCOVIDhub-median,inc death,2,BG,0.49,0.54,EuroCOVIDhub-All_relative_skill_weighted_mean,0.84,0.66,0.98,-0.1,47,1,Bulgaria
All,EuroCOVIDhub-median,inc death,2,BG,0.49,0.54,EuroCOVIDhub-median,1,0.66,0.98,-0.1,47,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,BG,0.78,0.75,EuroCOVIDhub-baseline,0.75,0.52,0.98,-0,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,BG,0.78,0.75,EuroCOVIDhub-mean,1.04,0.52,0.98,-0,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,BG,0.78,0.75,EuroCOVIDhub-All_relative_skill_weighted_median,1.13,0.52,0.98,-0,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,BG,0.78,0.75,EuroCOVIDhub-median,1.27,0.52,0.98,-0,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,BG,0.78,0.75,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.52,0.98,-0,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,BG,0.71,0.66,EuroCOVIDhub-baseline,0.66,0.46,0.96,-0.06,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,BG,0.71,0.66,EuroCOVIDhub-mean,0.93,0.46,0.96,-0.06,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,BG,0.71,0.66,EuroCOVIDhub-median,1.13,0.46,0.96,-0.06,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,BG,0.71,0.66,EuroCOVIDhub-All_relative_skill_weighted_mean,0.89,0.46,0.96,-0.06,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,BG,0.71,0.66,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.46,0.96,-0.06,46,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,3,BG,1,1,EuroCOVIDhub-median,1.7,0.26,0.84,-0.01,50,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,3,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.51,0.26,0.84,-0.01,50,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,3,BG,1,1,EuroCOVIDhub-mean,1.39,0.26,0.84,-0.01,50,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,3,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.34,0.26,0.84,-0.01,50,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,3,BG,1,1,EuroCOVIDhub-baseline,1,0.26,0.84,-0.01,50,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,3,BG,0.74,0.72,EuroCOVIDhub-baseline,0.72,0.57,0.98,0.02,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,3,BG,0.74,0.72,EuroCOVIDhub-median,1.22,0.57,0.98,0.02,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,3,BG,0.74,0.72,EuroCOVIDhub-All_relative_skill_weighted_median,1.08,0.57,0.98,0.02,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,3,BG,0.74,0.72,EuroCOVIDhub-All_relative_skill_weighted_mean,0.96,0.57,0.98,0.02,46,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,3,BG,0.74,0.72,EuroCOVIDhub-mean,1,0.57,0.98,0.02,46,1,Bulgaria
All,EuroCOVIDhub-median,inc death,3,BG,0.59,0.59,EuroCOVIDhub-baseline,0.59,0.52,0.98,-0.12,46,1,Bulgaria
All,EuroCOVIDhub-median,inc death,3,BG,0.59,0.59,EuroCOVIDhub-All_relative_skill_weighted_median,0.89,0.52,0.98,-0.12,46,1,Bulgaria
All,EuroCOVIDhub-median,inc death,3,BG,0.59,0.59,EuroCOVIDhub-mean,0.82,0.52,0.98,-0.12,46,1,Bulgaria
All,EuroCOVIDhub-median,inc death,3,BG,0.59,0.59,EuroCOVIDhub-All_relative_skill_weighted_mean,0.79,0.52,0.98,-0.12,46,1,Bulgaria
All,EuroCOVIDhub-median,inc death,3,BG,0.59,0.59,EuroCOVIDhub-median,1,0.52,0.98,-0.12,46,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,BG,1,0.91,EuroCOVIDhub-baseline,0.91,0.47,0.98,0.04,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,BG,1,0.91,EuroCOVIDhub-mean,1.05,0.47,0.98,0.04,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,BG,1,0.91,EuroCOVIDhub-All_relative_skill_weighted_median,1.14,0.47,0.98,0.04,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,BG,1,0.91,EuroCOVIDhub-median,1.37,0.47,0.98,0.04,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,BG,1,0.91,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.47,0.98,0.04,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,BG,0.91,0.8,EuroCOVIDhub-baseline,0.8,0.38,0.93,-0.03,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,BG,0.91,0.8,EuroCOVIDhub-mean,0.92,0.38,0.93,-0.03,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,BG,0.91,0.8,EuroCOVIDhub-median,1.2,0.38,0.93,-0.03,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,BG,0.91,0.8,EuroCOVIDhub-All_relative_skill_weighted_mean,0.88,0.38,0.93,-0.03,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,BG,0.91,0.8,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.38,0.93,-0.03,45,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,4,BG,1,1,EuroCOVIDhub-median,1.5,0.29,0.73,-0.01,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,4,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.25,0.29,0.73,-0.01,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,4,BG,1,1,EuroCOVIDhub-mean,1.15,0.29,0.73,-0.01,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,4,BG,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.1,0.29,0.73,-0.01,49,1,Bulgaria
All,EuroCOVIDhub-baseline,inc death,4,BG,1,1,EuroCOVIDhub-baseline,1,0.29,0.73,-0.01,49,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,4,BG,0.95,0.87,EuroCOVIDhub-baseline,0.87,0.51,0.98,0.05,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,4,BG,0.95,0.87,EuroCOVIDhub-median,1.31,0.51,0.98,0.05,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,4,BG,0.95,0.87,EuroCOVIDhub-All_relative_skill_weighted_median,1.08,0.51,0.98,0.05,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,4,BG,0.95,0.87,EuroCOVIDhub-All_relative_skill_weighted_mean,0.96,0.51,0.98,0.05,45,1,Bulgaria
All,EuroCOVIDhub-mean,inc death,4,BG,0.95,0.87,EuroCOVIDhub-mean,1,0.51,0.98,0.05,45,1,Bulgaria
All,EuroCOVIDhub-median,inc death,4,BG,0.72,0.67,EuroCOVIDhub-baseline,0.67,0.42,0.93,-0.12,45,1,Bulgaria
All,EuroCOVIDhub-median,inc death,4,BG,0.72,0.67,EuroCOVIDhub-All_relative_skill_weighted_median,0.83,0.42,0.93,-0.12,45,1,Bulgaria
All,EuroCOVIDhub-median,inc death,4,BG,0.72,0.67,EuroCOVIDhub-mean,0.77,0.42,0.93,-0.12,45,1,Bulgaria
All,EuroCOVIDhub-median,inc death,4,BG,0.72,0.67,EuroCOVIDhub-All_relative_skill_weighted_mean,0.73,0.42,0.93,-0.12,45,1,Bulgaria
All,EuroCOVIDhub-median,inc death,4,BG,0.72,0.67,EuroCOVIDhub-median,1,0.42,0.93,-0.12,45,1,Bulgaria
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,CH,0.68,0.6,EuroCOVIDhub-baseline,0.6,0.54,0.9,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,CH,0.68,0.6,EuroCOVIDhub-All_relative_skill_weighted_median,0.98,0.54,0.9,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,CH,0.68,0.6,EuroCOVIDhub-median,0.98,0.54,0.9,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,CH,0.68,0.6,EuroCOVIDhub-mean,1.02,0.54,0.9,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,CH,0.68,0.6,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.54,0.9,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,CH,0.7,0.61,EuroCOVIDhub-baseline,0.61,0.54,0.88,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,CH,0.7,0.61,EuroCOVIDhub-median,1.01,0.54,0.88,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,CH,0.7,0.61,EuroCOVIDhub-mean,1.04,0.54,0.88,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,CH,0.7,0.61,EuroCOVIDhub-All_relative_skill_weighted_mean,1.02,0.54,0.88,-0.08,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,CH,0.7,0.61,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.54,0.88,-0.08,48,1,Switzerland
All,EuroCOVIDhub-baseline,inc case,1,CH,1,1,EuroCOVIDhub-mean,1.71,0.15,0.79,-0.1,52,1,Switzerland
All,EuroCOVIDhub-baseline,inc case,1,CH,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.68,0.15,0.79,-0.1,52,1,Switzerland
All,EuroCOVIDhub-baseline,inc case,1,CH,1,1,EuroCOVIDhub-median,1.65,0.15,0.79,-0.1,52,1,Switzerland
All,EuroCOVIDhub-baseline,inc case,1,CH,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.64,0.15,0.79,-0.1,52,1,Switzerland
All,EuroCOVIDhub-baseline,inc case,1,CH,1,1,EuroCOVIDhub-baseline,1,0.15,0.79,-0.1,52,1,Switzerland
All,EuroCOVIDhub-mean,inc case,1,CH,0.68,0.58,EuroCOVIDhub-baseline,0.58,0.52,0.96,-0.03,48,1,Switzerland
All,EuroCOVIDhub-mean,inc case,1,CH,0.68,0.58,EuroCOVIDhub-median,0.96,0.52,0.96,-0.03,48,1,Switzerland
All,EuroCOVIDhub-mean,inc case,1,CH,0.68,0.58,EuroCOVIDhub-All_relative_skill_weighted_mean,0.98,0.52,0.96,-0.03,48,1,Switzerland
All,EuroCOVIDhub-mean,inc case,1,CH,0.68,0.58,EuroCOVIDhub-All_relative_skill_weighted_median,0.96,0.52,0.96,-0.03,48,1,Switzerland
All,EuroCOVIDhub-mean,inc case,1,CH,0.68,0.58,EuroCOVIDhub-mean,1,0.52,0.96,-0.03,48,1,Switzerland
All,EuroCOVIDhub-median,inc case,1,CH,0.7,0.6,EuroCOVIDhub-baseline,0.6,0.52,0.94,-0.1,48,1,Switzerland
All,EuroCOVIDhub-median,inc case,1,CH,0.7,0.6,EuroCOVIDhub-mean,1.04,0.52,0.94,-0.1,48,1,Switzerland
All,EuroCOVIDhub-median,inc case,1,CH,0.7,0.6,EuroCOVIDhub-All_relative_skill_weighted_mean,1.02,0.52,0.94,-0.1,48,1,Switzerland
All,EuroCOVIDhub-median,inc case,1,CH,0.7,0.6,EuroCOVIDhub-All_relative_skill_weighted_median,0.99,0.52,0.94,-0.1,48,1,Switzerland
All,EuroCOVIDhub-median,inc case,1,CH,0.7,0.6,EuroCOVIDhub-median,1,0.52,0.94,-0.1,48,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,CH,0.71,0.6,EuroCOVIDhub-baseline,0.6,0.36,0.79,-0.06,47,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,CH,0.71,0.6,EuroCOVIDhub-All_relative_skill_weighted_median,0.97,0.36,0.79,-0.06,47,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,CH,0.71,0.6,EuroCOVIDhub-median,1.01,0.36,0.79,-0.06,47,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,CH,0.71,0.6,EuroCOVIDhub-mean,1.06,0.36,0.79,-0.06,47,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,CH,0.71,0.6,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.36,0.79,-0.06,47,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,CH,0.72,0.61,EuroCOVIDhub-baseline,0.61,0.43,0.77,-0.12,47,1,Switzerland
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,CH,0.72,0.61,EuroCOVIDhub-median,1.04,0.43,0.77,-0.12,47,1,Switzerland
