weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,compare_against,mean_scores_ratio,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.4,0.28,0.72,-0.07,1361,32,NA
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,EuroCOVIDhub-baseline,1,0.28,0.72,-0.07,1361,32,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-baseline,0.69,0.43,0.83,-0.02,1250,32,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-median,1,0.43,0.83,-0.02,1250,32,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-All_relative_skill_weighted_median,1.01,0.43,0.83,-0.02,1250,32,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.43,0.83,-0.02,1250,32,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-mean,1,0.43,0.83,-0.02,1250,32,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-baseline,0.69,0.38,0.8,-0.1,1250,32,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-mean,1,0.38,0.8,-0.1,1250,32,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-All_relative_skill_weighted_median,0.99,0.38,0.8,-0.1,1250,32,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-All_relative_skill_weighted_mean,0.99,0.38,0.8,-0.1,1250,32,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.85,0.7,EuroCOVIDhub-median,1,0.38,0.8,-0.1,1250,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.97,0.82,EuroCOVIDhub-baseline,0.82,0.34,0.75,-0.02,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.97,0.82,EuroCOVIDhub-mean,0.99,0.34,0.75,-0.02,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.97,0.82,EuroCOVIDhub-All_relative_skill_weighted_median,1.09,0.34,0.75,-0.02,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.97,0.82,EuroCOVIDhub-median,1.13,0.34,0.75,-0.02,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.97,0.82,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.34,0.75,-0.02,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.9,0.75,EuroCOVIDhub-baseline,0.76,0.33,0.74,-0.09,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.9,0.75,EuroCOVIDhub-mean,0.91,0.33,0.74,-0.09,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.9,0.75,EuroCOVIDhub-median,1.04,0.33,0.74,-0.09,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.9,0.75,EuroCOVIDhub-All_relative_skill_weighted_mean,0.92,0.33,0.74,-0.09,1123,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.9,0.75,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.33,0.74,-0.09,1123,32,NA
