weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,Overall,0.6,0.59,0.71,0.97,0.17,227,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,Overall,0.61,0.58,0.69,0.97,0.19,227,29,NA
All,EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.23,0.92,0.22,353,32,NA
All,EuroCOVIDhub-mean,inc case,1,Overall,0.65,0.64,0.68,0.97,0.2,238,30,NA
All,EuroCOVIDhub-median,inc case,1,Overall,0.7,0.6,0.66,0.97,0.2,238,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,Overall,0.54,0.53,0.55,0.93,0.3,202,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,Overall,0.54,0.52,0.53,0.94,0.3,202,30,NA
All,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.28,0.86,0.23,324,31,NA
All,EuroCOVIDhub-mean,inc case,2,Overall,0.59,0.59,0.53,0.93,0.29,213,31,NA
All,EuroCOVIDhub-median,inc case,2,Overall,0.58,0.57,0.48,0.95,0.27,213,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,Overall,0.62,0.6,0.43,0.84,0.39,174,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,Overall,0.6,0.56,0.47,0.88,0.37,174,29,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.3,0.81,0.26,296,31,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.66,0.65,0.45,0.88,0.37,183,30,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.62,0.6,0.49,0.91,0.32,183,30,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,0.66,0.65,0.36,0.82,0.47,148,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,0.64,0.61,0.4,0.82,0.45,148,29,NA
All,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.32,0.78,0.3,269,31,NA
All,EuroCOVIDhub-mean,inc case,4,Overall,0.71,0.71,0.4,0.82,0.45,156,31,NA
All,EuroCOVIDhub-median,inc case,4,Overall,0.66,0.63,0.4,0.86,0.4,156,31,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,Overall,0.47,0.48,0.67,0.97,0.18,206,24,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,Overall,0.46,0.46,0.65,0.97,0.16,206,24,NA
All,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.35,0.94,0.18,332,32,NA
All,EuroCOVIDhub-mean,inc death,1,Overall,0.46,0.51,0.72,0.98,0.18,225,28,NA
All,EuroCOVIDhub-median,inc death,1,Overall,0.44,0.49,0.72,0.97,0.14,225,28,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,Overall,0.36,0.36,0.55,0.96,0.31,184,24,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,Overall,0.35,0.34,0.59,0.95,0.28,184,24,NA
All,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.47,0.88,0.2,302,29,NA
All,EuroCOVIDhub-mean,inc death,2,Overall,0.35,0.36,0.62,0.98,0.3,202,28,NA
All,EuroCOVIDhub-median,inc death,2,Overall,0.34,0.35,0.64,0.97,0.25,202,28,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,Overall,0.39,0.35,0.44,0.91,0.45,161,24,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,Overall,0.36,0.32,0.45,0.94,0.41,161,24,NA
All,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.48,0.82,0.22,282,29,NA
All,EuroCOVIDhub-mean,inc death,3,Overall,0.39,0.35,0.53,0.94,0.43,178,29,NA
All,EuroCOVIDhub-median,inc death,3,Overall,0.36,0.31,0.53,0.96,0.38,178,29,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.44,0.37,0.35,0.9,0.57,136,24,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.38,0.32,0.38,0.91,0.52,136,24,NA
All,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.52,0.78,0.26,252,29,NA
All,EuroCOVIDhub-mean,inc death,4,Overall,0.45,0.38,0.45,0.92,0.54,150,28,NA
All,EuroCOVIDhub-median,inc death,4,Overall,0.37,0.31,0.51,0.95,0.44,150,28,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,BE,1,0.95,0.56,1,0.21,9,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,BE,1.02,0.94,0.44,1,0.24,9,1,Belgium
All,EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.23,1,0.18,13,1,Belgium
All,EuroCOVIDhub-mean,inc case,1,BE,1.05,0.96,0.44,1,0.22,9,1,Belgium
All,EuroCOVIDhub-median,inc case,1,BE,1.05,0.91,0.56,1,0.22,9,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,BE,0.69,0.81,0.75,1,0.25,8,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,BE,0.72,0.81,0.75,1,0.28,8,1,Belgium
All,EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.17,1,0.23,12,1,Belgium
All,EuroCOVIDhub-mean,inc case,2,BE,0.69,0.77,0.75,1,0.22,8,1,Belgium
All,EuroCOVIDhub-median,inc case,2,BE,0.6,0.72,0.75,1,0.26,8,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,BE,0.67,0.82,0.57,1,0.33,7,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,BE,0.66,0.81,0.71,1,0.29,7,1,Belgium
All,EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.36,1,0.26,11,1,Belgium
All,EuroCOVIDhub-mean,inc case,3,BE,0.66,0.77,0.71,1,0.27,7,1,Belgium
All,EuroCOVIDhub-median,inc case,3,BE,0.56,0.74,1,1,0.24,7,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BE,0.78,0.93,0.5,1,0.52,6,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BE,0.76,0.89,0.67,1,0.47,6,1,Belgium
All,EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.3,1,0.27,10,1,Belgium
All,EuroCOVIDhub-mean,inc case,4,BE,0.62,0.8,0.67,1,0.42,6,1,Belgium
All,EuroCOVIDhub-median,inc case,4,BE,0.61,0.76,0.83,1,0.35,6,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,BE,0.78,0.64,0.78,1,0.17,9,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,BE,0.79,0.61,0.89,1,0.13,9,1,Belgium
All,EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.77,1,0.16,13,1,Belgium
All,EuroCOVIDhub-mean,inc death,1,BE,0.72,0.62,0.78,1,0.09,9,1,Belgium
All,EuroCOVIDhub-median,inc death,1,BE,0.7,0.58,0.89,1,0.09,9,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,BE,0.54,0.51,0.62,0.88,0.35,8,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,BE,0.54,0.49,0.62,0.88,0.36,8,1,Belgium
All,EuroCOVIDhub-baseline,inc death,2,BE,1,1,0.92,1,0.07,12,1,Belgium
All,EuroCOVIDhub-mean,inc death,2,BE,0.59,0.51,0.62,1,0.3,8,1,Belgium
All,EuroCOVIDhub-median,inc death,2,BE,0.53,0.5,0.62,1,0.26,8,1,Belgium
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,BE,0.62,0.53,0.57,0.86,0.49,7,1,Belgium
