weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-cutoff_median,inc death,1,Overall,0.32,0.42,0.66,0.93,0.22,97,27,NA
10,EuroCOVIDhub-mean,inc death,1,Overall,0.56,0.46,0.74,0.97,0.16,280,30,NA
10,EuroCOVIDhub-median,inc death,1,Overall,0.53,0.44,0.7,0.98,0.13,280,30,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,3,Overall,0.41,0.42,0.45,0.95,0.4,129,26,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,3,Overall,0.39,0.38,0.44,0.96,0.35,129,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,Overall,0.41,0.42,0.45,0.95,0.4,129,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,Overall,0.39,0.38,0.44,0.96,0.35,129,26,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.5,0.84,0.15,255,31,NA
10,EuroCOVIDhub-mean,inc death,3,Overall,0.51,0.39,0.58,0.95,0.3,255,31,NA
10,EuroCOVIDhub-median,inc death,3,Overall,0.53,0.36,0.58,0.97,0.23,255,31,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,4,Overall,0.51,0.47,0.4,0.92,0.5,103,26,NA
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,4,Overall,0.42,0.39,0.44,0.93,0.42,103,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,Overall,0.51,0.47,0.4,0.92,0.5,103,26,NA
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,Overall,0.42,0.39,0.44,0.93,0.42,103,26,NA
10,EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.54,0.79,0.18,224,30,NA
10,EuroCOVIDhub-mean,inc death,4,Overall,0.6,0.46,0.54,0.92,0.35,224,30,NA
10,EuroCOVIDhub-median,inc death,4,Overall,0.55,0.39,0.59,0.96,0.25,224,30,NA
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,2,AT,0.58,0.61,0.33,0.83,0.55,6,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,2,AT,0.58,0.58,0.33,0.83,0.55,6,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,AT,0.58,0.61,0.33,0.83,0.55,6,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,AT,0.58,0.58,0.33,0.83,0.55,6,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,0,1,0.34,10,1,Austria
10,EuroCOVIDhub-mean,inc case,2,AT,0.66,0.64,0.4,0.9,0.47,10,1,Austria
10,EuroCOVIDhub-median,inc case,2,AT,0.69,0.64,0.4,0.8,0.49,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,1,AT,0.62,0.49,0.57,1,0.43,7,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,1,AT,0.65,0.51,0.57,1,0.43,7,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,AT,0.62,0.49,0.57,1,0.43,7,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,AT,0.65,0.51,0.57,1,0.43,7,1,Austria
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.1,1,0.44,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc case,1,AT,0.56,0.52,0.5,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc case,1,AT,0.56,0.52,0.5,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc case,1,AT,0.56,0.52,0.5,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc case,1,AT,0.56,0.52,0.5,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc case,1,AT,0.56,0.53,0.5,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_median,inc case,1,AT,0.56,0.53,0.5,1,0.05,4,1,Austria
10,EuroCOVIDhub-mean,inc case,1,AT,0.62,0.53,0.7,0.9,0.43,10,1,Austria
10,EuroCOVIDhub-median,inc case,1,AT,0.69,0.56,0.6,0.9,0.45,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,3,AT,0.65,0.7,0.2,0.6,0.72,5,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,3,AT,0.66,0.66,0.2,0.6,0.74,5,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,AT,0.65,0.7,0.2,0.6,0.72,5,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,AT,0.66,0.66,0.2,0.6,0.74,5,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.11,1,0.42,9,1,Austria
10,EuroCOVIDhub-mean,inc case,3,AT,0.83,0.7,0.44,0.78,0.6,9,1,Austria
10,EuroCOVIDhub-median,inc case,3,AT,0.83,0.68,0.44,0.78,0.61,9,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,4,AT,0.77,0.74,0,0.75,0.82,4,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,4,AT,0.8,0.78,0,0.75,0.9,4,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,AT,0.77,0.74,0,0.75,0.82,4,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,AT,0.8,0.78,0,0.75,0.9,4,1,Austria
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.12,1,0.5,8,1,Austria
10,EuroCOVIDhub-mean,inc case,4,AT,1.05,0.7,0.12,0.75,0.74,8,1,Austria
10,EuroCOVIDhub-median,inc case,4,AT,1.11,0.7,0.12,0.88,0.72,8,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,2,AT,0.53,0.51,0.5,1,0.5,6,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,2,AT,0.55,0.5,0.33,1,0.58,6,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,AT,0.53,0.51,0.5,1,0.5,6,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,AT,0.55,0.5,0.33,1,0.58,6,1,Austria
10,EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.4,1,0.14,10,1,Austria
10,EuroCOVIDhub-mean,inc death,2,AT,0.47,0.52,0.7,1,0.31,10,1,Austria
10,EuroCOVIDhub-median,inc death,2,AT,0.5,0.5,0.6,1,0.24,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,1,AT,0.54,0.49,0.86,1,0.29,7,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,1,AT,0.53,0.44,0.71,1,0.26,7,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,AT,0.54,0.49,0.86,1,0.29,7,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,AT,0.53,0.44,0.71,1,0.26,7,1,Austria
10,EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.1,1,0.24,10,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,1,AT,0.25,0.32,1,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,1,AT,0.25,0.32,1,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,1,AT,0.25,0.32,1,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,1,AT,0.25,0.32,1,1,0.05,4,1,Austria
10,EuroCOVIDhub-cutoff_mean,inc death,1,AT,0.3,0.32,1,1,0.02,4,1,Austria
10,EuroCOVIDhub-cutoff_median,inc death,1,AT,0.3,0.32,1,1,0.02,4,1,Austria
10,EuroCOVIDhub-mean,inc death,1,AT,0.61,0.53,0.9,1,0.19,10,1,Austria
10,EuroCOVIDhub-median,inc death,1,AT,0.66,0.55,0.6,1,0.2,10,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,3,AT,0.67,0.59,0.2,1,0.7,5,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,3,AT,0.71,0.56,0.2,1,0.74,5,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,AT,0.67,0.59,0.2,1,0.7,5,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,AT,0.71,0.56,0.2,1,0.74,5,1,Austria
10,EuroCOVIDhub-baseline,inc death,3,AT,1,1,0.56,1,0.17,9,1,Austria
10,EuroCOVIDhub-mean,inc death,3,AT,0.47,0.55,0.67,1,0.38,9,1,Austria
10,EuroCOVIDhub-median,inc death,3,AT,0.59,0.55,0.78,1,0.31,9,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,4,AT,0.84,0.68,0.25,0.5,0.8,4,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,4,AT,0.84,0.66,0.25,0.75,0.8,4,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,4,AT,0.84,0.68,0.25,0.5,0.8,4,1,Austria
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,4,AT,0.84,0.66,0.25,0.75,0.8,4,1,Austria
10,EuroCOVIDhub-baseline,inc death,4,AT,1,1,0.5,1,0.15,8,1,Austria
10,EuroCOVIDhub-mean,inc death,4,AT,0.63,0.61,0.62,0.88,0.45,8,1,Austria
10,EuroCOVIDhub-median,inc death,4,AT,0.68,0.59,0.62,0.88,0.41,8,1,Austria
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,2,BE,0.46,1,0.83,1,0.27,6,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,2,BE,0.52,1.01,0.83,1,0.27,6,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,2,BE,0.46,1,0.83,1,0.27,6,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,2,BE,0.52,1.01,0.83,1,0.27,6,1,Belgium
10,EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.1,1,0.15,10,1,Belgium
10,EuroCOVIDhub-mean,inc case,2,BE,0.97,0.89,0.6,1,0.11,10,1,Belgium
10,EuroCOVIDhub-median,inc case,2,BE,0.99,0.85,0.5,0.9,0.15,10,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,1,BE,0.67,0.95,0.57,1,0.1,7,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,1,BE,0.71,0.96,0.57,1,0.19,7,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,1,BE,0.67,0.95,0.57,1,0.1,7,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,1,BE,0.71,0.96,0.57,1,0.19,7,1,Belgium
10,EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.3,1,0.16,10,1,Belgium
10,EuroCOVIDhub-mean,inc case,1,BE,0.79,0.93,0.5,1,0.07,10,1,Belgium
10,EuroCOVIDhub-median,inc case,1,BE,0.86,0.9,0.5,1,0.08,10,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,3,BE,0.5,1.13,0.6,1,0.3,5,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,3,BE,0.52,1.18,0.8,1,0.22,5,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,3,BE,0.5,1.13,0.6,1,0.3,5,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,3,BE,0.52,1.18,0.8,1,0.22,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.44,1,0.18,9,1,Belgium
10,EuroCOVIDhub-mean,inc case,3,BE,1.27,1,0.56,0.89,0.17,9,1,Belgium
10,EuroCOVIDhub-median,inc case,3,BE,1.32,0.98,0.67,0.89,0.17,9,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc case,4,BE,0.78,1.33,0.75,1,0.43,4,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc case,4,BE,0.78,1.32,0.75,1,0.3,4,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,BE,0.78,1.33,0.75,1,0.43,4,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,BE,0.78,1.32,0.75,1,0.3,4,1,Belgium
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.38,1,0.17,8,1,Belgium
10,EuroCOVIDhub-mean,inc case,4,BE,1.59,1.11,0.5,1,0.3,8,1,Belgium
10,EuroCOVIDhub-median,inc case,4,BE,1.7,1.08,0.62,1,0.28,8,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,2,BE,0.75,0.57,0.67,0.83,0.33,6,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,2,BE,0.62,0.54,0.67,0.83,0.33,6,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,2,BE,0.75,0.57,0.67,0.83,0.33,6,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,2,BE,0.62,0.54,0.67,0.83,0.33,6,1,Belgium
10,EuroCOVIDhub-baseline,inc death,2,BE,1,1,0.9,1,0,10,1,Belgium
10,EuroCOVIDhub-mean,inc death,2,BE,0.68,0.57,0.8,1,0.06,10,1,Belgium
10,EuroCOVIDhub-median,inc death,2,BE,0.69,0.55,0.7,1,0.03,10,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,1,BE,0.82,0.66,0.86,1,0.19,7,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,1,BE,0.75,0.63,0.86,1,0.17,7,1,Belgium
