"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"1","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.01,186,"Belgium"
"2","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.01,173,"Belgium"
"3","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.01,147,"Belgium"
"4","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.01,124,"Belgium"
"5","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.025,227,"Belgium"
"6","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.025,198,"Belgium"
"7","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.025,175,"Belgium"
"8","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.025,146,"Belgium"
"9","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.05,242,"Belgium"
"10","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.05,213,"Belgium"
"11","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.05,189,"Belgium"
"12","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.05,163,"Belgium"
"13","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.1,261,"Belgium"
"14","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.1,231,"Belgium"
"15","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.1,209,"Belgium"
"16","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.1,183,"Belgium"
"17","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.15,272,"Belgium"
"18","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.15,246,"Belgium"
"19","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.15,222,"Belgium"
"20","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.15,198,"Belgium"
"21","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.2,282,"Belgium"
"22","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.2,258,"Belgium"
"23","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.2,234,"Belgium"
"24","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.2,212,"Belgium"
"25","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.25,292,"Belgium"
"26","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.25,270,"Belgium"
"27","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.25,245,"Belgium"
"28","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.25,224,"Belgium"
"29","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.3,301,"Belgium"
"30","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.3,280,"Belgium"
"31","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.3,257,"Belgium"
"32","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.3,239,"Belgium"
"33","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.35,312,"Belgium"
"34","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.35,288,"Belgium"
"35","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.35,268,"Belgium"
"36","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.35,252,"Belgium"
"37","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.4,323,"Belgium"
"38","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.4,298,"Belgium"
"39","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.4,280,"Belgium"
"40","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.4,265,"Belgium"
"41","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.45,333,"Belgium"
"42","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.45,307,"Belgium"
"43","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.45,293,"Belgium"
"44","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.45,280,"Belgium"
"45","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.5,342,"Belgium"
"46","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.5,315,"Belgium"
"47","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.5,304,"Belgium"
"48","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.5,295,"Belgium"
"49","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.55,350,"Belgium"
"50","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.55,323,"Belgium"
"51","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.55,317,"Belgium"
"52","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.55,311,"Belgium"
"53","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.6,355,"Belgium"
"54","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.6,332,"Belgium"
"55","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.6,329,"Belgium"
"56","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.6,324,"Belgium"
"57","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.65,362,"Belgium"
"58","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.65,341,"Belgium"
"59","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.65,342,"Belgium"
"60","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.65,341,"Belgium"
"61","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.7,369,"Belgium"
"62","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.7,350,"Belgium"
"63","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.7,358,"Belgium"
"64","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.7,361,"Belgium"
"65","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.75,376,"Belgium"
"66","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.75,360,"Belgium"
"67","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.75,371,"Belgium"
"68","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.75,383,"Belgium"
"69","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.8,384,"Belgium"
"70","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.8,371,"Belgium"
"71","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.8,386,"Belgium"
"72","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.8,402,"Belgium"
"73","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.85,393,"Belgium"
"74","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.85,384,"Belgium"
"75","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.85,406,"Belgium"
"76","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.85,428,"Belgium"
"77","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.9,406,"Belgium"
"78","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.9,405,"Belgium"
"79","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.9,435,"Belgium"
