location_name,location,date,value,source,snapshot_date
Belgium,BE,2020-03-28,3232,OWID,2022-07-18
Belgium,BE,2020-04-04,3756,OWID,2022-07-18
Belgium,BE,2020-04-11,2913,OWID,2022-07-18
Belgium,BE,2020-04-18,1975,OWID,2022-07-18
Belgium,BE,2020-04-25,1517,OWID,2022-07-18
Belgium,BE,2020-05-02,978,OWID,2022-07-18
Belgium,BE,2020-05-09,664,OWID,2022-07-18
Belgium,BE,2020-05-16,460,OWID,2022-07-18
Belgium,BE,2020-05-23,389,OWID,2022-07-18
Belgium,BE,2020-05-30,260,OWID,2022-07-18
Belgium,BE,2020-06-06,200,OWID,2022-07-18
Belgium,BE,2020-06-13,155,OWID,2022-07-18
Belgium,BE,2020-06-20,134,OWID,2022-07-18
Belgium,BE,2020-06-27,109,OWID,2022-07-18
Belgium,BE,2020-07-04,82,OWID,2022-07-18
Belgium,BE,2020-07-11,71,OWID,2022-07-18
Belgium,BE,2020-07-18,96,OWID,2022-07-18
Belgium,BE,2020-07-25,156,OWID,2022-07-18
Belgium,BE,2020-08-01,197,OWID,2022-07-18
Belgium,BE,2020-08-08,232,OWID,2022-07-18
Belgium,BE,2020-08-15,273,OWID,2022-07-18
Belgium,BE,2020-08-22,211,OWID,2022-07-18
Belgium,BE,2020-08-29,116,OWID,2022-07-18
Belgium,BE,2020-09-05,137,OWID,2022-07-18
Belgium,BE,2020-09-12,204,OWID,2022-07-18
Belgium,BE,2020-09-19,336,OWID,2022-07-18
Belgium,BE,2020-09-26,482,OWID,2022-07-18
Belgium,BE,2020-10-03,549,OWID,2022-07-18
Belgium,BE,2020-10-10,887,OWID,2022-07-18
Belgium,BE,2020-10-17,1719,OWID,2022-07-18
Belgium,BE,2020-10-24,3157,OWID,2022-07-18
Belgium,BE,2020-10-31,4683,OWID,2022-07-18
Belgium,BE,2020-11-07,4463,OWID,2022-07-18
Belgium,BE,2020-11-14,3442,OWID,2022-07-18
Belgium,BE,2020-11-21,2275,OWID,2022-07-18
Belgium,BE,2020-11-28,1732,OWID,2022-07-18
Belgium,BE,2020-12-05,1361,OWID,2022-07-18
Belgium,BE,2020-12-12,1274,OWID,2022-07-18
Belgium,BE,2020-12-19,1345,OWID,2022-07-18
Belgium,BE,2020-12-26,1138,OWID,2022-07-18
Belgium,BE,2021-01-02,1080,OWID,2022-07-18
Belgium,BE,2021-01-09,975,OWID,2022-07-18
Belgium,BE,2021-01-16,846,OWID,2022-07-18
Belgium,BE,2021-01-23,964,OWID,2022-07-18
Belgium,BE,2021-01-30,866,OWID,2022-07-18
Belgium,BE,2021-02-06,897,OWID,2022-07-18
Belgium,BE,2021-02-13,851,OWID,2022-07-18
Belgium,BE,2021-02-20,840,OWID,2022-07-18
Belgium,BE,2021-02-27,1010,OWID,2022-07-18
Belgium,BE,2021-03-06,1026,OWID,2022-07-18
Belgium,BE,2021-03-13,1095,OWID,2022-07-18
Belgium,BE,2021-03-20,1357,OWID,2022-07-18
Belgium,BE,2021-03-27,1665,OWID,2022-07-18
Belgium,BE,2021-04-03,1885,OWID,2022-07-18
Belgium,BE,2021-04-10,1749,OWID,2022-07-18
Belgium,BE,2021-04-17,1644,OWID,2022-07-18
Belgium,BE,2021-04-24,1639,OWID,2022-07-18
Belgium,BE,2021-05-01,1351,OWID,2022-07-18
Belgium,BE,2021-05-08,1141,OWID,2022-07-18
Belgium,BE,2021-05-15,1021,OWID,2022-07-18
Belgium,BE,2021-05-22,847,OWID,2022-07-18
Belgium,BE,2021-05-29,630,OWID,2022-07-18
Belgium,BE,2021-06-05,523,OWID,2022-07-18
Belgium,BE,2021-06-12,366,OWID,2022-07-18
Belgium,BE,2021-06-19,232,OWID,2022-07-18
Belgium,BE,2021-06-26,177,OWID,2022-07-18
Belgium,BE,2021-07-03,105,OWID,2022-07-18
Belgium,BE,2021-07-10,122,OWID,2022-07-18
Belgium,BE,2021-07-17,161,OWID,2022-07-18
Belgium,BE,2021-07-24,194,OWID,2022-07-18
Belgium,BE,2021-07-31,240,OWID,2022-07-18
Belgium,BE,2021-08-07,296,OWID,2022-07-18
Belgium,BE,2021-08-14,382,OWID,2022-07-18
Belgium,BE,2021-08-21,415,OWID,2022-07-18
Belgium,BE,2021-08-28,421,OWID,2022-07-18
Belgium,BE,2021-09-04,474,OWID,2022-07-18
Belgium,BE,2021-09-11,440,OWID,2022-07-18
Belgium,BE,2021-09-18,429,OWID,2022-07-18
Belgium,BE,2021-09-25,359,OWID,2022-07-18
Belgium,BE,2021-10-02,421,OWID,2022-07-18
Belgium,BE,2021-10-09,394,OWID,2022-07-18
Belgium,BE,2021-10-16,467,OWID,2022-07-18
Belgium,BE,2021-10-23,739,OWID,2022-07-18
Belgium,BE,2021-10-30,1054,OWID,2022-07-18
Belgium,BE,2021-11-06,1200,OWID,2022-07-18
Belgium,BE,2021-11-13,1567,OWID,2022-07-18
Belgium,BE,2021-11-20,1925,OWID,2022-07-18
Belgium,BE,2021-11-27,2206,OWID,2022-07-18
Belgium,BE,2021-12-04,2193,OWID,2022-07-18
Belgium,BE,2021-12-11,1927,OWID,2022-07-18
Belgium,BE,2021-12-18,1452,OWID,2022-07-18
Belgium,BE,2021-12-25,1017,OWID,2022-07-18
Belgium,BE,2022-01-01,996,OWID,2022-07-18
Belgium,BE,2022-01-08,1279,OWID,2022-07-18
Belgium,BE,2022-01-15,1393,OWID,2022-07-18
Belgium,BE,2022-01-22,1953,OWID,2022-07-18
Belgium,BE,2022-01-29,2536,OWID,2022-07-18
Belgium,BE,2022-02-05,2423,OWID,2022-07-18
Belgium,BE,2022-02-12,2042,OWID,2022-07-18
Belgium,BE,2022-02-19,1522,OWID,2022-07-18
Belgium,BE,2022-02-26,1116,OWID,2022-07-18
Belgium,BE,2022-03-05,947,OWID,2022-07-18
Belgium,BE,2022-03-12,1043,OWID,2022-07-18
Belgium,BE,2022-03-19,1185,OWID,2022-07-18
Belgium,BE,2022-03-26,1388,OWID,2022-07-18
Belgium,BE,2022-04-02,1549,OWID,2022-07-18
Belgium,BE,2022-04-09,1521,OWID,2022-07-18
Belgium,BE,2022-04-16,1531,OWID,2022-07-18
Belgium,BE,2022-04-23,1287,OWID,2022-07-18
Belgium,BE,2022-04-30,1024,OWID,2022-07-18
Belgium,BE,2022-05-07,896,OWID,2022-07-18
Belgium,BE,2022-05-14,732,OWID,2022-07-18
Belgium,BE,2022-05-21,599,OWID,2022-07-18
Belgium,BE,2022-05-28,463,OWID,2022-07-18
Belgium,BE,2022-06-04,359,OWID,2022-07-18
Belgium,BE,2022-06-11,406,OWID,2022-07-18
Belgium,BE,2022-06-18,487,OWID,2022-07-18
Belgium,BE,2022-06-25,693,OWID,2022-07-18
Belgium,BE,2022-07-02,813,OWID,2022-07-18
Belgium,BE,2022-07-09,988,OWID,2022-07-18
Belgium,BE,2022-07-16,1151,OWID,2022-07-19
Belgium,BE,2022-07-23,1102,OWID,2022-07-26
Belgium,BE,2022-07-30,962,OWID,2022-08-03
Belgium,BE,2022-08-06,811,OWID,2022-08-09
Belgium,BE,2022-08-13,672,OWID,2022-08-17
Belgium,BE,2022-08-20,588,OWID,2022-08-23
Belgium,BE,2022-08-27,457,OWID,2022-08-30
Belgium,BE,2022-09-03,410,OWID,2022-09-06
Belgium,BE,2022-09-10,404,OWID,2022-09-14
Belgium,BE,2022-09-17,394,OWID,2022-09-21
Belgium,BE,2022-09-24,469,OWID,2022-09-27
Belgium,BE,2022-10-01,636,OWID,2022-10-04
Belgium,BE,2022-10-08,764,OWID,2022-10-11
Belgium,BE,2022-10-15,754,OWID,2022-10-18
Belgium,BE,2022-10-22,746,OWID,2022-10-25
Belgium,BE,2022-10-29,524,OWID,2022-11-05
Belgium,BE,2022-11-05,348,OWID,2022-11-08
Belgium,BE,2022-11-12,373,OWID,2022-11-15
Belgium,BE,2022-11-19,318,OWID,2022-11-23
Belgium,BE,2022-11-26,412,OWID,2022-11-29
Belgium,BE,2022-12-03,506,OWID,2022-12-06
Belgium,BE,2022-12-10,655,OWID,2022-12-13
Belgium,BE,2022-12-17,873,OWID,2022-12-21
Belgium,BE,2022-12-24,909,OWID,2023-01-06
Belgium,BE,2022-12-31,857,OWID,2023-01-06
Belgium,BE,2023-01-07,528,OWID,2023-01-13
Belgium,BE,2023-01-14,400,OWID,2023-01-20
Belgium,BE,2023-01-21,336,OWID,2023-01-27
Belgium,BE,2023-01-28,345,OWID,2023-02-03
Belgium,BE,2023-02-04,429,OWID,2023-02-10
Belgium,BE,2023-02-11,538,OWID,2023-02-18
Belgium,BE,2023-02-18,709,OWID,2023-02-24
Bulgaria,BG,2020-05-09,2159,OWID,2022-10-21
Bulgaria,BG,2020-05-16,2482,OWID,2022-10-21
Bulgaria,BG,2020-05-23,2418,OWID,2022-10-21
Bulgaria,BG,2020-05-30,1708,OWID,2022-10-21
Bulgaria,BG,2020-06-06,807,OWID,2022-10-21
Bulgaria,BG,2020-06-13,721,OWID,2022-10-21
Bulgaria,BG,2020-06-20,1318,OWID,2022-10-21
Bulgaria,BG,2020-06-27,1956,OWID,2022-10-21
Bulgaria,BG,2020-07-04,2602,OWID,2022-10-21
