scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,DE,quantile,0.025,0
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,DE,quantile,0.25,7389.942
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,DE,quantile,0.5,37512.02
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,DE,quantile,0.75,32055.08
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,DE,quantile,0.975,54299.234
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GR,point,NA, 17920.652
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GR,quantile,0.025,19103.74
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GR,quantile,0.25,21943.658
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GR,quantile,0.5,17920.652
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GR,quantile,0.75,20988.875
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,GR,quantile,0.975,17755.824
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HU,point,NA, 493.11102
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HU,quantile,0.025,328.93655
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HU,quantile,0.25,495.22525
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HU,quantile,0.5,493.11102
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HU,quantile,0.75,546.3013
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,HU,quantile,0.975,1089.2374
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IS,point,NA, 539.321
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IS,quantile,0.025,805.33435
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IS,quantile,0.25,768.59424
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IS,quantile,0.5,539.321
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IS,quantile,0.75,445.4862
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IS,quantile,0.975,489.66135
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IE,point,NA, 9763.57
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IE,quantile,0.025,7337.6406
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IE,quantile,0.25,10474.144
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IE,quantile,0.5,9763.57
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IE,quantile,0.75,5504.366
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IE,quantile,0.975,8669.308
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IT,point,NA, 50124.344
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IT,quantile,0.025,46704.04
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IT,quantile,0.25,39396.586
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IT,quantile,0.5,50124.344
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IT,quantile,0.75,48731.867
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,IT,quantile,0.975,49540.77
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LV,point,NA, 1180.7559
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LV,quantile,0.025,119.30081
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LV,quantile,0.25,113.45264
