target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead inc death,2021-04-12,2021-04-17,AT,point,NA,253
2 wk ahead inc death,2021-04-12,2021-04-24,AT,point,NA,285
3 wk ahead inc death,2021-04-12,2021-05-01,AT,point,NA,302
4 wk ahead inc death,2021-04-12,2021-05-08,AT,point,NA,314
1 wk ahead inc death,2021-04-12,2021-04-17,BE,point,NA,340
2 wk ahead inc death,2021-04-12,2021-04-24,BE,point,NA,378
3 wk ahead inc death,2021-04-12,2021-05-01,BE,point,NA,392
4 wk ahead inc death,2021-04-12,2021-05-08,BE,point,NA,402
1 wk ahead inc death,2021-04-12,2021-04-17,BG,point,NA,848
2 wk ahead inc death,2021-04-12,2021-04-24,BG,point,NA,837
3 wk ahead inc death,2021-04-12,2021-05-01,BG,point,NA,815
4 wk ahead inc death,2021-04-12,2021-05-08,BG,point,NA,793
1 wk ahead inc death,2021-04-12,2021-04-17,CH,point,NA,118
2 wk ahead inc death,2021-04-12,2021-04-24,CH,point,NA,146
3 wk ahead inc death,2021-04-12,2021-05-01,CH,point,NA,171
4 wk ahead inc death,2021-04-12,2021-05-08,CH,point,NA,198
1 wk ahead inc death,2021-04-12,2021-04-17,CY,point,NA,14
2 wk ahead inc death,2021-04-12,2021-04-24,CY,point,NA,16
3 wk ahead inc death,2021-04-12,2021-05-01,CY,point,NA,17
4 wk ahead inc death,2021-04-12,2021-05-08,CY,point,NA,18
1 wk ahead inc death,2021-04-12,2021-04-17,CZ,point,NA,769
2 wk ahead inc death,2021-04-12,2021-04-24,CZ,point,NA,694
3 wk ahead inc death,2021-04-12,2021-05-01,CZ,point,NA,665
4 wk ahead inc death,2021-04-12,2021-05-08,CZ,point,NA,684
1 wk ahead inc death,2021-04-12,2021-04-17,DE,point,NA,1635
2 wk ahead inc death,2021-04-12,2021-04-24,DE,point,NA,1882
3 wk ahead inc death,2021-04-12,2021-05-01,DE,point,NA,2245
4 wk ahead inc death,2021-04-12,2021-05-08,DE,point,NA,2585
1 wk ahead inc death,2021-04-12,2021-04-17,DK,point,NA,15
2 wk ahead inc death,2021-04-12,2021-04-24,DK,point,NA,22
3 wk ahead inc death,2021-04-12,2021-05-01,DK,point,NA,32
4 wk ahead inc death,2021-04-12,2021-05-08,DK,point,NA,42
1 wk ahead inc death,2021-04-12,2021-04-17,EE,point,NA,90
2 wk ahead inc death,2021-04-12,2021-04-24,EE,point,NA,93
3 wk ahead inc death,2021-04-12,2021-05-01,EE,point,NA,93
4 wk ahead inc death,2021-04-12,2021-05-08,EE,point,NA,91
1 wk ahead inc death,2021-04-12,2021-04-17,ES,point,NA,538
2 wk ahead inc death,2021-04-12,2021-04-24,ES,point,NA,469
3 wk ahead inc death,2021-04-12,2021-05-01,ES,point,NA,505
4 wk ahead inc death,2021-04-12,2021-05-08,ES,point,NA,539
1 wk ahead inc death,2021-04-12,2021-04-17,FI,point,NA,25
2 wk ahead inc death,2021-04-12,2021-04-24,FI,point,NA,24
3 wk ahead inc death,2021-04-12,2021-05-01,FI,point,NA,26
4 wk ahead inc death,2021-04-12,2021-05-08,FI,point,NA,25
1 wk ahead inc death,2021-04-12,2021-04-17,FR,point,NA,1459
2 wk ahead inc death,2021-04-12,2021-04-24,FR,point,NA,1295
3 wk ahead inc death,2021-04-12,2021-05-01,FR,point,NA,1286
4 wk ahead inc death,2021-04-12,2021-05-08,FR,point,NA,1302
1 wk ahead inc death,2021-04-12,2021-04-17,GB,point,NA,278
2 wk ahead inc death,2021-04-12,2021-04-24,GB,point,NA,495
3 wk ahead inc death,2021-04-12,2021-05-01,GB,point,NA,808
4 wk ahead inc death,2021-04-12,2021-05-08,GB,point,NA,1172
1 wk ahead inc death,2021-04-12,2021-04-17,GR,point,NA,548
2 wk ahead inc death,2021-04-12,2021-04-24,GR,point,NA,555
3 wk ahead inc death,2021-04-12,2021-05-01,GR,point,NA,552
4 wk ahead inc death,2021-04-12,2021-05-08,GR,point,NA,537
1 wk ahead inc death,2021-04-12,2021-04-17,HR,point,NA,292
2 wk ahead inc death,2021-04-12,2021-04-24,HR,point,NA,334
3 wk ahead inc death,2021-04-12,2021-05-01,HR,point,NA,357
4 wk ahead inc death,2021-04-12,2021-05-08,HR,point,NA,371
1 wk ahead inc death,2021-04-12,2021-04-17,HU,point,NA,1690
2 wk ahead inc death,2021-04-12,2021-04-24,HU,point,NA,1655
3 wk ahead inc death,2021-04-12,2021-05-01,HU,point,NA,1592
4 wk ahead inc death,2021-04-12,2021-05-08,HU,point,NA,1532
1 wk ahead inc death,2021-04-12,2021-04-17,IE,point,NA,73
2 wk ahead inc death,2021-04-12,2021-04-24,IE,point,NA,90
3 wk ahead inc death,2021-04-12,2021-05-01,IE,point,NA,93
4 wk ahead inc death,2021-04-12,2021-05-08,IE,point,NA,103
1 wk ahead inc death,2021-04-12,2021-04-17,IS,point,NA,-0
2 wk ahead inc death,2021-04-12,2021-04-24,IS,point,NA,-0
3 wk ahead inc death,2021-04-12,2021-05-01,IS,point,NA,-0
4 wk ahead inc death,2021-04-12,2021-05-08,IS,point,NA,-0
1 wk ahead inc death,2021-04-12,2021-04-17,IT,point,NA,3264
2 wk ahead inc death,2021-04-12,2021-04-24,IT,point,NA,3362
3 wk ahead inc death,2021-04-12,2021-05-01,IT,point,NA,3391
4 wk ahead inc death,2021-04-12,2021-05-08,IT,point,NA,3419
1 wk ahead inc death,2021-04-12,2021-04-17,LI,point,NA,0
2 wk ahead inc death,2021-04-12,2021-04-24,LI,point,NA,1
3 wk ahead inc death,2021-04-12,2021-05-01,LI,point,NA,1
4 wk ahead inc death,2021-04-12,2021-05-08,LI,point,NA,2
1 wk ahead inc death,2021-04-12,2021-04-17,LT,point,NA,79
2 wk ahead inc death,2021-04-12,2021-04-24,LT,point,NA,94
3 wk ahead inc death,2021-04-12,2021-05-01,LT,point,NA,109
4 wk ahead inc death,2021-04-12,2021-05-08,LT,point,NA,123
1 wk ahead inc death,2021-04-12,2021-04-17,LU,point,NA,11
2 wk ahead inc death,2021-04-12,2021-04-24,LU,point,NA,10
3 wk ahead inc death,2021-04-12,2021-05-01,LU,point,NA,9
4 wk ahead inc death,2021-04-12,2021-05-08,LU,point,NA,11
1 wk ahead inc death,2021-04-12,2021-04-17,LV,point,NA,69
2 wk ahead inc death,2021-04-12,2021-04-24,LV,point,NA,72
3 wk ahead inc death,2021-04-12,2021-05-01,LV,point,NA,85
4 wk ahead inc death,2021-04-12,2021-05-08,LV,point,NA,92
1 wk ahead inc death,2021-04-12,2021-04-17,MT,point,NA,3
2 wk ahead inc death,2021-04-12,2021-04-24,MT,point,NA,1
3 wk ahead inc death,2021-04-12,2021-05-01,MT,point,NA,0
4 wk ahead inc death,2021-04-12,2021-05-08,MT,point,NA,0
1 wk ahead inc death,2021-04-12,2021-04-17,NL,point,NA,155
2 wk ahead inc death,2021-04-12,2021-04-24,NL,point,NA,169
3 wk ahead inc death,2021-04-12,2021-05-01,NL,point,NA,202
4 wk ahead inc death,2021-04-12,2021-05-08,NL,point,NA,236
1 wk ahead inc death,2021-04-12,2021-04-17,NO,point,NA,10
2 wk ahead inc death,2021-04-12,2021-04-24,NO,point,NA,8
3 wk ahead inc death,2021-04-12,2021-05-01,NO,point,NA,8
4 wk ahead inc death,2021-04-12,2021-05-08,NO,point,NA,9
1 wk ahead inc death,2021-04-12,2021-04-17,PL,point,NA,3962
2 wk ahead inc death,2021-04-12,2021-04-24,PL,point,NA,4260
3 wk ahead inc death,2021-04-12,2021-05-01,PL,point,NA,4393
4 wk ahead inc death,2021-04-12,2021-05-08,PL,point,NA,4346
1 wk ahead inc death,2021-04-12,2021-04-17,PT,point,NA,74
