forecast_date,location,target,target_end_date,type,quantile,value
2021-11-01,AT,1 wk ahead inc death,2021-11-06,point,NA,178
2021-11-01,AT,2 wk ahead inc death,2021-11-13,point,NA,263
2021-11-01,AT,3 wk ahead inc death,2021-11-20,point,NA,338
2021-11-01,AT,4 wk ahead inc death,2021-11-27,point,NA,387
2021-11-01,BE,1 wk ahead inc death,2021-11-06,point,NA,258
2021-11-01,BE,2 wk ahead inc death,2021-11-13,point,NA,343
2021-11-01,BE,3 wk ahead inc death,2021-11-20,point,NA,404
2021-11-01,BE,4 wk ahead inc death,2021-11-27,point,NA,441
2021-11-01,BG,1 wk ahead inc death,2021-11-06,point,NA,922
2021-11-01,BG,2 wk ahead inc death,2021-11-13,point,NA,929
2021-11-01,BG,3 wk ahead inc death,2021-11-20,point,NA,904
2021-11-01,BG,4 wk ahead inc death,2021-11-27,point,NA,859
2021-11-01,CH,1 wk ahead inc death,2021-11-06,point,NA,60
2021-11-01,CH,2 wk ahead inc death,2021-11-13,point,NA,67
2021-11-01,CH,3 wk ahead inc death,2021-11-20,point,NA,69
2021-11-01,CH,4 wk ahead inc death,2021-11-27,point,NA,69
2021-11-01,CY,1 wk ahead inc death,2021-11-06,point,NA,7
2021-11-01,CY,2 wk ahead inc death,2021-11-13,point,NA,7
2021-11-01,CY,3 wk ahead inc death,2021-11-20,point,NA,7
2021-11-01,CY,4 wk ahead inc death,2021-11-27,point,NA,6
2021-11-01,CZ,1 wk ahead inc death,2021-11-06,point,NA,219
2021-11-01,CZ,2 wk ahead inc death,2021-11-13,point,NA,294
2021-11-01,CZ,3 wk ahead inc death,2021-11-20,point,NA,346
2021-11-01,CZ,4 wk ahead inc death,2021-11-27,point,NA,373
2021-11-01,DE,1 wk ahead inc death,2021-11-06,point,NA,1247
2021-11-01,DE,2 wk ahead inc death,2021-11-13,point,NA,1892
2021-11-01,DE,3 wk ahead inc death,2021-11-20,point,NA,2470
2021-11-01,DE,4 wk ahead inc death,2021-11-27,point,NA,2837
2021-11-01,DK,1 wk ahead inc death,2021-11-06,point,NA,30
2021-11-01,DK,2 wk ahead inc death,2021-11-13,point,NA,42
2021-11-01,DK,3 wk ahead inc death,2021-11-20,point,NA,52
2021-11-01,DK,4 wk ahead inc death,2021-11-27,point,NA,58
2021-11-01,EE,1 wk ahead inc death,2021-11-06,point,NA,77
2021-11-01,EE,2 wk ahead inc death,2021-11-13,point,NA,87
2021-11-01,EE,3 wk ahead inc death,2021-11-20,point,NA,89
2021-11-01,EE,4 wk ahead inc death,2021-11-27,point,NA,88
2021-11-01,ES,1 wk ahead inc death,2021-11-06,point,NA,227
2021-11-01,ES,2 wk ahead inc death,2021-11-13,point,NA,223
2021-11-01,ES,3 wk ahead inc death,2021-11-20,point,NA,202
2021-11-01,ES,4 wk ahead inc death,2021-11-27,point,NA,195
2021-11-01,FI,1 wk ahead inc death,2021-11-06,point,NA,31
2021-11-01,FI,2 wk ahead inc death,2021-11-13,point,NA,40
2021-11-01,FI,3 wk ahead inc death,2021-11-20,point,NA,45
2021-11-01,FI,4 wk ahead inc death,2021-11-27,point,NA,51
2021-11-01,FR,1 wk ahead inc death,2021-11-06,point,NA,219
2021-11-01,FR,2 wk ahead inc death,2021-11-13,point,NA,263
2021-11-01,FR,3 wk ahead inc death,2021-11-20,point,NA,304
2021-11-01,FR,4 wk ahead inc death,2021-11-27,point,NA,337
2021-11-01,GB,1 wk ahead inc death,2021-11-06,point,NA,1454
2021-11-01,GB,2 wk ahead inc death,2021-11-13,point,NA,1667
2021-11-01,GB,3 wk ahead inc death,2021-11-20,point,NA,1886
2021-11-01,GB,4 wk ahead inc death,2021-11-27,point,NA,1950
2021-11-01,GR,1 wk ahead inc death,2021-11-06,point,NA,347
2021-11-01,GR,2 wk ahead inc death,2021-11-13,point,NA,397
2021-11-01,GR,3 wk ahead inc death,2021-11-20,point,NA,435
2021-11-01,GR,4 wk ahead inc death,2021-11-27,point,NA,455
2021-11-01,HR,1 wk ahead inc death,2021-11-06,point,NA,238
2021-11-01,HR,2 wk ahead inc death,2021-11-13,point,NA,289
2021-11-01,HR,3 wk ahead inc death,2021-11-20,point,NA,325
2021-11-01,HR,4 wk ahead inc death,2021-11-27,point,NA,343
2021-11-01,HU,1 wk ahead inc death,2021-11-06,point,NA,296
2021-11-01,HU,2 wk ahead inc death,2021-11-13,point,NA,343
2021-11-01,HU,3 wk ahead inc death,2021-11-20,point,NA,367
2021-11-01,HU,4 wk ahead inc death,2021-11-27,point,NA,377
2021-11-01,IE,1 wk ahead inc death,2021-11-06,point,NA,87
2021-11-01,IE,2 wk ahead inc death,2021-11-13,point,NA,108
2021-11-01,IE,3 wk ahead inc death,2021-11-20,point,NA,127
2021-11-01,IE,4 wk ahead inc death,2021-11-27,point,NA,139
2021-11-01,IS,1 wk ahead inc death,2021-11-06,point,NA,2
2021-11-01,IS,2 wk ahead inc death,2021-11-13,point,NA,3
2021-11-01,IS,3 wk ahead inc death,2021-11-20,point,NA,3
2021-11-01,IS,4 wk ahead inc death,2021-11-27,point,NA,4
2021-11-01,IT,1 wk ahead inc death,2021-11-06,point,NA,328
2021-11-01,IT,2 wk ahead inc death,2021-11-13,point,NA,383
2021-11-01,IT,3 wk ahead inc death,2021-11-20,point,NA,431
2021-11-01,IT,4 wk ahead inc death,2021-11-27,point,NA,463
2021-11-01,LI,1 wk ahead inc death,2021-11-06,point,NA,1
2021-11-01,LI,2 wk ahead inc death,2021-11-13,point,NA,1
2021-11-01,LI,3 wk ahead inc death,2021-11-20,point,NA,1
2021-11-01,LI,4 wk ahead inc death,2021-11-27,point,NA,1
2021-11-01,LT,1 wk ahead inc death,2021-11-06,point,NA,241
2021-11-01,LT,2 wk ahead inc death,2021-11-13,point,NA,244
2021-11-01,LT,3 wk ahead inc death,2021-11-20,point,NA,240
2021-11-01,LT,4 wk ahead inc death,2021-11-27,point,NA,229
2021-11-01,LU,1 wk ahead inc death,2021-11-06,point,NA,2
