forecast_date,location,target,target_end_date,type,quantile,value
2021-09-27,AT,1 wk ahead inc death,2021-10-02,point,NA,74
2021-09-27,AT,2 wk ahead inc death,2021-10-09,point,NA,75
2021-09-27,AT,3 wk ahead inc death,2021-10-16,point,NA,72
2021-09-27,AT,4 wk ahead inc death,2021-10-23,point,NA,67
2021-09-27,BE,1 wk ahead inc death,2021-10-02,point,NA,56
2021-09-27,BE,2 wk ahead inc death,2021-10-09,point,NA,56
2021-09-27,BE,3 wk ahead inc death,2021-10-16,point,NA,56
2021-09-27,BE,4 wk ahead inc death,2021-10-23,point,NA,53
2021-09-27,BG,1 wk ahead inc death,2021-10-02,point,NA,432
2021-09-27,BG,2 wk ahead inc death,2021-10-09,point,NA,395
2021-09-27,BG,3 wk ahead inc death,2021-10-16,point,NA,357
2021-09-27,BG,4 wk ahead inc death,2021-10-23,point,NA,321
2021-09-27,CH,1 wk ahead inc death,2021-10-02,point,NA,38
2021-09-27,CH,2 wk ahead inc death,2021-10-09,point,NA,35
2021-09-27,CH,3 wk ahead inc death,2021-10-16,point,NA,30
2021-09-27,CH,4 wk ahead inc death,2021-10-23,point,NA,26
2021-09-27,CY,1 wk ahead inc death,2021-10-02,point,NA,15
2021-09-27,CY,2 wk ahead inc death,2021-10-09,point,NA,14
2021-09-27,CY,3 wk ahead inc death,2021-10-16,point,NA,13
2021-09-27,CY,4 wk ahead inc death,2021-10-23,point,NA,13
2021-09-27,CZ,1 wk ahead inc death,2021-10-02,point,NA,22
2021-09-27,CZ,2 wk ahead inc death,2021-10-09,point,NA,24
2021-09-27,CZ,3 wk ahead inc death,2021-10-16,point,NA,22
2021-09-27,CZ,4 wk ahead inc death,2021-10-23,point,NA,21
2021-09-27,DE,1 wk ahead inc death,2021-10-02,point,NA,438
2021-09-27,DE,2 wk ahead inc death,2021-10-09,point,NA,441
2021-09-27,DE,3 wk ahead inc death,2021-10-16,point,NA,421
2021-09-27,DE,4 wk ahead inc death,2021-10-23,point,NA,401
2021-09-27,DK,1 wk ahead inc death,2021-10-02,point,NA,11
2021-09-27,DK,2 wk ahead inc death,2021-10-09,point,NA,9
2021-09-27,DK,3 wk ahead inc death,2021-10-16,point,NA,8
2021-09-27,DK,4 wk ahead inc death,2021-10-23,point,NA,7
2021-09-27,EE,1 wk ahead inc death,2021-10-02,point,NA,18
2021-09-27,EE,2 wk ahead inc death,2021-10-09,point,NA,18
2021-09-27,EE,3 wk ahead inc death,2021-10-16,point,NA,17
2021-09-27,EE,4 wk ahead inc death,2021-10-23,point,NA,16
2021-09-27,ES,1 wk ahead inc death,2021-10-02,point,NA,394
2021-09-27,ES,2 wk ahead inc death,2021-10-09,point,NA,353
2021-09-27,ES,3 wk ahead inc death,2021-10-16,point,NA,320
2021-09-27,ES,4 wk ahead inc death,2021-10-23,point,NA,300
2021-09-27,FI,1 wk ahead inc death,2021-10-02,point,NA,11
2021-09-27,FI,2 wk ahead inc death,2021-10-09,point,NA,12
2021-09-27,FI,3 wk ahead inc death,2021-10-16,point,NA,11
2021-09-27,FI,4 wk ahead inc death,2021-10-23,point,NA,12
2021-09-27,FR,1 wk ahead inc death,2021-10-02,point,NA,231
2021-09-27,FR,2 wk ahead inc death,2021-10-09,point,NA,180
2021-09-27,FR,3 wk ahead inc death,2021-10-16,point,NA,144
2021-09-27,FR,4 wk ahead inc death,2021-10-23,point,NA,136
2021-09-27,GB,1 wk ahead inc death,2021-10-02,point,NA,1019
2021-09-27,GB,2 wk ahead inc death,2021-10-09,point,NA,1035
2021-09-27,GB,3 wk ahead inc death,2021-10-16,point,NA,1017
2021-09-27,GB,4 wk ahead inc death,2021-10-23,point,NA,1009
2021-09-27,GR,1 wk ahead inc death,2021-10-02,point,NA,171
2021-09-27,GR,2 wk ahead inc death,2021-10-09,point,NA,140
2021-09-27,GR,3 wk ahead inc death,2021-10-16,point,NA,116
2021-09-27,GR,4 wk ahead inc death,2021-10-23,point,NA,104
2021-09-27,HR,1 wk ahead inc death,2021-10-02,point,NA,93
2021-09-27,HR,2 wk ahead inc death,2021-10-09,point,NA,92
2021-09-27,HR,3 wk ahead inc death,2021-10-16,point,NA,89
2021-09-27,HR,4 wk ahead inc death,2021-10-23,point,NA,83
2021-09-27,HU,1 wk ahead inc death,2021-10-02,point,NA,28
2021-09-27,HU,2 wk ahead inc death,2021-10-09,point,NA,25
2021-09-27,HU,3 wk ahead inc death,2021-10-16,point,NA,24
2021-09-27,HU,4 wk ahead inc death,2021-10-23,point,NA,22
2021-09-27,IE,1 wk ahead inc death,2021-10-02,point,NA,32
2021-09-27,IE,2 wk ahead inc death,2021-10-09,point,NA,32
2021-09-27,IE,3 wk ahead inc death,2021-10-16,point,NA,31
2021-09-27,IE,4 wk ahead inc death,2021-10-23,point,NA,29
2021-09-27,IS,1 wk ahead inc death,2021-10-02,point,NA,0
2021-09-27,IS,2 wk ahead inc death,2021-10-09,point,NA,0
2021-09-27,IS,3 wk ahead inc death,2021-10-16,point,NA,0
2021-09-27,IS,4 wk ahead inc death,2021-10-23,point,NA,0
2021-09-27,IT,1 wk ahead inc death,2021-10-02,point,NA,349
2021-09-27,IT,2 wk ahead inc death,2021-10-09,point,NA,315
2021-09-27,IT,3 wk ahead inc death,2021-10-16,point,NA,290
2021-09-27,IT,4 wk ahead inc death,2021-10-23,point,NA,262
2021-09-27,LI,1 wk ahead inc death,2021-10-02,point,NA,0
2021-09-27,LI,2 wk ahead inc death,2021-10-09,point,NA,0
2021-09-27,LI,3 wk ahead inc death,2021-10-16,point,NA,0
2021-09-27,LI,4 wk ahead inc death,2021-10-23,point,NA,0
2021-09-27,LT,1 wk ahead inc death,2021-10-02,point,NA,117
2021-09-27,LT,2 wk ahead inc death,2021-10-09,point,NA,113
2021-09-27,LT,3 wk ahead inc death,2021-10-16,point,NA,106
2021-09-27,LT,4 wk ahead inc death,2021-10-23,point,NA,98
2021-09-27,LU,1 wk ahead inc death,2021-10-02,point,NA,1
2021-09-27,LU,2 wk ahead inc death,2021-10-09,point,NA,0
2021-09-27,LU,3 wk ahead inc death,2021-10-16,point,NA,1
2021-09-27,LU,4 wk ahead inc death,2021-10-23,point,NA,1
2021-09-27,LV,1 wk ahead inc death,2021-10-02,point,NA,49
2021-09-27,LV,2 wk ahead inc death,2021-10-09,point,NA,51
