target,forecast_date,target_end_date,location,type,quantile,value,scenario_id
4 wk ahead inc death,2021-03-29,2021-04-24,IE,point,NA,54,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,IS,point,NA,7.1,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,IS,point,NA,7.1,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,IS,point,NA,7.2,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,IS,point,NA,7.3,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,IT,point,NA,3270.4,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,IT,point,NA,3488.6,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,IT,point,NA,3608.5,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,IT,point,NA,3689.9,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,LI,point,NA,7.3,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,LI,point,NA,7.1,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,LI,point,NA,7.8,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,LI,point,NA,8.3,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,LT,point,NA,86.4,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,LT,point,NA,96.6,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,LT,point,NA,108.3,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,LT,point,NA,125.3,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,LU,point,NA,32.9,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,LU,point,NA,31.8,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,LU,point,NA,32.6,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,LU,point,NA,32.9,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,LV,point,NA,60.7,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,LV,point,NA,56.2,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,LV,point,NA,64.3,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,LV,point,NA,63.8,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,MT,point,NA,24.1,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,MT,point,NA,23.3,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,MT,point,NA,23.6,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,MT,point,NA,23.4,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,NL,point,NA,192.6,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,NL,point,NA,203,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,NL,point,NA,223.6,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,NL,point,NA,249.3,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,NO,point,NA,17.6,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,NO,point,NA,17.8,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,NO,point,NA,18.6,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,NO,point,NA,20.1,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,PL,point,NA,2888.2,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,PL,point,NA,3151,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,PL,point,NA,3231.1,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,PL,point,NA,3275.2,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,PT,point,NA,102.7,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,PT,point,NA,141.3,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,PT,point,NA,181.7,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,PT,point,NA,226.1,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,RO,point,NA,980.5,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,RO,point,NA,1067.5,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,RO,point,NA,1115.1,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,RO,point,NA,1134,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,SE,point,NA,148.2,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,SE,point,NA,166.1,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,SE,point,NA,188.8,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,SE,point,NA,202.5,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,SI,point,NA,60.4,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,SI,point,NA,76.8,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,SI,point,NA,85.7,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,SI,point,NA,104.3,forecast
1 wk ahead inc death,2021-03-29,2021-04-03,SK,point,NA,369.9,forecast
2 wk ahead inc death,2021-03-29,2021-04-10,SK,point,NA,341.9,forecast
3 wk ahead inc death,2021-03-29,2021-04-17,SK,point,NA,289.7,forecast
4 wk ahead inc death,2021-03-29,2021-04-24,SK,point,NA,296.6,forecast
