forecast_date,location,target,target_end_date,type,scenario_id,quantile,value
2021-06-21,AT,1 wk ahead inc death,2021-06-26,point,forecast,NA,18
2021-06-21,AT,2 wk ahead inc death,2021-07-03,point,forecast,NA,17
2021-06-21,AT,3 wk ahead inc death,2021-07-10,point,forecast,NA,15
2021-06-21,AT,4 wk ahead inc death,2021-07-17,point,forecast,NA,14
2021-06-21,BE,1 wk ahead inc death,2021-06-26,point,forecast,NA,38
2021-06-21,BE,2 wk ahead inc death,2021-07-03,point,forecast,NA,20
2021-06-21,BE,3 wk ahead inc death,2021-07-10,point,forecast,NA,14
2021-06-21,BE,4 wk ahead inc death,2021-07-17,point,forecast,NA,12
2021-06-21,BG,1 wk ahead inc death,2021-06-26,point,forecast,NA,79
2021-06-21,BG,2 wk ahead inc death,2021-07-03,point,forecast,NA,67
2021-06-21,BG,3 wk ahead inc death,2021-07-10,point,forecast,NA,58
2021-06-21,BG,4 wk ahead inc death,2021-07-17,point,forecast,NA,52
2021-06-21,CH,1 wk ahead inc death,2021-06-26,point,forecast,NA,6
2021-06-21,CH,2 wk ahead inc death,2021-07-03,point,forecast,NA,5
2021-06-21,CH,3 wk ahead inc death,2021-07-10,point,forecast,NA,4
2021-06-21,CH,4 wk ahead inc death,2021-07-17,point,forecast,NA,4
2021-06-21,CY,1 wk ahead inc death,2021-06-26,point,forecast,NA,0
2021-06-21,CY,2 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-21,CY,3 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-21,CY,4 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-21,CZ,1 wk ahead inc death,2021-06-26,point,forecast,NA,51
2021-06-21,CZ,2 wk ahead inc death,2021-07-03,point,forecast,NA,34
2021-06-21,CZ,3 wk ahead inc death,2021-07-10,point,forecast,NA,27
2021-06-21,CZ,4 wk ahead inc death,2021-07-17,point,forecast,NA,20
2021-06-21,DE,1 wk ahead inc death,2021-06-26,point,forecast,NA,399
2021-06-21,DE,2 wk ahead inc death,2021-07-03,point,forecast,NA,258
2021-06-21,DE,3 wk ahead inc death,2021-07-10,point,forecast,NA,161
2021-06-21,DE,4 wk ahead inc death,2021-07-17,point,forecast,NA,82
2021-06-21,DK,1 wk ahead inc death,2021-06-26,point,forecast,NA,4
2021-06-21,DK,2 wk ahead inc death,2021-07-03,point,forecast,NA,4
2021-06-21,DK,3 wk ahead inc death,2021-07-10,point,forecast,NA,4
2021-06-21,DK,4 wk ahead inc death,2021-07-17,point,forecast,NA,5
2021-06-21,EE,1 wk ahead inc death,2021-06-26,point,forecast,NA,0
2021-06-21,EE,2 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-21,EE,3 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-21,EE,4 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-21,ES,1 wk ahead inc death,2021-06-26,point,forecast,NA,91
2021-06-21,ES,2 wk ahead inc death,2021-07-03,point,forecast,NA,78
2021-06-21,ES,3 wk ahead inc death,2021-07-10,point,forecast,NA,77
2021-06-21,ES,4 wk ahead inc death,2021-07-17,point,forecast,NA,68
2021-06-21,FI,1 wk ahead inc death,2021-06-26,point,forecast,NA,2
2021-06-21,FI,2 wk ahead inc death,2021-07-03,point,forecast,NA,2
2021-06-21,FI,3 wk ahead inc death,2021-07-10,point,forecast,NA,2
2021-06-21,FI,4 wk ahead inc death,2021-07-17,point,forecast,NA,1
2021-06-21,FR,1 wk ahead inc death,2021-06-26,point,forecast,NA,241
2021-06-21,FR,2 wk ahead inc death,2021-07-03,point,forecast,NA,149
2021-06-21,FR,3 wk ahead inc death,2021-07-10,point,forecast,NA,75
2021-06-21,FR,4 wk ahead inc death,2021-07-17,point,forecast,NA,32
2021-06-21,GB,1 wk ahead inc death,2021-06-26,point,forecast,NA,96
2021-06-21,GB,2 wk ahead inc death,2021-07-03,point,forecast,NA,93
2021-06-21,GB,3 wk ahead inc death,2021-07-10,point,forecast,NA,74
2021-06-21,GB,4 wk ahead inc death,2021-07-17,point,forecast,NA,43
2021-06-21,GR,1 wk ahead inc death,2021-06-26,point,forecast,NA,99
2021-06-21,GR,2 wk ahead inc death,2021-07-03,point,forecast,NA,69
2021-06-21,GR,3 wk ahead inc death,2021-07-10,point,forecast,NA,45
2021-06-21,GR,4 wk ahead inc death,2021-07-17,point,forecast,NA,26
2021-06-21,HR,1 wk ahead inc death,2021-06-26,point,forecast,NA,13
2021-06-21,HR,2 wk ahead inc death,2021-07-03,point,forecast,NA,5
2021-06-21,HR,3 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-21,HR,4 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-21,HU,1 wk ahead inc death,2021-06-26,point,forecast,NA,27
2021-06-21,HU,2 wk ahead inc death,2021-07-03,point,forecast,NA,14
2021-06-21,HU,3 wk ahead inc death,2021-07-10,point,forecast,NA,8
2021-06-21,HU,4 wk ahead inc death,2021-07-17,point,forecast,NA,7
2021-06-21,IE,1 wk ahead inc death,2021-06-26,point,forecast,NA,41
2021-06-21,IE,2 wk ahead inc death,2021-07-03,point,forecast,NA,33
2021-06-21,IE,3 wk ahead inc death,2021-07-10,point,forecast,NA,26
2021-06-21,IE,4 wk ahead inc death,2021-07-17,point,forecast,NA,21
2021-06-21,IS,1 wk ahead inc death,2021-06-26,point,forecast,NA,0
2021-06-21,IS,2 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-21,IS,3 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-21,IS,4 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-21,IT,1 wk ahead inc death,2021-06-26,point,forecast,NA,178
2021-06-21,IT,2 wk ahead inc death,2021-07-03,point,forecast,NA,123
2021-06-21,IT,3 wk ahead inc death,2021-07-10,point,forecast,NA,93
2021-06-21,IT,4 wk ahead inc death,2021-07-17,point,forecast,NA,85
2021-06-21,LI,1 wk ahead inc death,2021-06-26,point,forecast,NA,0
2021-06-21,LI,2 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-21,LI,3 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-21,LI,4 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-21,LT,1 wk ahead inc death,2021-06-26,point,forecast,NA,21
2021-06-21,LT,2 wk ahead inc death,2021-07-03,point,forecast,NA,14
2021-06-21,LT,3 wk ahead inc death,2021-07-10,point,forecast,NA,9
2021-06-21,LT,4 wk ahead inc death,2021-07-17,point,forecast,NA,6
2021-06-21,LU,1 wk ahead inc death,2021-06-26,point,forecast,NA,0
2021-06-21,LU,2 wk ahead inc death,2021-07-03,point,forecast,NA,1
2021-06-21,LU,3 wk ahead inc death,2021-07-10,point,forecast,NA,1
2021-06-21,LU,4 wk ahead inc death,2021-07-17,point,forecast,NA,2
2021-06-21,LV,1 wk ahead inc death,2021-06-26,point,forecast,NA,37
2021-06-21,LV,2 wk ahead inc death,2021-07-03,point,forecast,NA,28
2021-06-21,LV,3 wk ahead inc death,2021-07-10,point,forecast,NA,22
2021-06-21,LV,4 wk ahead inc death,2021-07-17,point,forecast,NA,16
2021-06-21,MT,1 wk ahead inc death,2021-06-26,point,forecast,NA,1
2021-06-21,MT,2 wk ahead inc death,2021-07-03,point,forecast,NA,0
