forecast_date,location,target,target_end_date,type,quantile,value
2021-09-20,AT,1 wk ahead inc death,2021-09-25,point,NA,65
2021-09-20,AT,2 wk ahead inc death,2021-10-02,point,NA,71
2021-09-20,AT,3 wk ahead inc death,2021-10-09,point,NA,72
2021-09-20,AT,4 wk ahead inc death,2021-10-16,point,NA,70
2021-09-20,BE,1 wk ahead inc death,2021-09-25,point,NA,41
2021-09-20,BE,2 wk ahead inc death,2021-10-02,point,NA,37
2021-09-20,BE,3 wk ahead inc death,2021-10-09,point,NA,35
2021-09-20,BE,4 wk ahead inc death,2021-10-16,point,NA,35
2021-09-20,BG,1 wk ahead inc death,2021-09-25,point,NA,482
2021-09-20,BG,2 wk ahead inc death,2021-10-02,point,NA,463
2021-09-20,BG,3 wk ahead inc death,2021-10-09,point,NA,438
2021-09-20,BG,4 wk ahead inc death,2021-10-16,point,NA,404
2021-09-20,CH,1 wk ahead inc death,2021-09-25,point,NA,42
2021-09-20,CH,2 wk ahead inc death,2021-10-02,point,NA,40
2021-09-20,CH,3 wk ahead inc death,2021-10-09,point,NA,39
2021-09-20,CH,4 wk ahead inc death,2021-10-16,point,NA,37
2021-09-20,CY,1 wk ahead inc death,2021-09-25,point,NA,2
2021-09-20,CY,2 wk ahead inc death,2021-10-02,point,NA,0
2021-09-20,CY,3 wk ahead inc death,2021-10-09,point,NA,0
2021-09-20,CY,4 wk ahead inc death,2021-10-16,point,NA,0
2021-09-20,CZ,1 wk ahead inc death,2021-09-25,point,NA,19
2021-09-20,CZ,2 wk ahead inc death,2021-10-02,point,NA,23
2021-09-20,CZ,3 wk ahead inc death,2021-10-09,point,NA,25
2021-09-20,CZ,4 wk ahead inc death,2021-10-16,point,NA,25
2021-09-20,DE,1 wk ahead inc death,2021-09-25,point,NA,431
2021-09-20,DE,2 wk ahead inc death,2021-10-02,point,NA,479
2021-09-20,DE,3 wk ahead inc death,2021-10-09,point,NA,530
2021-09-20,DE,4 wk ahead inc death,2021-10-16,point,NA,542
2021-09-20,DK,1 wk ahead inc death,2021-09-25,point,NA,16
2021-09-20,DK,2 wk ahead inc death,2021-10-02,point,NA,16
2021-09-20,DK,3 wk ahead inc death,2021-10-09,point,NA,15
2021-09-20,DK,4 wk ahead inc death,2021-10-16,point,NA,15
2021-09-20,EE,1 wk ahead inc death,2021-09-25,point,NA,18
2021-09-20,EE,2 wk ahead inc death,2021-10-02,point,NA,19
2021-09-20,EE,3 wk ahead inc death,2021-10-09,point,NA,19
2021-09-20,EE,4 wk ahead inc death,2021-10-16,point,NA,18
2021-09-20,ES,1 wk ahead inc death,2021-09-25,point,NA,400
2021-09-20,ES,2 wk ahead inc death,2021-10-02,point,NA,351
2021-09-20,ES,3 wk ahead inc death,2021-10-09,point,NA,292
