forecast_date,location,target,target_end_date,type,scenario_id,quantile,value
2021-06-28,AT,1 wk ahead inc death,2021-07-03,point,forecast,NA,22
2021-06-28,AT,2 wk ahead inc death,2021-07-10,point,forecast,NA,17
2021-06-28,AT,3 wk ahead inc death,2021-07-17,point,forecast,NA,14
2021-06-28,AT,4 wk ahead inc death,2021-07-24,point,forecast,NA,12
2021-06-28,BE,1 wk ahead inc death,2021-07-03,point,forecast,NA,14
2021-06-28,BE,2 wk ahead inc death,2021-07-10,point,forecast,NA,19
2021-06-28,BE,3 wk ahead inc death,2021-07-17,point,forecast,NA,26
2021-06-28,BE,4 wk ahead inc death,2021-07-24,point,forecast,NA,39
2021-06-28,BG,1 wk ahead inc death,2021-07-03,point,forecast,NA,17
2021-06-28,BG,2 wk ahead inc death,2021-07-10,point,forecast,NA,4
2021-06-28,BG,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,BG,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,CH,1 wk ahead inc death,2021-07-03,point,forecast,NA,8
2021-06-28,CH,2 wk ahead inc death,2021-07-10,point,forecast,NA,6
2021-06-28,CH,3 wk ahead inc death,2021-07-17,point,forecast,NA,4
2021-06-28,CH,4 wk ahead inc death,2021-07-24,point,forecast,NA,2
2021-06-28,CY,1 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-28,CY,2 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-28,CY,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,CY,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,CZ,1 wk ahead inc death,2021-07-03,point,forecast,NA,9
2021-06-28,CZ,2 wk ahead inc death,2021-07-10,point,forecast,NA,4
2021-06-28,CZ,3 wk ahead inc death,2021-07-17,point,forecast,NA,2
2021-06-28,CZ,4 wk ahead inc death,2021-07-24,point,forecast,NA,1
2021-06-28,DE,1 wk ahead inc death,2021-07-03,point,forecast,NA,266
2021-06-28,DE,2 wk ahead inc death,2021-07-10,point,forecast,NA,203
2021-06-28,DE,3 wk ahead inc death,2021-07-17,point,forecast,NA,151
2021-06-28,DE,4 wk ahead inc death,2021-07-24,point,forecast,NA,111
2021-06-28,DK,1 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-28,DK,2 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-28,DK,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,DK,4 wk ahead inc death,2021-07-24,point,forecast,NA,1
2021-06-28,EE,1 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-28,EE,2 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-28,EE,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,EE,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,ES,1 wk ahead inc death,2021-07-03,point,forecast,NA,105
2021-06-28,ES,2 wk ahead inc death,2021-07-10,point,forecast,NA,117
2021-06-28,ES,3 wk ahead inc death,2021-07-17,point,forecast,NA,107
2021-06-28,ES,4 wk ahead inc death,2021-07-24,point,forecast,NA,90
2021-06-28,FI,1 wk ahead inc death,2021-07-03,point,forecast,NA,3
2021-06-28,FI,2 wk ahead inc death,2021-07-10,point,forecast,NA,7
2021-06-28,FI,3 wk ahead inc death,2021-07-17,point,forecast,NA,8
2021-06-28,FI,4 wk ahead inc death,2021-07-24,point,forecast,NA,7
2021-06-28,FR,1 wk ahead inc death,2021-07-03,point,forecast,NA,158
2021-06-28,FR,2 wk ahead inc death,2021-07-10,point,forecast,NA,98
2021-06-28,FR,3 wk ahead inc death,2021-07-17,point,forecast,NA,40
2021-06-28,FR,4 wk ahead inc death,2021-07-24,point,forecast,NA,5
2021-06-28,GB,1 wk ahead inc death,2021-07-03,point,forecast,NA,98
2021-06-28,GB,2 wk ahead inc death,2021-07-10,point,forecast,NA,13
2021-06-28,GB,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,GB,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,GR,1 wk ahead inc death,2021-07-03,point,forecast,NA,80
2021-06-28,GR,2 wk ahead inc death,2021-07-10,point,forecast,NA,61
2021-06-28,GR,3 wk ahead inc death,2021-07-17,point,forecast,NA,42
2021-06-28,GR,4 wk ahead inc death,2021-07-24,point,forecast,NA,26
2021-06-28,HR,1 wk ahead inc death,2021-07-03,point,forecast,NA,22
2021-06-28,HR,2 wk ahead inc death,2021-07-10,point,forecast,NA,14
2021-06-28,HR,3 wk ahead inc death,2021-07-17,point,forecast,NA,7
2021-06-28,HR,4 wk ahead inc death,2021-07-24,point,forecast,NA,1
2021-06-28,HU,1 wk ahead inc death,2021-07-03,point,forecast,NA,28
2021-06-28,HU,2 wk ahead inc death,2021-07-10,point,forecast,NA,21
2021-06-28,HU,3 wk ahead inc death,2021-07-17,point,forecast,NA,19
2021-06-28,HU,4 wk ahead inc death,2021-07-24,point,forecast,NA,18
2021-06-28,IE,1 wk ahead inc death,2021-07-03,point,forecast,NA,8
2021-06-28,IE,2 wk ahead inc death,2021-07-10,point,forecast,NA,5
2021-06-28,IE,3 wk ahead inc death,2021-07-17,point,forecast,NA,3
2021-06-28,IE,4 wk ahead inc death,2021-07-24,point,forecast,NA,2
2021-06-28,IS,1 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-28,IS,2 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-28,IS,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,IS,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,IT,1 wk ahead inc death,2021-07-03,point,forecast,NA,174
2021-06-28,IT,2 wk ahead inc death,2021-07-10,point,forecast,NA,124
2021-06-28,IT,3 wk ahead inc death,2021-07-17,point,forecast,NA,108
2021-06-28,IT,4 wk ahead inc death,2021-07-24,point,forecast,NA,97
2021-06-28,LI,1 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-28,LI,2 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-28,LI,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,LI,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,LT,1 wk ahead inc death,2021-07-03,point,forecast,NA,10
2021-06-28,LT,2 wk ahead inc death,2021-07-10,point,forecast,NA,6
2021-06-28,LT,3 wk ahead inc death,2021-07-17,point,forecast,NA,6
2021-06-28,LT,4 wk ahead inc death,2021-07-24,point,forecast,NA,7
2021-06-28,LU,1 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-28,LU,2 wk ahead inc death,2021-07-10,point,forecast,NA,1
2021-06-28,LU,3 wk ahead inc death,2021-07-17,point,forecast,NA,1
2021-06-28,LU,4 wk ahead inc death,2021-07-24,point,forecast,NA,2
2021-06-28,LV,1 wk ahead inc death,2021-07-03,point,forecast,NA,2
2021-06-28,LV,2 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-28,LV,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,LV,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,MT,1 wk ahead inc death,2021-07-03,point,forecast,NA,0
2021-06-28,MT,2 wk ahead inc death,2021-07-10,point,forecast,NA,0
2021-06-28,MT,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,MT,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,NL,1 wk ahead inc death,2021-07-03,point,forecast,NA,12
2021-06-28,NL,2 wk ahead inc death,2021-07-10,point,forecast,NA,2
2021-06-28,NL,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,NL,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,NO,1 wk ahead inc death,2021-07-03,point,forecast,NA,2
2021-06-28,NO,2 wk ahead inc death,2021-07-10,point,forecast,NA,1
2021-06-28,NO,3 wk ahead inc death,2021-07-17,point,forecast,NA,1
2021-06-28,NO,4 wk ahead inc death,2021-07-24,point,forecast,NA,1
2021-06-28,PL,1 wk ahead inc death,2021-07-03,point,forecast,NA,118
2021-06-28,PL,2 wk ahead inc death,2021-07-10,point,forecast,NA,83
2021-06-28,PL,3 wk ahead inc death,2021-07-17,point,forecast,NA,65
2021-06-28,PL,4 wk ahead inc death,2021-07-24,point,forecast,NA,50
2021-06-28,PT,1 wk ahead inc death,2021-07-03,point,forecast,NA,17
2021-06-28,PT,2 wk ahead inc death,2021-07-10,point,forecast,NA,8
2021-06-28,PT,3 wk ahead inc death,2021-07-17,point,forecast,NA,0
2021-06-28,PT,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
2021-06-28,RO,1 wk ahead inc death,2021-07-03,point,forecast,NA,945
2021-06-28,RO,2 wk ahead inc death,2021-07-10,point,forecast,NA,862
2021-06-28,RO,3 wk ahead inc death,2021-07-17,point,forecast,NA,728
2021-06-28,RO,4 wk ahead inc death,2021-07-24,point,forecast,NA,610
2021-06-28,SE,1 wk ahead inc death,2021-07-03,point,forecast,NA,30
2021-06-28,SE,2 wk ahead inc death,2021-07-10,point,forecast,NA,31
2021-06-28,SE,3 wk ahead inc death,2021-07-17,point,forecast,NA,29
2021-06-28,SE,4 wk ahead inc death,2021-07-24,point,forecast,NA,29
2021-06-28,SI,1 wk ahead inc death,2021-07-03,point,forecast,NA,6
2021-06-28,SI,2 wk ahead inc death,2021-07-10,point,forecast,NA,3
2021-06-28,SI,3 wk ahead inc death,2021-07-17,point,forecast,NA,3
2021-06-28,SI,4 wk ahead inc death,2021-07-24,point,forecast,NA,3
2021-06-28,SK,1 wk ahead inc death,2021-07-03,point,forecast,NA,14
2021-06-28,SK,2 wk ahead inc death,2021-07-10,point,forecast,NA,5
2021-06-28,SK,3 wk ahead inc death,2021-07-17,point,forecast,NA,1
2021-06-28,SK,4 wk ahead inc death,2021-07-24,point,forecast,NA,0
