forecast_date,location,target,target_end_date,type,quantile,value
2021-09-13,AT,1 wk ahead inc death,2021-09-18,point,NA,53
2021-09-13,AT,2 wk ahead inc death,2021-09-25,point,NA,57
2021-09-13,AT,3 wk ahead inc death,2021-10-02,point,NA,58
2021-09-13,AT,4 wk ahead inc death,2021-10-09,point,NA,56
2021-09-13,BE,1 wk ahead inc death,2021-09-18,point,NA,55
2021-09-13,BE,2 wk ahead inc death,2021-09-25,point,NA,57
2021-09-13,BE,3 wk ahead inc death,2021-10-02,point,NA,56
2021-09-13,BE,4 wk ahead inc death,2021-10-09,point,NA,55
2021-09-13,BG,1 wk ahead inc death,2021-09-18,point,NA,393
2021-09-13,BG,2 wk ahead inc death,2021-09-25,point,NA,385
2021-09-13,BG,3 wk ahead inc death,2021-10-02,point,NA,364
2021-09-13,BG,4 wk ahead inc death,2021-10-09,point,NA,345
2021-09-13,CH,1 wk ahead inc death,2021-09-18,point,NA,29
2021-09-13,CH,2 wk ahead inc death,2021-09-25,point,NA,26
2021-09-13,CH,3 wk ahead inc death,2021-10-02,point,NA,23
2021-09-13,CH,4 wk ahead inc death,2021-10-09,point,NA,22
2021-09-13,CY,1 wk ahead inc death,2021-09-18,point,NA,13
2021-09-13,CY,2 wk ahead inc death,2021-09-25,point,NA,11
2021-09-13,CY,3 wk ahead inc death,2021-10-02,point,NA,10
2021-09-13,CY,4 wk ahead inc death,2021-10-09,point,NA,9
2021-09-13,CZ,1 wk ahead inc death,2021-09-18,point,NA,7
2021-09-13,CZ,2 wk ahead inc death,2021-09-25,point,NA,6
2021-09-13,CZ,3 wk ahead inc death,2021-10-02,point,NA,6
2021-09-13,CZ,4 wk ahead inc death,2021-10-09,point,NA,7
2021-09-13,DE,1 wk ahead inc death,2021-09-18,point,NA,378
2021-09-13,DE,2 wk ahead inc death,2021-09-25,point,NA,471
2021-09-13,DE,3 wk ahead inc death,2021-10-02,point,NA,544
2021-09-13,DE,4 wk ahead inc death,2021-10-09,point,NA,597
2021-09-13,DK,1 wk ahead inc death,2021-09-18,point,NA,22
2021-09-13,DK,2 wk ahead inc death,2021-09-25,point,NA,23
2021-09-13,DK,3 wk ahead inc death,2021-10-02,point,NA,23
2021-09-13,DK,4 wk ahead inc death,2021-10-09,point,NA,22
2021-09-13,EE,1 wk ahead inc death,2021-09-18,point,NA,13
2021-09-13,EE,2 wk ahead inc death,2021-09-25,point,NA,13
2021-09-13,EE,3 wk ahead inc death,2021-10-02,point,NA,13
2021-09-13,EE,4 wk ahead inc death,2021-10-09,point,NA,12
2021-09-13,ES,1 wk ahead inc death,2021-09-18,point,NA,386
2021-09-13,ES,2 wk ahead inc death,2021-09-25,point,NA,291
2021-09-13,ES,3 wk ahead inc death,2021-10-02,point,NA,244
2021-09-13,ES,4 wk ahead inc death,2021-10-09,point,NA,200
2021-09-13,FI,1 wk ahead inc death,2021-09-18,point,NA,14
2021-09-13,FI,2 wk ahead inc death,2021-09-25,point,NA,16
2021-09-13,FI,3 wk ahead inc death,2021-10-02,point,NA,18
2021-09-13,FI,4 wk ahead inc death,2021-10-09,point,NA,20
2021-09-13,FR,1 wk ahead inc death,2021-09-18,point,NA,514
2021-09-13,FR,2 wk ahead inc death,2021-09-25,point,NA,489
2021-09-13,FR,3 wk ahead inc death,2021-10-02,point,NA,467
2021-09-13,FR,4 wk ahead inc death,2021-10-09,point,NA,449
2021-09-13,GB,1 wk ahead inc death,2021-09-18,point,NA,1050
2021-09-13,GB,2 wk ahead inc death,2021-09-25,point,NA,1076
2021-09-13,GB,3 wk ahead inc death,2021-10-02,point,NA,1069
2021-09-13,GB,4 wk ahead inc death,2021-10-09,point,NA,1028
2021-09-13,GR,1 wk ahead inc death,2021-09-18,point,NA,286
2021-09-13,GR,2 wk ahead inc death,2021-09-25,point,NA,272
2021-09-13,GR,3 wk ahead inc death,2021-10-02,point,NA,244
2021-09-13,GR,4 wk ahead inc death,2021-10-09,point,NA,225
2021-09-13,HR,1 wk ahead inc death,2021-09-18,point,NA,77
2021-09-13,HR,2 wk ahead inc death,2021-09-25,point,NA,83
2021-09-13,HR,3 wk ahead inc death,2021-10-02,point,NA,84
2021-09-13,HR,4 wk ahead inc death,2021-10-09,point,NA,81
2021-09-13,HU,1 wk ahead inc death,2021-09-18,point,NA,26
2021-09-13,HU,2 wk ahead inc death,2021-09-25,point,NA,29
2021-09-13,HU,3 wk ahead inc death,2021-10-02,point,NA,30
2021-09-13,HU,4 wk ahead inc death,2021-10-09,point,NA,29
2021-09-13,IE,1 wk ahead inc death,2021-09-18,point,NA,46
2021-09-13,IE,2 wk ahead inc death,2021-09-25,point,NA,49
2021-09-13,IE,3 wk ahead inc death,2021-10-02,point,NA,48
2021-09-13,IE,4 wk ahead inc death,2021-10-09,point,NA,47
2021-09-13,IS,1 wk ahead inc death,2021-09-18,point,NA,0
2021-09-13,IS,2 wk ahead inc death,2021-09-25,point,NA,0
2021-09-13,IS,3 wk ahead inc death,2021-10-02,point,NA,0
2021-09-13,IS,4 wk ahead inc death,2021-10-09,point,NA,0
2021-09-13,IT,1 wk ahead inc death,2021-09-18,point,NA,426
2021-09-13,IT,2 wk ahead inc death,2021-09-25,point,NA,421
2021-09-13,IT,3 wk ahead inc death,2021-10-02,point,NA,411
2021-09-13,IT,4 wk ahead inc death,2021-10-09,point,NA,395
2021-09-13,LI,1 wk ahead inc death,2021-09-18,point,NA,1
2021-09-13,LI,2 wk ahead inc death,2021-09-25,point,NA,2
2021-09-13,LI,3 wk ahead inc death,2021-10-02,point,NA,2
2021-09-13,LI,4 wk ahead inc death,2021-10-09,point,NA,1
2021-09-13,LT,1 wk ahead inc death,2021-09-18,point,NA,77
2021-09-13,LT,2 wk ahead inc death,2021-09-25,point,NA,78
2021-09-13,LT,3 wk ahead inc death,2021-10-02,point,NA,78
2021-09-13,LT,4 wk ahead inc death,2021-10-09,point,NA,74
2021-09-13,LU,1 wk ahead inc death,2021-09-18,point,NA,4
2021-09-13,LU,2 wk ahead inc death,2021-09-25,point,NA,5
2021-09-13,LU,3 wk ahead inc death,2021-10-02,point,NA,5
2021-09-13,LU,4 wk ahead inc death,2021-10-09,point,NA,5
2021-09-13,LV,1 wk ahead inc death,2021-09-18,point,NA,29
2021-09-13,LV,2 wk ahead inc death,2021-09-25,point,NA,32
2021-09-13,LV,3 wk ahead inc death,2021-10-02,point,NA,33
2021-09-13,LV,4 wk ahead inc death,2021-10-09,point,NA,33
2021-09-13,MT,1 wk ahead inc death,2021-09-18,point,NA,4
2021-09-13,MT,2 wk ahead inc death,2021-09-25,point,NA,4
2021-09-13,MT,3 wk ahead inc death,2021-10-02,point,NA,3
2021-09-13,MT,4 wk ahead inc death,2021-10-09,point,NA,3
2021-09-13,NL,1 wk ahead inc death,2021-09-18,point,NA,32
2021-09-13,NL,2 wk ahead inc death,2021-09-25,point,NA,31
2021-09-13,NL,3 wk ahead inc death,2021-10-02,point,NA,30
2021-09-13,NL,4 wk ahead inc death,2021-10-09,point,NA,30
2021-09-13,NO,1 wk ahead inc death,2021-09-18,point,NA,6
2021-09-13,NO,2 wk ahead inc death,2021-09-25,point,NA,6
2021-09-13,NO,3 wk ahead inc death,2021-10-02,point,NA,7
2021-09-13,NO,4 wk ahead inc death,2021-10-09,point,NA,6
2021-09-13,PL,1 wk ahead inc death,2021-09-18,point,NA,56
2021-09-13,PL,2 wk ahead inc death,2021-09-25,point,NA,60
2021-09-13,PL,3 wk ahead inc death,2021-10-02,point,NA,63
2021-09-13,PL,4 wk ahead inc death,2021-10-09,point,NA,63
2021-09-13,PT,1 wk ahead inc death,2021-09-18,point,NA,65
2021-09-13,PT,2 wk ahead inc death,2021-09-25,point,NA,62
2021-09-13,PT,3 wk ahead inc death,2021-10-02,point,NA,59
