target,forecast_date,target_end_date,location,type,quantile,value
4 wk ahead inc death,2021-04-05,2021-05-01,RO,point,NA,1089
1 wk ahead inc death,2021-04-05,2021-04-10,SE,point,NA,97
2 wk ahead inc death,2021-04-05,2021-04-17,SE,point,NA,112
3 wk ahead inc death,2021-04-05,2021-04-24,SE,point,NA,108
4 wk ahead inc death,2021-04-05,2021-05-01,SE,point,NA,109
1 wk ahead inc death,2021-04-05,2021-04-10,SI,point,NA,70
2 wk ahead inc death,2021-04-05,2021-04-17,SI,point,NA,76
3 wk ahead inc death,2021-04-05,2021-04-24,SI,point,NA,89
4 wk ahead inc death,2021-04-05,2021-05-01,SI,point,NA,99
1 wk ahead inc death,2021-04-05,2021-04-10,SK,point,NA,517
2 wk ahead inc death,2021-04-05,2021-04-17,SK,point,NA,517
3 wk ahead inc death,2021-04-05,2021-04-24,SK,point,NA,516
4 wk ahead inc death,2021-04-05,2021-05-01,SK,point,NA,532
