forecast_date,location,target,target_end_date,type,quantile,value
2021-08-02,AT,1 wk ahead inc death,2021-08-07,point,NA,6
2021-08-02,AT,2 wk ahead inc death,2021-08-14,point,NA,6
2021-08-02,AT,3 wk ahead inc death,2021-08-21,point,NA,6
2021-08-02,AT,4 wk ahead inc death,2021-08-28,point,NA,6
2021-08-02,BE,1 wk ahead inc death,2021-08-07,point,NA,26
2021-08-02,BE,2 wk ahead inc death,2021-08-14,point,NA,28
2021-08-02,BE,3 wk ahead inc death,2021-08-21,point,NA,30
2021-08-02,BE,4 wk ahead inc death,2021-08-28,point,NA,30
2021-08-02,BG,1 wk ahead inc death,2021-08-07,point,NA,21
2021-08-02,BG,2 wk ahead inc death,2021-08-14,point,NA,22
2021-08-02,BG,3 wk ahead inc death,2021-08-21,point,NA,23
2021-08-02,BG,4 wk ahead inc death,2021-08-28,point,NA,23
2021-08-02,CH,1 wk ahead inc death,2021-08-07,point,NA,12
2021-08-02,CH,2 wk ahead inc death,2021-08-14,point,NA,15
2021-08-02,CH,3 wk ahead inc death,2021-08-21,point,NA,15
2021-08-02,CH,4 wk ahead inc death,2021-08-28,point,NA,15
2021-08-02,CY,1 wk ahead inc death,2021-08-07,point,NA,20
2021-08-02,CY,2 wk ahead inc death,2021-08-14,point,NA,20
2021-08-02,CY,3 wk ahead inc death,2021-08-21,point,NA,18
2021-08-02,CY,4 wk ahead inc death,2021-08-28,point,NA,17
2021-08-02,CZ,1 wk ahead inc death,2021-08-07,point,NA,24
2021-08-02,CZ,2 wk ahead inc death,2021-08-14,point,NA,26
2021-08-02,CZ,3 wk ahead inc death,2021-08-21,point,NA,26
2021-08-02,CZ,4 wk ahead inc death,2021-08-28,point,NA,26
2021-08-02,DE,1 wk ahead inc death,2021-08-07,point,NA,257
2021-08-02,DE,2 wk ahead inc death,2021-08-14,point,NA,292
2021-08-02,DE,3 wk ahead inc death,2021-08-21,point,NA,295
2021-08-02,DE,4 wk ahead inc death,2021-08-28,point,NA,286
2021-08-02,DK,1 wk ahead inc death,2021-08-07,point,NA,8
2021-08-02,DK,2 wk ahead inc death,2021-08-14,point,NA,9
2021-08-02,DK,3 wk ahead inc death,2021-08-21,point,NA,10
2021-08-02,DK,4 wk ahead inc death,2021-08-28,point,NA,10
2021-08-02,EE,1 wk ahead inc death,2021-08-07,point,NA,2
2021-08-02,EE,2 wk ahead inc death,2021-08-14,point,NA,2
2021-08-02,EE,3 wk ahead inc death,2021-08-21,point,NA,2
2021-08-02,EE,4 wk ahead inc death,2021-08-28,point,NA,2
2021-08-02,ES,1 wk ahead inc death,2021-08-07,point,NA,349
2021-08-02,ES,2 wk ahead inc death,2021-08-14,point,NA,398
2021-08-02,ES,3 wk ahead inc death,2021-08-21,point,NA,418
2021-08-02,ES,4 wk ahead inc death,2021-08-28,point,NA,421
2021-08-02,FI,1 wk ahead inc death,2021-08-07,point,NA,16
2021-08-02,FI,2 wk ahead inc death,2021-08-14,point,NA,30
2021-08-02,FI,3 wk ahead inc death,2021-08-21,point,NA,42
