forecast_date,location,variable,target_end_date,value,target,type,scenario_id,quantile
2021-04-26,HR,deaths,2021-05-01,290.8688226250315,1 wk ahead inc death,point,forecast,NA
2021-04-26,HR,deaths,2021-05-08,295.78740122988745,2 wk ahead inc death,point,forecast,NA
2021-04-26,HR,deaths,2021-05-15,291.8658342392887,3 wk ahead inc death,point,forecast,NA
2021-04-26,HR,deaths,2021-05-22,284.35475733080585,4 wk ahead inc death,point,forecast,NA
2021-04-26,HU,deaths,2021-05-01,1227.8160966440605,1 wk ahead inc death,point,forecast,NA
2021-04-26,HU,deaths,2021-05-08,1008.9858413202858,2 wk ahead inc death,point,forecast,NA
2021-04-26,HU,deaths,2021-05-15,846.9017740504556,3 wk ahead inc death,point,forecast,NA
2021-04-26,HU,deaths,2021-05-22,712.7756433073585,4 wk ahead inc death,point,forecast,NA
2021-04-26,IE,deaths,2021-05-01,38.063077929205924,1 wk ahead inc death,point,forecast,NA
2021-04-26,IE,deaths,2021-05-08,38.84796453181199,2 wk ahead inc death,point,forecast,NA
2021-04-26,IE,deaths,2021-05-15,40.57132278403244,3 wk ahead inc death,point,forecast,NA
2021-04-26,IE,deaths,2021-05-22,42.781111286725995,4 wk ahead inc death,point,forecast,NA
2021-04-26,IS,deaths,2021-05-01,0.4888792010981677,1 wk ahead inc death,point,forecast,NA
2021-04-26,IS,deaths,2021-05-08,0.9160567289381192,2 wk ahead inc death,point,forecast,NA
2021-04-26,IS,deaths,2021-05-15,1.3015638027171608,3 wk ahead inc death,point,forecast,NA
2021-04-26,IS,deaths,2021-05-22,1.527043831392886,4 wk ahead inc death,point,forecast,NA
2021-04-26,IT,deaths,2021-05-01,2178.562019275387,1 wk ahead inc death,point,forecast,NA
2021-04-26,IT,deaths,2021-05-08,2002.0154182617925,2 wk ahead inc death,point,forecast,NA
2021-04-26,IT,deaths,2021-05-15,1874.0523110064364,3 wk ahead inc death,point,forecast,NA
2021-04-26,IT,deaths,2021-05-22,1786.6758372744653,4 wk ahead inc death,point,forecast,NA
2021-04-26,LI,deaths,2021-05-01,1.4713188127599188,1 wk ahead inc death,point,forecast,NA
2021-04-26,LI,deaths,2021-05-08,1.6742304984840914,2 wk ahead inc death,point,forecast,NA
2021-04-26,LI,deaths,2021-05-15,1.6965054351707982,3 wk ahead inc death,point,forecast,NA
2021-04-26,LI,deaths,2021-05-22,1.6477204798013734,4 wk ahead inc death,point,forecast,NA
2021-04-26,LT,deaths,2021-05-01,93.82310068462148,1 wk ahead inc death,point,forecast,NA
2021-04-26,LT,deaths,2021-05-08,98.91219135759735,2 wk ahead inc death,point,forecast,NA
2021-04-26,LT,deaths,2021-05-15,101.36823529736758,3 wk ahead inc death,point,forecast,NA
2021-04-26,LT,deaths,2021-05-22,101.8360546510305,4 wk ahead inc death,point,forecast,NA
2021-04-26,LU,deaths,2021-05-01,6.5632456104833246,1 wk ahead inc death,point,forecast,NA
2021-04-26,LU,deaths,2021-05-08,6.871961404772873,2 wk ahead inc death,point,forecast,NA
2021-04-26,LU,deaths,2021-05-15,7.686303357971799,3 wk ahead inc death,point,forecast,NA
2021-04-26,LU,deaths,2021-05-22,7.165762879254217,4 wk ahead inc death,point,forecast,NA
2021-04-26,LV,deaths,2021-05-01,59.44349922118377,1 wk ahead inc death,point,forecast,NA
2021-04-26,LV,deaths,2021-05-08,64.9031892144538,2 wk ahead inc death,point,forecast,NA
2021-04-26,LV,deaths,2021-05-15,68.22822612548984,3 wk ahead inc death,point,forecast,NA
2021-04-26,LV,deaths,2021-05-22,70.42414694564732,4 wk ahead inc death,point,forecast,NA
2021-04-26,MT,deaths,2021-05-01,2.158829257623641,1 wk ahead inc death,point,forecast,NA
2021-04-26,MT,deaths,2021-05-08,1.4245230937544484,2 wk ahead inc death,point,forecast,NA
2021-04-26,MT,deaths,2021-05-15,0.9389296515678254,3 wk ahead inc death,point,forecast,NA
2021-04-26,MT,deaths,2021-05-22,0.5866114590601539,4 wk ahead inc death,point,forecast,NA
2021-04-26,NL,deaths,2021-05-01,227.77053087172786,1 wk ahead inc death,point,forecast,NA
2021-04-26,NL,deaths,2021-05-08,314.05065913383123,2 wk ahead inc death,point,forecast,NA
2021-04-26,NL,deaths,2021-05-15,381.7514962058707,3 wk ahead inc death,point,forecast,NA
2021-04-26,NL,deaths,2021-05-22,427.96599557847475,4 wk ahead inc death,point,forecast,NA
2021-04-26,NO,deaths,2021-05-01,26.247602483415214,1 wk ahead inc death,point,forecast,NA
2021-04-26,NO,deaths,2021-05-08,23.832926992064028,2 wk ahead inc death,point,forecast,NA
2021-04-26,NO,deaths,2021-05-15,22.605895392101953,3 wk ahead inc death,point,forecast,NA
2021-04-26,NO,deaths,2021-05-22,21.44292820199925,4 wk ahead inc death,point,forecast,NA
2021-04-26,PL,deaths,2021-05-01,2929.828714883097,1 wk ahead inc death,point,forecast,NA
2021-04-26,PL,deaths,2021-05-08,2308.433144177742,2 wk ahead inc death,point,forecast,NA
2021-04-26,PL,deaths,2021-05-15,1836.997186374431,3 wk ahead inc death,point,forecast,NA
2021-04-26,PL,deaths,2021-05-22,1479.823846107072,4 wk ahead inc death,point,forecast,NA
2021-04-26,PT,deaths,2021-05-01,19.205799020608946,1 wk ahead inc death,point,forecast,NA
2021-04-26,PT,deaths,2021-05-08,21.37141696531653,2 wk ahead inc death,point,forecast,NA
2021-04-26,PT,deaths,2021-05-15,23.198749602495166,3 wk ahead inc death,point,forecast,NA
2021-04-26,PT,deaths,2021-05-22,24.730296560220935,4 wk ahead inc death,point,forecast,NA
2021-04-26,RO,deaths,2021-05-01,1023.6680783459058,1 wk ahead inc death,point,forecast,NA
