model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.10810943383496954
ILM-EKF,inc case,Overall,1,0.10921259132308148
Karlen-pypm,inc case,Overall,1,0.07280839421538765
LANL-GrowthRate,inc case,Overall,1,0.1259156935254351
MUNI-ARIMA,inc case,Overall,1,0.1672317804634685
RobertWalraven-ESG,inc case,Overall,1,0.10596865296695034
USC-SIkJalpha,inc case,Overall,1,0.07987189514673122
epiforecasts-EpiExpert,inc case,Overall,1,0.12894980662243355
epiforecasts-EpiNow2,inc case,Overall,1,0.1019317519015427
IEM_Health-CovidProject,inc case,Overall,2,0.11130720454720947
ILM-EKF,inc case,Overall,2,0.08937074817659155
Karlen-pypm,inc case,Overall,2,0.038869182540295366
LANL-GrowthRate,inc case,Overall,2,0.14073324712865565
MUNI-ARIMA,inc case,Overall,2,0.17005267361379223
RobertWalraven-ESG,inc case,Overall,2,0.12367467171912164
USC-SIkJalpha,inc case,Overall,2,0.10464779914694908
epiforecasts-EpiExpert,inc case,Overall,2,0.12493665816523512
epiforecasts-EpiNow2,inc case,Overall,2,0.09640781496214992
IEM_Health-CovidProject,inc case,Overall,3,0.10497727331352391
ILM-EKF,inc case,Overall,3,0.07556056485753644
Karlen-pypm,inc case,Overall,3,0.029259622987386453
LANL-GrowthRate,inc case,Overall,3,0.14947850873990906
MUNI-ARIMA,inc case,Overall,3,0.16371455719132896
RobertWalraven-ESG,inc case,Overall,3,0.13752022804071634
USC-SIkJalpha,inc case,Overall,3,0.1175386564450567
epiforecasts-EpiExpert,inc case,Overall,3,0.11855192072475547
epiforecasts-EpiNow2,inc case,Overall,3,0.10339866769978671
IEM_Health-CovidProject,inc case,Overall,4,0.09932893666342467
ILM-EKF,inc case,Overall,4,0.051914078395518114
Karlen-pypm,inc case,Overall,4,0.026093415936101053
LANL-GrowthRate,inc case,Overall,4,0.16194935325558368
MUNI-ARIMA,inc case,Overall,4,0.16740832021925506
RobertWalraven-ESG,inc case,Overall,4,0.148993404995137
USC-SIkJalpha,inc case,Overall,4,0.12520454201272016
epiforecasts-EpiExpert,inc case,Overall,4,0.10955397426113014
epiforecasts-EpiNow2,inc case,Overall,4,0.10955397426113014
IEM_Health-CovidProject,inc death,Overall,1,0.09345308911210375
ILM-EKF,inc death,Overall,1,0.09691431463477425
Karlen-pypm,inc death,Overall,1,0.1825595229166678
LANL-GrowthRate,inc death,Overall,1,0.10902860396412103
MUNI-ARIMA,inc death,Overall,1,0.1706534670742764
RobertWalraven-ESG,inc death,Overall,1,0.09936784158755334
USC-SIkJalpha,inc death,Overall,1,0.08440924177867434
epiforecasts-EpiExpert,inc death,Overall,1,0.08010264781037464
epiforecasts-EpiNow2,inc death,Overall,1,0.08351127112145441
IEM_Health-CovidProject,inc death,Overall,2,0.0847175000913945
ILM-EKF,inc death,Overall,2,0.10022915503770619
Karlen-pypm,inc death,Overall,2,0.16549465134132882
LANL-GrowthRate,inc death,Overall,2,0.12707625013709176
MUNI-ARIMA,inc death,Overall,2,0.1617334092653895
RobertWalraven-ESG,inc death,Overall,2,0.092419091008794
USC-SIkJalpha,inc death,Overall,2,0.10465102952466379
epiforecasts-EpiExpert,inc death,Overall,2,0.07995808997390044
epiforecasts-EpiNow2,inc death,Overall,2,0.08372082361973104
IEM_Health-CovidProject,inc death,Overall,3,0.0815176647644518
ILM-EKF,inc death,Overall,3,0.09782119771734214
Karlen-pypm,inc death,Overall,3,0.12027196440656822
LANL-GrowthRate,inc death,Overall,3,0.13586277460741963
MUNI-ARIMA,inc death,Overall,3,0.18341474572001654
RobertWalraven-ESG,inc death,Overall,3,0.0905751830716131
USC-SIkJalpha,inc death,Overall,3,0.11463421607501033
epiforecasts-EpiExpert,inc death,Overall,3,0.09528038738702158
epiforecasts-EpiNow2,inc death,Overall,3,0.0806218662505567
IEM_Health-CovidProject,inc death,Overall,4,0.0773110872063648
ILM-EKF,inc death,Overall,4,0.08676022008714272
Karlen-pypm,inc death,Overall,4,0.0773110872063648
LANL-GrowthRate,inc death,Overall,4,0.1626754126633926
