model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.10653403740229862
ILM-EKF,inc case,Overall,1,0.1054792449527709
Karlen-pypm,inc case,Overall,1,0.06658377337643663
LANL-GrowthRate,inc case,Overall,1,0.12533416164976308
MUNI-ARIMA,inc case,Overall,1,0.16910164667031524
RobertWalraven-ESG,inc case,Overall,1,0.10982890453845219
USC-SIkJalpha,inc case,Overall,1,0.08732298147729395
epiforecasts-EpiExpert,inc case,Overall,1,0.12835426193048027
epiforecasts-EpiNow2,inc case,Overall,1,0.10146098800218915
IEM_Health-CovidProject,inc case,Overall,2,0.11091816781359706
ILM-EKF,inc case,Overall,2,0.09105222730966922
Karlen-pypm,inc case,Overall,2,0.031124996070142033
LANL-GrowthRate,inc case,Overall,2,0.14187207511041486
MUNI-ARIMA,inc case,Overall,2,0.16945831193743996
RobertWalraven-ESG,inc case,Overall,2,0.12578348927315133
USC-SIkJalpha,inc case,Overall,2,0.1060956387782233
epiforecasts-EpiExpert,inc case,Overall,2,0.12449998428056813
epiforecasts-EpiNow2,inc case,Overall,2,0.09919510942679412
IEM_Health-CovidProject,inc case,Overall,3,0.10185947330915965
ILM-EKF,inc case,Overall,3,0.08769358629265402
Karlen-pypm,inc case,Overall,3,0.024984399113567465
LANL-GrowthRate,inc case,Overall,3,0.14878350033922197
MUNI-ARIMA,inc case,Overall,3,0.1595389340986838
RobertWalraven-ESG,inc case,Overall,3,0.13241731530190756
USC-SIkJalpha,inc case,Overall,3,0.11929487865036716
epiforecasts-EpiExpert,inc case,Overall,3,0.11415285801888583
epiforecasts-EpiNow2,inc case,Overall,3,0.11127505487555256
IEM_Health-CovidProject,inc case,Overall,4,0.0926381548704347
ILM-EKF,inc case,Overall,4,0.06724495505823432
Karlen-pypm,inc case,Overall,4,0.03405464305005697
LANL-GrowthRate,inc case,Overall,4,0.15053700166445638
MUNI-ARIMA,inc case,Overall,4,0.17430600192726528
RobertWalraven-ESG,inc case,Overall,4,0.13381066814618345
USC-SIkJalpha,inc case,Overall,4,0.129875060259531
epiforecasts-EpiExpert,inc case,Overall,4,0.10430910351552881
epiforecasts-EpiNow2,inc case,Overall,4,0.11322441150830907
IEM_Health-CovidProject,inc death,Overall,1,0.08308045689497769
ILM-EKF,inc death,Overall,1,0.08718319550707535
Karlen-pypm,inc death,Overall,1,0.15351823556680658
LANL-GrowthRate,inc death,Overall,1,0.09946251881793104
MUNI-ARIMA,inc death,Overall,1,0.15351823556680658
RobertWalraven-ESG,inc death,Overall,1,0.08827298545091379
UMass-MechBayes,inc death,Overall,1,0.10864367440112466
USC-SIkJalpha,inc death,Overall,1,0.07675911778340329
epiforecasts-EpiExpert,inc death,Overall,1,0.07280246222755778
epiforecasts-EpiNow2,inc death,Overall,1,0.07675911778340329
IEM_Health-CovidProject,inc death,Overall,2,0.07308402403805904
ILM-EKF,inc death,Overall,2,0.09003104410485535
Karlen-pypm,inc death,Overall,2,0.135046566157283
LANL-GrowthRate,inc death,Overall,2,0.10898494812693016
MUNI-ARIMA,inc death,Overall,2,0.14446841961011672
RobertWalraven-ESG,inc death,Overall,2,0.08067716939266258
UMass-MechBayes,inc death,Overall,2,0.12677840904561263
USC-SIkJalpha,inc death,Overall,2,0.0955714160497695
epiforecasts-EpiExpert,inc death,Overall,2,0.07140393153143698
epiforecasts-EpiNow2,inc death,Overall,2,0.07395407194327402
IEM_Health-CovidProject,inc death,Overall,3,0.06878744312961406
ILM-EKF,inc death,Overall,3,0.08816418767316735
Karlen-pypm,inc death,Overall,3,0.09342772126559522
LANL-GrowthRate,inc death,Overall,3,0.11810674197726188
MUNI-ARIMA,inc death,Overall,3,0.16050403396909949
RobertWalraven-ESG,inc death,Overall,3,0.07824571655993601
UMass-MechBayes,inc death,Overall,3,0.13607950706075828
USC-SIkJalpha,inc death,Overall,3,0.10096221491604647
epiforecasts-EpiExpert,inc death,Overall,3,0.08458996384857946
epiforecasts-EpiNow2,inc death,Overall,3,0.07113246959994184
IEM_Health-CovidProject,inc death,Overall,4,0.06433106790556982
ILM-EKF,inc death,Overall,4,0.07905745694419425
Karlen-pypm,inc death,Overall,4,0.06370649443075846
LANL-GrowthRate,inc death,Overall,4,0.139612104816343
MUNI-ARIMA,inc death,Overall,4,0.16825048529149028
RobertWalraven-ESG,inc death,Overall,4,0.08100949291812495
UMass-MechBayes,inc death,Overall,4,0.13123537852736245
USC-SIkJalpha,inc death,Overall,4,0.11121642248081563
epiforecasts-EpiExpert,inc death,Overall,4,0.08867255305902867
epiforecasts-EpiNow2,inc death,Overall,4,0.07290854362631247
IEM_Health-CovidProject,inc case,AT,1,0.0923682291087742
ILM-EKF,inc case,AT,1,0.08544061192561613
Karlen-pypm,inc case,AT,1,0.11991664831665423
LANL-GrowthRate,inc case,AT,1,0.1289669613971564
MUNI-ARIMA,inc case,AT,1,0.21360152981404032
RobertWalraven-ESG,inc case,AT,1,0.17526279369357153
USC-SIkJalpha,inc case,AT,1,0.07594721060054768
epiforecasts-EpiNow2,inc case,AT,1,0.10849601514363953
IEM_Health-CovidProject,inc case,AT,2,0.09347859690648701
ILM-EKF,inc case,AT,2,0.09677784150318654
LANL-GrowthRate,inc case,AT,2,0.15233549125501583
MUNI-ARIMA,inc case,AT,2,0.23503190079345304
RobertWalraven-ESG,inc case,AT,2,0.23503190079345304
USC-SIkJalpha,inc case,AT,2,0.09792995866393876
epiforecasts-EpiNow2,inc case,AT,2,0.08941431008446582
IEM_Health-CovidProject,inc case,AT,3,0.08366216259062932
ILM-EKF,inc case,AT,3,0.09119175722378597
LANL-GrowthRate,inc case,AT,3,0.14029501111351686
MUNI-ARIMA,inc case,AT,3,0.2849742413243312
RobertWalraven-ESG,inc case,AT,3,0.24646420871293506
USC-SIkJalpha,inc case,AT,3,0.08684929259408188
epiforecasts-EpiNow2,inc case,AT,3,0.06656332644071969
IEM_Health-CovidProject,inc case,AT,4,0.0707737790444446
ILM-EKF,inc case,AT,4,0.07969484362987879
LANL-GrowthRate,inc case,AT,4,0.1185460798994447
MUNI-ARIMA,inc case,AT,4,0.29636519974861175
RobertWalraven-ESG,inc case,AT,4,0.2789319527045757
USC-SIkJalpha,inc case,AT,4,0.08543861614374391
epiforecasts-EpiNow2,inc case,AT,4,0.07024952882930056
IEM_Health-CovidProject,inc death,AT,1,0.07487912429568505
ILM-EKF,inc death,AT,1,0.05253615978810162
Karlen-pypm,inc death,AT,1,0.34286756914340005
LANL-GrowthRate,inc death,AT,1,0.07574981178749536
MUNI-ARIMA,inc death,AT,1,0.08685978418299467
RobertWalraven-ESG,inc death,AT,1,0.09723110169738208
UMass-MechBayes,inc death,AT,1,0.1229147889382
USC-SIkJalpha,inc death,AT,1,0.06449983973984753
epiforecasts-EpiNow2,inc death,AT,1,0.08246182042689366
IEM_Health-CovidProject,inc death,AT,2,0.0965562777862482
ILM-EKF,inc death,AT,2,0.09322675096603274
LANL-GrowthRate,inc death,AT,2,0.13517878890074747
MUNI-ARIMA,inc death,AT,2,0.13517878890074747
RobertWalraven-ESG,inc death,AT,2,0.11264899075062289
UMass-MechBayes,inc death,AT,2,0.21920884686607697
USC-SIkJalpha,inc death,AT,2,0.10266743460816263
epiforecasts-EpiNow2,inc death,AT,2,0.10533412122136167
IEM_Health-CovidProject,inc death,AT,3,0.08438312779450616
ILM-EKF,inc death,AT,3,0.09643786033657846
LANL-GrowthRate,inc death,AT,3,0.1285838137821046
MUNI-ARIMA,inc death,AT,3,0.1723570269845232
RobertWalraven-ESG,inc death,AT,3,0.13279967652905886
UMass-MechBayes,inc death,AT,3,0.21317842811243662
USC-SIkJalpha,inc death,AT,3,0.08020574523042169
epiforecasts-EpiNow2,inc death,AT,3,0.09205432123037036
IEM_Health-CovidProject,inc death,AT,4,0.07264716430748588
ILM-EKF,inc death,AT,4,0.09100013213253494
LANL-GrowthRate,inc death,AT,4,0.13507832113423154
MUNI-ARIMA,inc death,AT,4,0.19647755801342773
RobertWalraven-ESG,inc death,AT,4,0.123500179322726
UMass-MechBayes,inc death,AT,4,0.2216669885279697
USC-SIkJalpha,inc death,AT,4,0.08312512069798864
epiforecasts-EpiNow2,inc death,AT,4,0.07650453586363558
IEM_Health-CovidProject,inc case,BE,1,0.13545161487247068
ILM-EKF,inc case,BE,1,0.1339793147108134
Karlen-pypm,inc case,BE,1,0.11852016301341185
LANL-GrowthRate,inc case,BE,1,0.13545161487247068
MUNI-ARIMA,inc case,BE,1,0.09337952237420329
RobertWalraven-ESG,inc case,BE,1,0.1503182555292053
USC-SIkJalpha,inc case,BE,1,0.11205542684904395
