model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.10685081593566541
ILM-EKF,inc case,Overall,1,0.10685081593566541
Karlen-pypm,inc case,Overall,1,0.06636696641966795
LANL-GrowthRate,inc case,Overall,1,0.12570684227725343
MUNI-ARIMA,inc case,Overall,1,0.16960446973915144
RobertWalraven-ESG,inc case,Overall,1,0.10903144483231164
USC-SIkJalpha,inc case,Overall,1,0.0875826360128405
epiforecasts-EpiExpert,inc case,Overall,1,0.12720335230436358
epiforecasts-EpiNow2,inc case,Overall,1,0.10080265654308057
IEM_Health-CovidProject,inc case,Overall,2,0.11050982306122217
ILM-EKF,inc case,Overall,2,0.08888833594054829
Karlen-pypm,inc case,Overall,2,0.035555334376219314
LANL-GrowthRate,inc case,Overall,2,0.14263477162553095
MUNI-ARIMA,inc case,Overall,2,0.1680354843807625
RobertWalraven-ESG,inc case,Overall,2,0.12777698291453815
USC-SIkJalpha,inc case,Overall,2,0.10484265264782619
epiforecasts-EpiExpert,inc case,Overall,2,0.12516928938567004
epiforecasts-EpiNow2,inc case,Overall,2,0.09658732566768237
IEM_Health-CovidProject,inc case,Overall,3,0.10403660447960096
ILM-EKF,inc case,Overall,3,0.07699884286343349
Karlen-pypm,inc case,Overall,3,0.025191858016317424
LANL-GrowthRate,inc case,Overall,3,0.14976698007502995
MUNI-ARIMA,inc case,Overall,3,0.16420235164852684
RobertWalraven-ESG,inc case,Overall,3,0.13628795186827727
USC-SIkJalpha,inc case,Overall,3,0.11955083497217305
epiforecasts-EpiExpert,inc case,Overall,3,0.11748961367954937
epiforecasts-EpiNow2,inc case,Overall,3,0.10647496239709162
IEM_Health-CovidProject,inc case,Overall,4,0.09711677661884371
ILM-EKF,inc case,Overall,4,0.06210471981205027
Karlen-pypm,inc case,Overall,4,0.029411381537007543
LANL-GrowthRate,inc case,Overall,4,0.159015381496788
MUNI-ARIMA,inc case,Overall,4,0.1644363604114513
RobertWalraven-ESG,inc case,Overall,4,0.14327128431888825
USC-SIkJalpha,inc case,Overall,4,0.1269333308439273
epiforecasts-EpiExpert,inc case,Overall,4,0.106399997913292
epiforecasts-EpiNow2,inc case,Overall,4,0.11131076704775163
IEM_Health-CovidProject,inc death,Overall,1,0.09248715319052238
ILM-EKF,inc death,Overall,1,0.0970544200147457
Karlen-pypm,inc death,Overall,1,0.1828234423533582
LANL-GrowthRate,inc death,Overall,1,0.10918622251658891
MUNI-ARIMA,inc death,Overall,1,0.17090017437379135
RobertWalraven-ESG,inc death,Overall,1,0.09826760026493002
USC-SIkJalpha,inc death,Overall,1,0.0845312690451011
epiforecasts-EpiExpert,inc death,Overall,1,0.08021844919586124
epiforecasts-EpiNow2,inc death,Overall,1,0.0845312690451011
IEM_Health-CovidProject,inc death,Overall,2,0.08396494906146228
ILM-EKF,inc death,Overall,2,0.10052141789048301
Karlen-pypm,inc death,Overall,2,0.1622050152323703
LANL-GrowthRate,inc death,Overall,2,0.1252108889513034
MUNI-ARIMA,inc death,Overall,2,0.1622050152323703
RobertWalraven-ESG,inc death,Overall,2,0.09268858013278303
USC-SIkJalpha,inc death,Overall,2,0.1081366768215802
epiforecasts-EpiExpert,inc death,Overall,2,0.08110250761618515
epiforecasts-EpiNow2,inc death,Overall,2,0.08396494906146228
IEM_Health-CovidProject,inc death,Overall,3,0.08107555176879994
ILM-EKF,inc death,Overall,3,0.0999561597149588
Karlen-pypm,inc death,Overall,3,0.1140124946748749
