model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.10607738812914544
ILM-EKF,inc case,Overall,1,0.10939230650818123
Karlen-pypm,inc case,Overall,1,0.06141322470634735
LANL-GrowthRate,inc case,Overall,1,0.1265260412624747
MUNI-ARIMA,inc case,Overall,1,0.16938163588363545
RobertWalraven-ESG,inc case,Overall,1,0.10939230650818123
USC-SIkJalpha,inc case,Overall,1,0.08679059028748262
epiforecasts-EpiExpert,inc case,Overall,1,0.12806904176567557
epiforecasts-EpiNow2,inc case,Overall,1,0.10295746494887643
IEM_Health-CovidProject,inc case,Overall,2,0.11037248484382962
ILM-EKF,inc case,Overall,2,0.09770678986175084
Karlen-pypm,inc case,Overall,2,0.02965230936102886
LANL-GrowthRate,inc case,Overall,2,0.14361720919438076
MUNI-ARIMA,inc case,Overall,2,0.16329079949498082
RobertWalraven-ESG,inc case,Overall,2,0.12547608803298527
USC-SIkJalpha,inc case,Overall,2,0.10548874657640356
epiforecasts-EpiExpert,inc case,Overall,2,0.12163498329728165
epiforecasts-EpiNow2,inc case,Overall,2,0.10276058933735864
IEM_Health-CovidProject,inc case,Overall,3,0.0981082687494683
ILM-EKF,inc case,Overall,3,0.0942457384837412
Karlen-pypm,inc case,Overall,3,0.02306205932068426
LANL-GrowthRate,inc case,Overall,3,0.1442073347883751
MUNI-ARIMA,inc case,Overall,3,0.17346679402079906
RobertWalraven-ESG,inc case,Overall,3,0.12467925820244931
USC-SIkJalpha,inc case,Overall,3,0.11850701769737755
epiforecasts-EpiExpert,inc case,Overall,3,0.11186176436855265
epiforecasts-EpiNow2,inc case,Overall,3,0.11186176436855265
IEM_Health-CovidProject,inc case,Overall,4,0.09006754201795154
ILM-EKF,inc case,Overall,4,0.09072980335631883
LANL-GrowthRate,inc case,Overall,4,0.14689587210070668
MUNI-ARIMA,inc case,Overall,4,0.17137851745082447
RobertWalraven-ESG,inc case,Overall,4,0.1197985753054307
USC-SIkJalpha,inc case,Overall,4,0.12720879645834396
epiforecasts-EpiExpert,inc case,Overall,4,0.13412231800499305
epiforecasts-EpiNow2,inc case,Overall,4,0.1197985753054307
IEM_Health-CovidProject,inc death,Overall,1,0.08196503202652738
ILM-EKF,inc death,Overall,1,0.08811240942851693
Karlen-pypm,inc death,Overall,1,0.15664428342847456
LANL-GrowthRate,inc death,Overall,1,0.09790267714279659
MUNI-ARIMA,inc death,Overall,1,0.1532389729191599
RobertWalraven-ESG,inc death,Overall,1,0.08702460190470808
UMass-MechBayes,inc death,Overall,1,0.1084460423735593
USC-SIkJalpha,inc death,Overall,1,0.07661948645957994
epiforecasts-EpiExpert,inc death,Overall,1,0.07342700785709745
epiforecasts-EpiNow2,inc death,Overall,1,0.07661948645957994
IEM_Health-CovidProject,inc death,Overall,2,0.07319007210976607
ILM-EKF,inc death,Overall,2,0.09016168303376981
Karlen-pypm,inc death,Overall,2,0.12960741936104409
LANL-GrowthRate,inc death,Overall,2,0.10914308998824765
MUNI-ARIMA,inc death,Overall,2,0.14467804951930502
RobertWalraven-ESG,inc death,Overall,2,0.07975841191448865
UMass-MechBayes,inc death,Overall,2,0.12960741936104409
USC-SIkJalpha,inc death,Overall,2,0.09571009429738639
epiforecasts-EpiExpert,inc death,Overall,2,0.07319007210976607
epiforecasts-EpiNow2,inc death,Overall,2,0.07495368830518212
IEM_Health-CovidProject,inc death,Overall,3,0.06883769535970297
ILM-EKF,inc death,Overall,3,0.08948900396761386
Karlen-pypm,inc death,Overall,3,0.08581137366757494
LANL-GrowthRate,inc death,Overall,3,0.11819302410816923
MUNI-ARIMA,inc death,Overall,3,0.16062128917264024
RobertWalraven-ESG,inc death,Overall,3,0.07733617626830827
UMass-MechBayes,inc death,Overall,3,0.1392051172829549
USC-SIkJalpha,inc death,Overall,3,0.10269229963496673
epiforecasts-EpiExpert,inc death,Overall,3,0.08581137366757494
epiforecasts-EpiNow2,inc death,Overall,3,0.0720026468704939
IEM_Health-CovidProject,inc death,Overall,4,0.06549928867699452
ILM-EKF,inc death,Overall,4,0.0856529159622236
LANL-GrowthRate,inc death,Overall,4,0.14846505433452092
MUNI-ARIMA,inc death,Overall,4,0.17581388013298532
RobertWalraven-ESG,inc death,Overall,4,0.08676529149420054
UMass-MechBayes,inc death,Overall,4,0.15183926011485097
USC-SIkJalpha,inc death,Overall,4,0.11518840422505934
epiforecasts-EpiExpert,inc death,Overall,4,0.09028280331153299
epiforecasts-EpiNow2,inc death,Overall,4,0.08049310174763183
IEM_Health-CovidProject,inc case,AT,1,0.1041500555623043
ILM-EKF,inc case,AT,1,0.09887663502750409
LANL-GrowthRate,inc case,AT,1,0.14465285494764485
MUNI-ARIMA,inc case,AT,1,0.25197594087654274
RobertWalraven-ESG,inc case,AT,1,0.19051839432128836
USC-SIkJalpha,inc case,AT,1,0.08583795788102003
epiforecasts-EpiNow2,inc case,AT,1,0.1239881613836956
IEM_Health-CovidProject,inc case,AT,2,0.09316140380605795
ILM-EKF,inc case,AT,2,0.0975454698675195
LANL-GrowthRate,inc case,AT,2,0.15354379516183622
MUNI-ARIMA,inc case,AT,2,0.23689614110683305
RobertWalraven-ESG,inc case,AT,2,0.23031569274275435
USC-SIkJalpha,inc case,AT,2,0.09641122021789718
epiforecasts-EpiNow2,inc case,AT,2,0.09212627709710175
IEM_Health-CovidProject,inc case,AT,3,0.0741031401205226
ILM-EKF,inc case,AT,3,0.0830853389230102
LANL-GrowthRate,inc case,AT,3,0.12654536235966166
MUNI-ARIMA,inc case,AT,3,0.2937660197635003
RobertWalraven-ESG,inc case,AT,3,0.24925601676903059
USC-SIkJalpha,inc case,AT,3,0.08479843869461866
epiforecasts-EpiNow2,inc case,AT,3,0.08844568336965601
IEM_Health-CovidProject,inc case,AT,4,0.0633473339733047
ILM-EKF,inc case,AT,4,0.07263099498663385
LANL-GrowthRate,inc case,AT,4,0.10531494273061909
MUNI-ARIMA,inc case,AT,4,0.27178049736933957
RobertWalraven-ESG,inc case,AT,4,0.30089983637319734
USC-SIkJalpha,inc case,AT,4,0.07801106868934746
epiforecasts-EpiNow2,inc case,AT,4,0.10801532587755802
IEM_Health-CovidProject,inc death,AT,1,0.11481143340940904
ILM-EKF,inc death,AT,1,0.08055318311789184
LANL-GrowthRate,inc death,AT,1,0.10857168159368029
MUNI-ARIMA,inc death,AT,1,0.1331812627549145
RobertWalraven-ESG,inc death,AT,1,0.1490835030838595
UMass-MechBayes,inc death,AT,1,0.1884640510682752
USC-SIkJalpha,inc death,AT,1,0.09889697729325334
epiforecasts-EpiNow2,inc death,AT,1,0.1264379076787163
IEM_Health-CovidProject,inc death,AT,2,0.09414488379638591
ILM-EKF,inc death,AT,2,0.09414488379638591
LANL-GrowthRate,inc death,AT,2,0.1365100815047596
MUNI-ARIMA,inc death,AT,2,0.1365100815047596
RobertWalraven-ESG,inc death,AT,2,0.11375840125396632
UMass-MechBayes,inc death,AT,2,0.22136769973744796
USC-SIkJalpha,inc death,AT,2,0.10367854291500726
epiforecasts-EpiNow2,inc death,AT,2,0.0998854254912875
IEM_Health-CovidProject,inc death,AT,3,0.08161994669287029
ILM-EKF,inc death,AT,3,0.09205970731637696
LANL-GrowthRate,inc death,AT,3,0.13195224715347362
MUNI-ARIMA,inc death,AT,3,0.1721116267219221
RobertWalraven-ESG,inc death,AT,3,0.12769572305174867
UMass-MechBayes,inc death,AT,3,0.2139766170056329
USC-SIkJalpha,inc death,AT,3,0.08161994669287029
epiforecasts-EpiNow2,inc death,AT,3,0.09896418536510522
IEM_Health-CovidProject,inc death,AT,4,0.07147127681071487
ILM-EKF,inc death,AT,4,0.0895271783207902
LANL-GrowthRate,inc death,AT,4,0.13289190531992295
MUNI-ARIMA,inc death,AT,4,0.19329731682897888
RobertWalraven-ESG,inc death,AT,4,0.12150117057821529
UMass-MechBayes,inc death,AT,4,0.21807902411474536
USC-SIkJalpha,inc death,AT,4,0.08177963404302951
epiforecasts-EpiNow2,inc death,AT,4,0.09145249398360289
IEM_Health-CovidProject,inc case,BE,1,0.15167683100537546
ILM-EKF,inc case,BE,1,0.15508529911785585
LANL-GrowthRate,inc case,BE,1,0.15508529911785585
MUNI-ARIMA,inc case,BE,1,0.103778884372099
RobertWalraven-ESG,inc case,BE,1,0.16832428806694108
USC-SIkJalpha,inc case,BE,1,0.12662928093109327
epiforecasts-EpiNow2,inc case,BE,1,0.1394201173887795
IEM_Health-CovidProject,inc case,BE,2,0.13155792945003966
ILM-EKF,inc case,BE,2,0.12588732904271038
LANL-GrowthRate,inc case,BE,2,0.16225477965504895
MUNI-ARIMA,inc case,BE,2,0.13647598288742435
RobertWalraven-ESG,inc case,BE,2,0.18253662711193006
USC-SIkJalpha,inc case,BE,2,0.13647598288742435
epiforecasts-EpiNow2,inc case,BE,2,0.12481136896542228
IEM_Health-CovidProject,inc case,BE,3,0.11247131261362543
ILM-EKF,inc case,BE,3,0.11573135066039719
LANL-GrowthRate,inc case,BE,3,0.1597092639113481
MUNI-ARIMA,inc case,BE,3,0.1646487256818022
RobertWalraven-ESG,inc case,BE,3,0.1857084464085443
USC-SIkJalpha,inc case,BE,3,0.13887762079247662
epiforecasts-EpiNow2,inc case,BE,3,0.12285327993180623
IEM_Health-CovidProject,inc case,BE,4,0.09632709442596284
ILM-EKF,inc case,BE,4,0.0991273006592757
LANL-GrowthRate,inc case,BE,4,0.18532495340647195
MUNI-ARIMA,inc case,BE,4,0.17760308034786898
RobertWalraven-ESG,inc case,BE,4,0.17577212075665383
USC-SIkJalpha,inc case,BE,4,0.14825996272517758
epiforecasts-EpiNow2,inc case,BE,4,0.11758548767858912
IEM_Health-CovidProject,inc death,BE,1,0.13181454009713983
ILM-EKF,inc death,BE,1,0.09719658007162836
LANL-GrowthRate,inc death,BE,1,0.10811754412462031
MUNI-ARIMA,inc death,BE,1,0.14579487010744255
RobertWalraven-ESG,inc death,BE,1,0.13364529759848898
UMass-MechBayes,inc death,BE,1,0.17495384412893103
USC-SIkJalpha,inc death,BE,1,0.1132054285540142
epiforecasts-EpiNow2,inc death,BE,1,0.09527189531773472
IEM_Health-CovidProject,inc death,BE,2,0.10466829123958728
ILM-EKF,inc death,BE,2,0.11091714444792083
LANL-GrowthRate,inc death,BE,2,0.10321456497237078
MUNI-ARIMA,inc death,BE,2,0.14291247457712877
RobertWalraven-ESG,inc death,BE,2,0.14021601279265464
UMass-MechBayes,inc death,BE,2,0.17282438786071389
USC-SIkJalpha,inc death,BE,2,0.11432997966170301
epiforecasts-EpiNow2,inc death,BE,2,0.11091714444792083
IEM_Health-CovidProject,inc death,BE,3,0.09819772424482434
ILM-EKF,inc death,BE,3,0.11307616731222196
LANL-GrowthRate,inc death,BE,3,0.12037140391301049
MUNI-ARIMA,inc death,BE,3,0.149260540852133
RobertWalraven-ESG,inc death,BE,3,0.14351975081935864
UMass-MechBayes,inc death,BE,3,0.17769112006206308
USC-SIkJalpha,inc death,BE,3,0.11307616731222196
epiforecasts-EpiNow2,inc death,BE,3,0.08480712548416648
IEM_Health-CovidProject,inc death,BE,4,0.08128129601266709
ILM-EKF,inc death,BE,4,0.08897006725710857
LANL-GrowthRate,inc death,BE,4,0.09975431783372779
MUNI-ARIMA,inc death,BE,4,0.16459462442565087
RobertWalraven-ESG,inc death,BE,4,0.14312576037013117
UMass-MechBayes,inc death,BE,4,0.2532224991163859
USC-SIkJalpha,inc death,BE,4,0.10450452344485768
epiforecasts-EpiNow2,inc death,BE,4,0.06454691153947092
IEM_Health-CovidProject,inc case,BG,1,0.06208607619360135
ILM-EKF,inc case,BG,1,0.08908002236473238
LANL-GrowthRate,inc case,BG,1,0.08195362057555376
MUNI-ARIMA,inc case,BG,1,0.27938734287120603
RobertWalraven-ESG,inc case,BG,1,0.32350113385087015
USC-SIkJalpha,inc case,BG,1,0.04801969955598854
epiforecasts-EpiNow2,inc case,BG,1,0.11597210458804777
IEM_Health-CovidProject,inc case,BG,2,0.04121750402310606
ILM-EKF,inc case,BG,2,0.04936515016720842
LANL-GrowthRate,inc case,BG,2,0.08164236373807546
MUNI-ARIMA,inc case,BG,2,0.32656945495230183
RobertWalraven-ESG,inc case,BG,2,0.385945719489084
USC-SIkJalpha,inc case,BG,2,0.04994591663976381
epiforecasts-EpiNow2,inc case,BG,2,0.06531389099046037
IEM_Health-CovidProject,inc case,BG,3,0.03116559109081042
ILM-EKF,inc case,BG,3,0.03277760442309372
LANL-GrowthRate,inc case,BG,3,0.0704111502422013
MUNI-ARIMA,inc case,BG,3,0.34565473755262466
RobertWalraven-ESG,inc case,BG,3,0.42246690145320787
USC-SIkJalpha,inc case,BG,3,0.054317173043983875
epiforecasts-EpiNow2,inc case,BG,3,0.04320684219407808
IEM_Health-CovidProject,inc case,BG,4,0.02263433531223919
ILM-EKF,inc case,BG,4,0.021516590358548367
LANL-GrowthRate,inc case,BG,4,0.056220768356207027
MUNI-ARIMA,inc case,BG,4,0.3168806943713487
RobertWalraven-ESG,inc case,BG,4,0.49795537686926217
USC-SIkJalpha,inc case,BG,4,0.05281344906189145
epiforecasts-EpiNow2,inc case,BG,4,0.03197878567050308
IEM_Health-CovidProject,inc death,BG,1,0.08489561532639703
ILM-EKF,inc death,BG,1,0.11529034180127991
LANL-GrowthRate,inc death,BG,1,0.08809922345192144
MUNI-ARIMA,inc death,BG,1,0.19455245178965988
RobertWalraven-ESG,inc death,BG,1,0.11972458571671375
UMass-MechBayes,inc death,BG,1,0.20301125404138418
USC-SIkJalpha,inc death,BG,1,0.10376130762115193
epiforecasts-EpiNow2,inc death,BG,1,0.09066522025149197
IEM_Health-CovidProject,inc death,BG,2,0.0721567527503627
ILM-EKF,inc death,BG,2,0.09389071442215871
LANL-GrowthRate,inc death,BG,2,0.06957972586642117
MUNI-ARIMA,inc death,BG,2,0.1900714462692481
RobertWalraven-ESG,inc death,BG,2,0.1320835474074436
UMass-MechBayes,inc death,BG,2,0.2597643099013057
USC-SIkJalpha,inc death,BG,2,0.10823512912554405
epiforecasts-EpiNow2,inc death,BG,2,0.074218374257515915
IEM_Health-CovidProject,inc death,BG,3,0.05597957365381177
ILM-EKF,inc death,BG,3,0.06997446706726472
LANL-GrowthRate,inc death,BG,3,0.06585832194566091
MUNI-ARIMA,inc death,BG,3,0.21669512382120687
RobertWalraven-ESG,inc death,BG,3,0.1492788630768314
UMass-MechBayes,inc death,BG,3,0.2583672630175928
USC-SIkJalpha,inc death,BG,3,0.12439905256402614
epiforecasts-EpiNow2,inc death,BG,3,0.05944733485360542
IEM_Health-CovidProject,inc death,BG,4,0.0504461667551442
ILM-EKF,inc death,BG,4,0.05544909238375355
LANL-GrowthRate,inc death,BG,4,0.08713428803161272
MUNI-ARIMA,inc death,BG,4,0.23961929208693494
RobertWalraven-ESG,inc death,BG,4,0.1341868035686836
UMass-MechBayes,inc death,BG,4,0.29171044254061645
USC-SIkJalpha,inc death,BG,4,0.09318528025603026
epiforecasts-EpiNow2,inc death,BG,4,0.04826863437722431
IEM_Health-CovidProject,inc case,CH,1,0.13991438329952285
ILM-EKF,inc case,CH,1,0.1676202017746759
LANL-GrowthRate,inc case,CH,1,0.12540474354994272
MUNI-ARIMA,inc case,CH,1,0.06293546609383742
RobertWalraven-ESG,inc case,CH,1,0.26045600583449635
USC-SIkJalpha,inc case,CH,1,0.15115750338609166
epiforecasts-EpiNow2,inc case,CH,1,0.09251169606143314
IEM_Health-CovidProject,inc case,CH,2,0.1359284041149537
ILM-EKF,inc case,CH,2,0.166442943814229
LANL-GrowthRate,inc case,CH,2,0.16149909399796475
MUNI-ARIMA,inc case,CH,2,0.06970687390510445
RobertWalraven-ESG,inc case,CH,2,0.2471425529362794
USC-SIkJalpha,inc case,CH,2,0.15103156012772628
epiforecasts-EpiNow2,inc case,CH,2,0.06824857110374243
IEM_Health-CovidProject,inc case,CH,3,0.1160631528619466
ILM-EKF,inc case,CH,3,0.1343889138401487
LANL-GrowthRate,inc case,CH,3,0.17022595753085504
MUNI-ARIMA,inc case,CH,3,0.07027677145769243
RobertWalraven-ESG,inc case,CH,3,0.2471021964157573
USC-SIkJalpha,inc case,CH,3,0.14318071194184068
epiforecasts-EpiNow2,inc case,CH,3,0.1187622959517593
IEM_Health-CovidProject,inc case,CH,4,0.10204166245073083
ILM-EKF,inc case,CH,4,0.1137258222733336
LANL-GrowthRate,inc case,CH,4,0.17735812759293695
MUNI-ARIMA,inc case,CH,4,0.06961720896171357
RobertWalraven-ESG,inc case,CH,4,0.2810959003359755
USC-SIkJalpha,inc case,CH,4,0.14898082717806704
epiforecasts-EpiNow2,inc case,CH,4,0.10718045120724248
IEM_Health-CovidProject,inc death,CH,1,0.14651997951597368
ILM-EKF,inc death,CH,1,0.10342586789362848
LANL-GrowthRate,inc death,CH,1,0.11104672131736952
MUNI-ARIMA,inc death,CH,1,0.13353719652088739
RobertWalraven-ESG,inc death,CH,1,0.18838283080625187
UMass-MechBayes,inc death,CH,1,0.09094343556163885
USC-SIkJalpha,inc death,CH,1,0.1302399817919766
epiforecasts-EpiNow2,inc death,CH,1,0.09590398659227369
IEM_Health-CovidProject,inc death,CH,2,0.1253266716422097
ILM-EKF,inc death,CH,2,0.1076037079756346
LANL-GrowthRate,inc death,CH,2,0.12834659144081717
MUNI-ARIMA,inc death,CH,2,0.13834762454010163
RobertWalraven-ESG,inc death,CH,2,0.19727346462199674
UMass-MechBayes,inc death,CH,2,0.11096632384987318
USC-SIkJalpha,inc death,CH,2,0.12834659144081717
epiforecasts-EpiNow2,inc death,CH,2,0.06378902448854985
IEM_Health-CovidProject,inc death,CH,3,0.09526503050642364
ILM-EKF,inc death,CH,3,0.09035446192361832
LANL-GrowthRate,inc death,CH,3,0.0942406753396879
MUNI-ARIMA,inc death,CH,3,0.1565068358319817
RobertWalraven-ESG,inc death,CH,3,0.20867578110930896
UMass-MechBayes,inc death,CH,3,0.13694348135298398
USC-SIkJalpha,inc death,CH,3,0.1511100483894996
epiforecasts-EpiNow2,inc death,CH,3,0.06690368554649599
IEM_Health-CovidProject,inc death,CH,4,0.10298109320821007
ILM-EKF,inc death,CH,4,0.08459161227817255
LANL-GrowthRate,inc death,CH,4,0.10889954684086582
MUNI-ARIMA,inc death,CH,4,0.14803532148680199
RobertWalraven-ESG,inc death,CH,4,0.20596218641642014
UMass-MechBayes,inc death,CH,4,0.11992734905259905
USC-SIkJalpha,inc death,CH,4,0.16334932026129875
epiforecasts-EpiNow2,inc death,CH,4,0.06625357045563167
IEM_Health-CovidProject,inc case,CY,1,0.12894758130858008
ILM-EKF,inc case,CY,1,0.056477041425850964
LANL-GrowthRate,inc case,CY,1,0.2052264322235148
