model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,3,0.09694708129345785
ILM-EKF,inc case,AT,3,0.10829195250864973
Karlen-pypm,inc case,AT,3,0.05385948960747659
LANL-GrowthRate,inc case,AT,3,0.13944443199743936
MUNI-ARIMA,inc case,AT,3,0.2678800930477125
RobertWalraven-ESG,inc case,AT,3,0.16157846882242974
USC-SIkJalpha,inc case,AT,3,0.09603248618691579
epiforecasts-EpiNow2,inc case,AT,3,0.07596599653591846
IEM_Health-CovidProject,inc case,AT,4,0.09324842509118315
ILM-EKF,inc case,AT,4,0.10121837595367746
Karlen-pypm,inc case,AT,4,0.032006891855622326
LANL-GrowthRate,inc case,AT,4,0.1409827379354793
MUNI-ARIMA,inc case,AT,4,0.29606374966450655
RobertWalraven-ESG,inc case,AT,4,0.18219307671661938
USC-SIkJalpha,inc case,AT,4,0.09868791655483553
epiforecasts-EpiNow2,inc case,AT,4,0.055598826228076347
IEM_Health-CovidProject,inc death,AT,1,0.07828704698782424
ILM-EKF,inc death,AT,1,0.054402863161030414
Karlen-pypm,inc death,AT,1,0.3378704133158731
LANL-GrowthRate,inc death,AT,1,0.07464578898839057
MUNI-ARIMA,inc death,AT,1,0.0930367804782839
RobertWalraven-ESG,inc death,AT,1,0.09581399780599384
UMass-MechBayes,inc death,AT,1,0.12112335571701108
USC-SIkJalpha,inc death,AT,1,0.063559780722788
epiforecasts-EpiNow2,inc death,AT,1,0.08125997282280491
IEM_Health-CovidProject,inc death,AT,2,0.06831142687012443
ILM-EKF,inc death,AT,2,0.06913445610952351
Karlen-pypm,inc death,AT,2,0.260825448049566
LANL-GrowthRate,inc death,AT,2,0.1103492280209702
MUNI-ARIMA,inc death,AT,2,0.10066947117702547
RobertWalraven-ESG,inc death,AT,2,0.08438470378074192
UMass-MechBayes,inc death,AT,2,0.15508540154298517
USC-SIkJalpha,inc death,AT,2,0.07263493489987913
epiforecasts-EpiNow2,inc death,AT,2,0.07860492954918426
IEM_Health-CovidProject,inc death,AT,3,0.06781791749511061
ILM-EKF,inc death,AT,3,0.08270477743306172
Karlen-pypm,inc death,AT,3,0.16954479373777653
LANL-GrowthRate,inc death,AT,3,0.11117691392641085
MUNI-ARIMA,inc death,AT,3,0.15413163067070595
RobertWalraven-ESG,inc death,AT,3,0.10596549608611033
UMass-MechBayes,inc death,AT,3,0.16954479373777653
USC-SIkJalpha,inc death,AT,3,0.0645884928524863
epiforecasts-EpiNow2,inc death,AT,3,0.0745251840605611
IEM_Health-CovidProject,inc death,AT,4,0.0723410950932467
ILM-EKF,inc death,AT,4,0.08885373636453127
Karlen-pypm,inc death,AT,4,0.08983015104985577
LANL-GrowthRate,inc death,AT,4,0.12975466262756946
MUNI-ARIMA,inc death,AT,4,0.1901056685008576
RobertWalraven-ESG,inc death,AT,4,0.11198005130872433
UMass-MechBayes,inc death,AT,4,0.17392646267099737
USC-SIkJalpha,inc death,AT,4,0.08174543745536876
epiforecasts-EpiNow2,inc death,AT,4,0.06146273492884869
IEM_Health-CovidProject,inc case,BE,1,0.13608285655510866
ILM-EKF,inc case,BE,1,0.13035305206857778
Karlen-pypm,inc case,BE,1,0.1567536702090492
LANL-GrowthRate,inc case,BE,1,0.11907249948572007
MUNI-ARIMA,inc case,BE,1,0.09906831957211912
RobertWalraven-ESG,inc case,BE,1,0.1474230946013677
USC-SIkJalpha,inc case,BE,1,0.10067918655703162
epiforecasts-EpiNow2,inc case,BE,1,0.11056732095102578
IEM_Health-CovidProject,inc case,BE,2,0.12679967218639382
ILM-EKF,inc case,BE,2,0.12024106845261483
Karlen-pypm,inc case,BE,2,0.0982250981725586
LANL-GrowthRate,inc case,BE,2,0.1452912910469096
MUNI-ARIMA,inc case,BE,2,0.13035480318227402
RobertWalraven-ESG,inc case,BE,2,0.17219708568522615
USC-SIkJalpha,inc case,BE,2,0.09619285476209187
epiforecasts-EpiNow2,inc case,BE,2,0.1106981265119311
