model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.10729445274127211
ILM-EKF,inc case,Overall,1,0.11075556412002281
Karlen-pypm,inc case,Overall,1,0.06732200956315113
LANL-GrowthRate,inc case,Overall,1,0.12262223170431097
MUNI-ARIMA,inc case,Overall,1,0.15846565327941725
RobertWalraven-ESG,inc case,Overall,1,0.11839387888692093
USC-SIkJalpha,inc case,Overall,1,0.08442842182919773
epiforecasts-EpiExpert,inc case,Overall,1,0.1256130178434405
epiforecasts-EpiNow2,inc case,Overall,1,0.10510477003226655
IEM_Health-CovidProject,inc case,Overall,2,0.1057769239262446
ILM-EKF,inc case,Overall,2,0.11507599416151883
Karlen-pypm,inc case,Overall,2,0.02644423098156115
LANL-GrowthRate,inc case,Overall,2,0.13778836143023968
MUNI-ARIMA,inc case,Overall,2,0.18371781524031958
RobertWalraven-ESG,inc case,Overall,2,0.12036684446779557
USC-SIkJalpha,inc case,Overall,2,0.09879165536507749
epiforecasts-EpiExpert,inc case,Overall,2,0.11507599416151883
epiforecasts-EpiNow2,inc case,Overall,2,0.0969621802657242
IEM_Health-CovidProject,inc case,Overall,3,0.09589812700966319
ILM-EKF,inc case,Overall,3,0.10707072433117733
LANL-GrowthRate,inc case,Overall,3,0.14510900797514822
MUNI-ARIMA,inc case,Overall,3,0.1750521366049407
RobertWalraven-ESG,inc case,Overall,3,0.11253351638889046
USC-SIkJalpha,inc case,Overall,3,0.11369365573310583
epiforecasts-EpiExpert,inc case,Overall,3,0.1253214159785371
epiforecasts-EpiNow2,inc case,Overall,3,0.1253214159785371
IEM_Health-CovidProject,inc case,Overall,4,0.08717475727158054
ILM-EKF,inc case,Overall,4,0.09825629421288316
LANL-GrowthRate,inc case,Overall,4,0.14492803396400264
MUNI-ARIMA,inc case,Overall,4,0.16563203881600302
RobertWalraven-ESG,inc case,Overall,4,0.11711356279919408
USC-SIkJalpha,inc case,Overall,4,0.12466927652817432
epiforecasts-EpiExpert,inc case,Overall,4,0.13481677578046758
epiforecasts-EpiNow2,inc case,Overall,4,0.12740926062769461
IEM_Health-CovidProject,inc death,Overall,1,0.0820864583682397
ILM-EKF,inc death,Overall,1,0.08926902347546069
Karlen-pypm,inc death,Overall,1,0.14574534444973172
LANL-GrowthRate,inc death,Overall,1,0.09918780386162297
MUNI-ARIMA,inc death,Overall,1,0.15525047560949684
RobertWalraven-ESG,inc death,Overall,1,0.08816693676588709
UMass-MechBayes,inc death,Overall,1,0.10986956735441314
USC-SIkJalpha,inc death,Overall,1,0.07762523780474842
epiforecasts-EpiExpert,inc death,Overall,1,0.0751739145056511
epiforecasts-EpiNow2,inc death,Overall,1,0.07762523780474842
IEM_Health-CovidProject,inc death,Overall,2,0.07405793920906917
ILM-EKF,inc death,Overall,2,0.09366151135264629
Karlen-pypm,inc death,Overall,2,0.11373183521392764
LANL-GrowthRate,inc death,Overall,2,0.10981004779275773
MUNI-ARIMA,inc death,Overall,2,0.14474960845408974
RobertWalraven-ESG,inc death,Overall,2,0.0816536252817942
UMass-MechBayes,inc death,Overall,2,0.1326871410829156
USC-SIkJalpha,inc death,Overall,2,0.09798435033815305
epiforecasts-EpiExpert,inc death,Overall,2,0.07492920908211705
epiforecasts-EpiNow2,inc death,Overall,2,0.0767347321925295
IEM_Health-CovidProject,inc death,Overall,3,0.07328837487657618
ILM-EKF,inc death,Overall,3,0.09954092707117063
LANL-GrowthRate,inc death,Overall,3,0.1282546560340083
MUNI-ARIMA,inc death,Overall,3,0.1710062080453444
RobertWalraven-ESG,inc death,Overall,3,0.0855031040226722
UMass-MechBayes,inc death,Overall,3,0.15879147889924838
USC-SIkJalpha,inc death,Overall,3,0.11115403522947388
epiforecasts-EpiExpert,inc death,Overall,3,0.09012489342930313
epiforecasts-EpiNow2,inc death,Overall,3,0.08233632239220286
IEM_Health-CovidProject,inc death,Overall,4,0.0655058820794469
ILM-EKF,inc death,Overall,4,0.08566153810389208
LANL-GrowthRate,inc death,Overall,4,0.14525217330659962
MUNI-ARIMA,inc death,Overall,4,0.1758315782132522
RobertWalraven-ESG,inc death,Overall,4,0.08566153810389208
UMass-MechBayes,inc death,Overall,4,0.15185454482053598
USC-SIkJalpha,inc death,Overall,4,0.11722105214216813
epiforecasts-EpiExpert,inc death,Overall,4,0.09152876674114496
epiforecasts-EpiNow2,inc death,Overall,4,0.08148292648906809
IEM_Health-CovidProject,inc case,AT,1,0.10328817853807544
ILM-EKF,inc case,AT,1,0.09812376961117165
LANL-GrowthRate,inc case,AT,1,0.14536854757210615
MUNI-ARIMA,inc case,AT,1,0.25322263125463657
RobertWalraven-ESG,inc case,AT,1,0.18690241830699364
USC-SIkJalpha,inc case,AT,1,0.08440754375154551
epiforecasts-EpiNow2,inc case,AT,1,0.12868691096547102
IEM_Health-CovidProject,inc case,AT,2,0.08513185180472158
