model,target_variable,location,horizon,weight
DSMPG-bayes,inc case,Overall,1,0.12209545776610209
IEM_Health-CovidProject,inc case,Overall,1,0.12841074006434874
ILM-EKF,inc case,Overall,1,0.13181987475632262
LANL-GrowthRate,inc case,Overall,1,0.1584643175262176
USC-SIkJalpha,inc case,Overall,1,0.11284580187473071
epiforecasts-EpiExpert,inc case,Overall,1,0.18619557309330567
epiforecasts-EpiNow2,inc case,Overall,1,0.1601682349189726
IEM_Health-CovidProject,inc death,Overall,1,0.13655004352625033
ILM-EKF,inc death,Overall,1,0.11686715436931333
LANL-GrowthRate,inc death,Overall,1,0.20922990540312553
RobertWalraven-ESG,inc death,Overall,1,0.15443159684516405
USC-SIkJalpha,inc death,Overall,1,0.12594421490285224
epiforecasts-EpiExpert,inc death,Overall,1,0.13103287005044223
epiforecasts-EpiNow2,inc death,Overall,1,0.12594421490285224
IEM_Health-CovidProject,inc case,AT,1,0.20507182017301348
ILM-EKF,inc case,AT,1,0.16448468909710456
LANL-GrowthRate,inc case,AT,1,0.19494481670767946
USC-SIkJalpha,inc case,AT,1,0.1925674408941712
epiforecasts-EpiNow2,inc case,AT,1,0.24293123312803133
IEM_Health-CovidProject,inc death,AT,1,0.1501642954489719
ILM-EKF,inc death,AT,1,0.10726021103497994
LANL-GrowthRate,inc death,AT,1,0.19874686162363925
RobertWalraven-ESG,inc death,AT,1,0.23301356190357705
USC-SIkJalpha,inc death,AT,1,0.17476017142768283
epiforecasts-EpiNow2,inc death,AT,1,0.13605489856114902
IEM_Health-CovidProject,inc case,BE,1,0.2099337420976243
ILM-EKF,inc case,BE,1,0.16021259265345011
LANL-GrowthRate,inc case,BE,1,0.2705812675924935
USC-SIkJalpha,inc case,BE,1,0.12953358554959796
epiforecasts-EpiNow2,inc case,BE,1,0.22973881210683408
IEM_Health-CovidProject,inc death,BE,1,0.1658583037101053
ILM-EKF,inc death,BE,1,0.1454897400965836
LANL-GrowthRate,inc death,BE,1,0.17834226205387665
RobertWalraven-ESG,inc death,BE,1,0.19745036155964918
USC-SIkJalpha,inc death,BE,1,0.18428700412233923
epiforecasts-EpiNow2,inc death,BE,1,0.12857232845744596
IEM_Health-CovidProject,inc case,BG,1,0.20333156981488865
ILM-EKF,inc case,BG,1,0.20524979217163286
LANL-GrowthRate,inc case,BG,1,0.23908217549662727
USC-SIkJalpha,inc case,BG,1,0.10510375831011153
epiforecasts-EpiNow2,inc case,BG,1,0.24723270420673962
IEM_Health-CovidProject,inc death,BG,1,0.15717326876257715
ILM-EKF,inc death,BG,1,0.20956435835010284
LANL-GrowthRate,inc death,BG,1,0.13443751290383957
RobertWalraven-ESG,inc death,BG,1,0.17962659287151675
USC-SIkJalpha,inc death,BG,1,0.16317224848633963
epiforecasts-EpiNow2,inc death,BG,1,0.15602601862562404
IEM_Health-CovidProject,inc case,CH,1,0.12381849770965632
ILM-EKF,inc case,CH,1,0.2968469111757145
LANL-GrowthRate,inc case,CH,1,0.14842345558785724
USC-SIkJalpha,inc case,CH,1,0.1378217801887246
epiforecasts-EpiNow2,inc case,CH,1,0.29308935533804725
IEM_Health-CovidProject,inc death,CH,1,0.18616308587619318
ILM-EKF,inc death,CH,1,0.11689310043388874
LANL-GrowthRate,inc death,CH,1,0.13227377154361097
RobertWalraven-ESG,inc death,CH,1,0.22506283516375591
USC-SIkJalpha,inc death,CH,1,0.23561265556205702
epiforecasts-EpiNow2,inc death,CH,1,0.10399455142049413
IEM_Health-CovidProject,inc case,CY,1,0.1734597824718203
ILM-EKF,inc case,CY,1,0.18288694456268015
LANL-GrowthRate,inc case,CY,1,0.3135204763931659
USC-SIkJalpha,inc case,CY,1,0.12494256608737551
epiforecasts-EpiNow2,inc case,CY,1,0.20519023048495816
IEM_Health-CovidProject,inc death,CY,1,0.1663031624863686
ILM-EKF,inc death,CY,1,0.09087604507451835
LANL-GrowthRate,inc death,CY,1,0.1663031624863686
RobertWalraven-ESG,inc death,CY,1,0.2217375499818248
USC-SIkJalpha,inc death,CY,1,0.13304252998909488
epiforecasts-EpiNow2,inc death,CY,1,0.2217375499818248
IEM_Health-CovidProject,inc case,CZ,1,0.1421264606548791
ILM-EKF,inc case,CZ,1,0.26867741877223716
LANL-GrowthRate,inc case,CZ,1,0.2547201502645885
USC-SIkJalpha,inc case,CZ,1,0.13433870938611858
epiforecasts-EpiNow2,inc case,CZ,1,0.20013726092217668
IEM_Health-CovidProject,inc death,CZ,1,0.12694625947832297
ILM-EKF,inc death,CZ,1,0.15208413264234732
LANL-GrowthRate,inc death,CZ,1,0.21334024162329276
RobertWalraven-ESG,inc death,CZ,1,0.1010559039268229
USC-SIkJalpha,inc death,CZ,1,0.09309392361743685
epiforecasts-EpiNow2,inc death,CZ,1,0.31347953871177714
DSMPG-bayes,inc case,DE,1,0.07868673119089713
FIAS_FZJ-Epi1Ger,inc case,DE,1,0.0998390782852243
IEM_Health-CovidProject,inc case,DE,1,0.07487930871391824
ILM-EKF,inc case,DE,1,0.09014596388860059
ITWW-county_repro,inc case,DE,1,0.06929130060093926
Karlen-pypm,inc case,DE,1,0.0998390782852243
LANL-GrowthRate,inc case,DE,1,0.0884288979097701
UNIPV-BayesINGARCHX,inc case,DE,1,0.08518380073876936
USC-SIkJalpha,inc case,DE,1,0.05158352378069923
epiforecasts-EpiExpert,inc case,DE,1,0.09378822505581678
epiforecasts-EpiNow2,inc case,DE,1,0.08073942852631184
itwm-dSEIR,inc case,DE,1,0.08759466302382887
FIAS_FZJ-Epi1Ger,inc death,DE,1,0.029392308081395906
IEM_Health-CovidProject,inc death,DE,1,0.06006254260111337
ILM-EKF,inc death,DE,1,0.0680990799914032
ITWW-county_repro,inc death,DE,1,0.07991792858495252
Karlen-pypm,inc death,DE,1,0.08953767924795604
LANL-GrowthRate,inc death,DE,1,0.18245413884489156
MIT_CovidAnalytics-DELPHI,inc death,DE,1,0.07861845007137604
