model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,1,NA,0.48,0.93,NA,273,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.54,0.91,-0.11,315,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.09,1.16,0.4,0.83,-0.13,315,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.02,1.18,0.29,0.63,-0.17,306,32,NA
ILM-EKF,inc case,2,Overall,1.95,2.36,0.31,0.68,-0.22,315,32,NA
Karlen-pypm,inc case,2,Overall,4.09,3.13,0.33,0.74,0.28,111,29,NA
LANL-GrowthRate,inc case,2,Overall,1.12,1.11,0.36,0.75,-0.37,285,32,NA
MUNI-ARIMA,inc case,2,Overall,0.89,0.97,0.55,0.9,-0.19,315,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.01,1.21,0.3,0.6,-0.33,315,32,NA
USC-SIkJalpha,inc case,2,Overall,1.21,1.49,0.22,0.26,-0.21,315,32,NA
UVA-Ensemble,inc case,2,Overall,1.67,NA,0.53,0.84,NA,315,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.87,2.05,0.33,0.72,-0.19,315,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.78,NA,0.54,0.94,NA,261,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.46,0.95,-0.13,316,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.91,0.84,0.44,0.9,-0.14,316,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.99,1.01,0.33,0.72,-0.12,306,31,NA
ILM-EKF,inc case,1,Overall,1.32,1.41,0.33,0.78,-0.2,316,32,NA
Karlen-pypm,inc case,1,Overall,2.03,1.48,0.53,0.88,0.15,139,29,NA
LANL-GrowthRate,inc case,1,Overall,0.86,0.85,0.42,0.86,-0.4,316,32,NA
MUNI-ARIMA,inc case,1,Overall,0.8,0.88,0.55,0.89,-0.15,316,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.18,1.28,0.37,0.68,-0.26,316,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.74,NA,NA,NA,NA,316,32,NA
USC-SIkJalpha,inc case,1,Overall,1.3,1.41,0.26,0.41,-0.14,316,32,NA
UVA-Ensemble,inc case,1,Overall,2.44,NA,0.53,0.86,NA,316,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.49,1.46,0.42,0.8,-0.12,316,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.5,0.87,-0.04,312,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.31,1.55,0.31,0.72,-0.06,312,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.14,1.45,0.22,0.46,-0.15,305,32,NA
ILM-EKF,inc case,4,Overall,3.23,4.25,0.27,0.64,-0.26,310,32,NA
Karlen-pypm,inc case,4,Overall,5.98,4.46,0.18,0.55,0.4,55,29,NA
LANL-GrowthRate,inc case,4,Overall,1.03,1.13,0.25,0.64,-0.26,281,32,NA
MUNI-ARIMA,inc case,4,Overall,1.04,1.12,0.5,0.87,-0.21,312,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.89,1.2,0.31,0.56,-0.34,312,32,NA
USC-SIkJalpha,inc case,4,Overall,1.09,1.53,0.22,0.23,-0.31,312,32,NA
UVA-Ensemble,inc case,4,Overall,1.16,NA,0.32,0.57,NA,312,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.6,1.83,0.24,0.59,-0.29,311,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.52,0.88,-0.06,313,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.23,1.38,0.32,0.76,-0.09,313,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.13,1.39,0.23,0.55,-0.14,305,32,NA
ILM-EKF,inc case,3,Overall,2.52,3.31,0.28,0.65,-0.23,312,32,NA
Karlen-pypm,inc case,3,Overall,6.15,5.02,0.28,0.59,0.38,83,29,NA
LANL-GrowthRate,inc case,3,Overall,1.13,1.2,0.29,0.66,-0.35,282,32,NA
MUNI-ARIMA,inc case,3,Overall,1,1.06,0.51,0.88,-0.22,313,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.96,1.22,0.27,0.57,-0.33,313,32,NA
USC-SIkJalpha,inc case,3,Overall,1.15,1.54,0.2,0.23,-0.27,313,32,NA
UVA-Ensemble,inc case,3,Overall,1.31,NA,0.46,0.74,NA,313,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.79,1.98,0.28,0.67,-0.25,312,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.2,0.6,-0.16,281,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.16,0.17,-0.36,312,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,1.37,NA,0.39,0.83,NA,236,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.84,0.98,0.11,317,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.51,0.45,0.71,0.96,0.12,317,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.67,0.57,0.53,0.85,0.01,307,31,NA
ILM-EKF,inc death,2,Overall,0.67,0.67,0.81,0.97,0.08,317,32,NA
Karlen-pypm,inc death,2,Overall,0.8,0.68,0.44,0.95,0.09,111,29,NA
LANL-GrowthRate,inc death,2,Overall,0.6,0.6,0.37,0.75,0.02,286,32,NA
MUNI-ARIMA,inc death,2,Overall,0.8,0.66,0.66,0.96,0,317,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.67,0.63,0.74,0.93,-0.1,317,32,NA
UMass-MechBayes,inc death,2,Overall,0.72,0.64,0.51,0.91,0.13,317,32,NA
USC-SIkJalpha,inc death,2,Overall,0.63,0.63,0.34,0.45,0.22,317,32,NA
USyd-OneModelMan,inc death,2,Overall,0.61,NA,NA,NA,NA,317,32,NA
epiforecasts-EpiNow2,inc death,2,Overall,0.9,0.83,0.49,0.93,0.12,295,32,NA
BIOCOMSC-Gompertz,inc death,1,Overall,1.23,NA,0.37,0.81,NA,227,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.75,0.98,0.09,318,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.66,0.53,0.68,0.96,0.08,318,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.76,0.59,0.55,0.84,0.02,307,31,NA
ILM-EKF,inc death,1,Overall,0.81,0.74,0.82,0.97,0.1,318,32,NA
Imperial-DeCa,inc death,1,Overall,1.24,1.23,0.14,0.43,-0.15,141,21,NA
Imperial-RtI0,inc death,1,Overall,1.19,1.1,0.33,0.74,-0.08,141,21,NA
Imperial-sbkp,inc death,1,Overall,1.06,1.04,0.33,0.63,-0.13,141,21,NA
Karlen-pypm,inc death,1,Overall,0.66,0.65,0.59,0.96,-0.05,139,29,NA
LANL-GrowthRate,inc death,1,Overall,0.91,0.78,0.38,0.82,0.03,318,32,NA
MUNI-ARIMA,inc death,1,Overall,0.9,0.7,0.63,0.94,0,318,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.75,0.66,0.73,0.93,-0.08,318,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.9,NA,NA,NA,NA,318,32,NA
UMass-MechBayes,inc death,1,Overall,0.95,0.76,0.49,0.9,0.13,318,32,NA
USC-SIkJalpha,inc death,1,Overall,0.91,0.89,0.31,0.4,0.23,318,32,NA
USyd-OneModelMan,inc death,1,Overall,0.8,NA,NA,NA,NA,318,32,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.09,0.87,0.53,0.94,0.09,303,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.79,0.96,0.19,315,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.37,0.41,0.68,0.92,0.21,315,32,NA
IEM_Health-CovidProject,inc death,4,Overall,0.7,0.69,0.4,0.82,0.12,307,32,NA
ILM-EKF,inc death,4,Overall,0.47,0.59,0.67,0.96,0.01,313,32,NA
Karlen-pypm,inc death,4,Overall,1.4,1.05,0.29,0.76,0.26,55,29,NA
LANL-GrowthRate,inc death,4,Overall,0.35,0.36,0.34,0.71,0.05,284,32,NA
MUNI-ARIMA,inc death,4,Overall,0.58,0.59,0.68,0.95,0.05,315,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.5,0.53,0.75,0.9,-0.1,315,32,NA
UMass-MechBayes,inc death,4,Overall,0.59,0.65,0.47,0.85,0.06,315,32,NA
USC-SIkJalpha,inc death,4,Overall,0.41,0.48,0.33,0.45,0.11,315,32,NA
USyd-OneModelMan,inc death,4,Overall,0.46,NA,NA,NA,NA,315,32,NA
epiforecasts-EpiNow2,inc death,4,Overall,0.74,0.83,0.51,0.89,0.02,293,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.82,0.97,0.15,316,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.41,0.41,0.7,0.94,0.17,316,32,NA
IEM_Health-CovidProject,inc death,3,Overall,0.64,0.6,0.49,0.86,0.04,307,32,NA
ILM-EKF,inc death,3,Overall,0.57,0.64,0.71,0.96,0.04,314,32,NA
Karlen-pypm,inc death,3,Overall,1,0.84,0.35,0.84,0.19,83,29,NA
LANL-GrowthRate,inc death,3,Overall,0.46,0.47,0.35,0.72,0.02,285,32,NA
MUNI-ARIMA,inc death,3,Overall,0.7,0.65,0.65,0.96,0.02,316,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.58,0.59,0.74,0.92,-0.1,316,32,NA
UMass-MechBayes,inc death,3,Overall,0.62,0.62,0.49,0.89,0.09,316,32,NA
USC-SIkJalpha,inc death,3,Overall,0.51,0.54,0.33,0.42,0.18,316,32,NA
USyd-OneModelMan,inc death,3,Overall,0.51,NA,NA,NA,NA,316,32,NA
epiforecasts-EpiNow2,inc death,3,Overall,0.81,0.85,0.52,0.89,0.1,294,32,NA
LANL-GrowthRate,inc death,5,Overall,NA,NA,0.29,0.68,0.15,284,32,NA
USC-SIkJalpha,inc death,5,Overall,NA,NA,0.31,0.42,0.04,315,32,NA
EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.8,1,0,10,1,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,0.8,1.03,0.4,0.8,0.03,10,1,Austria
IEM_Health-CovidProject,inc case,4,AT,0.62,0.93,0.3,0.4,-0.07,10,1,Austria
ILM-EKF,inc case,4,AT,0.6,0.91,0.5,0.6,-0.51,10,1,Austria
LANL-GrowthRate,inc case,4,AT,0.62,0.75,0.33,0.67,-0.26,9,1,Austria
MUNI-ARIMA,inc case,4,AT,0.57,0.75,0.7,1,-0.17,10,1,Austria
RobertWalraven-ESG,inc case,4,AT,0.64,0.94,0.5,0.6,-0.46,10,1,Austria
USC-SIkJalpha,inc case,4,AT,0.85,1.35,0.3,0.3,-0.06,10,1,Austria
UVA-Ensemble,inc case,4,AT,0.87,NA,0.4,0.7,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,4,AT,5.52,6.76,0.2,0.4,-0.14,10,1,Austria
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.9,1,-0.04,10,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,0.66,0.72,0.3,0.9,-0.02,10,1,Austria
IEM_Health-CovidProject,inc case,3,AT,0.62,0.82,0.1,0.6,-0.08,10,1,Austria
ILM-EKF,inc case,3,AT,0.62,0.89,0.4,0.7,-0.39,10,1,Austria
LANL-GrowthRate,inc case,3,AT,0.6,0.75,0.33,0.78,-0.41,9,1,Austria
MUNI-ARIMA,inc case,3,AT,0.71,0.76,0.8,1,-0.16,10,1,Austria
RobertWalraven-ESG,inc case,3,AT,0.72,0.97,0.5,0.5,-0.48,10,1,Austria
USC-SIkJalpha,inc case,3,AT,0.84,1.21,0,0,0,10,1,Austria
UVA-Ensemble,inc case,3,AT,0.7,NA,0.7,0.9,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,3,AT,3.3,3.93,0.2,0.4,-0.08,10,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.8,1,-0.11,10,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.51,0.54,0.7,0.9,-0.07,10,1,Austria
IEM_Health-CovidProject,inc case,2,AT,0.62,0.75,0.3,0.7,-0.08,10,1,Austria
ILM-EKF,inc case,2,AT,0.79,0.97,0.6,0.7,-0.24,10,1,Austria
Karlen-pypm,inc case,2,AT,2.24,1.74,0.5,0.75,0.35,4,1,Austria
LANL-GrowthRate,inc case,2,AT,0.63,0.66,0.56,0.67,-0.37,9,1,Austria
MUNI-ARIMA,inc case,2,AT,0.59,0.63,0.7,1,-0.13,10,1,Austria
RobertWalraven-ESG,inc case,2,AT,0.79,0.98,0.5,0.6,-0.45,10,1,Austria
USC-SIkJalpha,inc case,2,AT,0.81,1.04,0.2,0.3,0.05,10,1,Austria
UVA-Ensemble,inc case,2,AT,1.14,NA,0.6,1,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,2,AT,1.75,2.04,0.3,0.8,-0.04,10,1,Austria
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.8,1,-0.14,10,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.61,0.54,0.5,0.9,-0.12,10,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.57,0.66,0.5,0.6,-0.07,10,1,Austria
ILM-EKF,inc case,1,AT,0.9,0.94,0.5,0.8,-0.16,10,1,Austria
Karlen-pypm,inc case,1,AT,1.4,0.81,0.6,1,0.12,5,1,Austria
LANL-GrowthRate,inc case,1,AT,0.73,0.7,0.4,0.8,-0.4,10,1,Austria
MUNI-ARIMA,inc case,1,AT,0.71,0.56,0.5,1,-0.13,10,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.82,0.83,0.6,0.8,-0.34,10,1,Austria
SDSC_ISG-TrendModel,inc case,1,AT,0.66,NA,NA,NA,NA,10,1,Austria
USC-SIkJalpha,inc case,1,AT,0.78,0.93,0.2,0.4,0.01,10,1,Austria
UVA-Ensemble,inc case,1,AT,1.38,NA,0.6,1,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,1.02,0.98,0.2,0.7,-0.15,10,1,Austria
LANL-GrowthRate,inc case,5,AT,NA,NA,0.11,0.56,-0.12,9,1,Austria
USC-SIkJalpha,inc case,5,AT,NA,NA,0.1,0.1,-0.26,10,1,Austria
EuroCOVIDhub-baseline,inc death,4,AT,1,1,0.9,1,0.29,10,1,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,0.35,0.33,0.6,1,0.33,10,1,Austria
IEM_Health-CovidProject,inc death,4,AT,0.7,0.59,0.5,0.9,0.28,10,1,Austria
ILM-EKF,inc death,4,AT,0.25,0.23,0.8,1,-0.1,10,1,Austria
LANL-GrowthRate,inc death,4,AT,0.53,0.52,0.33,0.56,0.53,9,1,Austria
MUNI-ARIMA,inc death,4,AT,0.38,0.42,0.9,1,0.01,10,1,Austria
RobertWalraven-ESG,inc death,4,AT,0.33,0.28,0.9,1,-0.08,10,1,Austria
UMass-MechBayes,inc death,4,AT,0.4,0.33,0.4,0.9,-0.16,10,1,Austria
USC-SIkJalpha,inc death,4,AT,0.44,0.41,0.3,0.4,0.33,10,1,Austria
USyd-OneModelMan,inc death,4,AT,0.35,NA,NA,NA,NA,10,1,Austria
