model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,1,Overall,1.37,1.14,0.39,0.85,0.42,66,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.17,0.87,-0.16,127,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.9,0.81,0.66,0.98,-0.01,127,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.32,1.15,0.51,0.93,-0.04,127,32,NA
ILM-EKF,inc case,1,Overall,1.21,1.13,0.53,0.91,0.02,127,32,NA
LANL-GrowthRate,inc case,1,Overall,1.08,0.94,0.58,0.94,-0.25,127,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.1,NA,0.34,0.83,NA,127,32,NA
USC-SIkJalpha,inc case,1,Overall,1.12,1.32,0.54,0.8,-0.18,127,32,NA
UVA-Ensemble,inc case,1,Overall,1.36,NA,0.24,0.58,NA,99,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.91,0.82,0.31,0.8,0.09,87,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.11,0.92,0.5,0.94,0.16,127,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.3,0.95,-0.04,128,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.67,0.69,0.76,0.99,0.07,128,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.96,0.97,0.67,0.98,-0.2,128,32,NA
ILM-EKF,inc death,1,Overall,0.96,1.09,0.84,0.98,0.12,128,32,NA
LANL-GrowthRate,inc death,1,Overall,0.61,0.63,0.41,0.9,-0.08,128,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.81,0.84,0.45,0.77,-0.25,128,32,NA
USC-SIkJalpha,inc death,1,Overall,0.8,1.03,0.56,0.81,0.06,128,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,0.9,1.02,0.34,0.72,0.11,88,32,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.08,1.06,0.42,0.86,0.41,128,32,NA
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.25,1,-0.52,4,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.56,0.68,1,1,0.15,4,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.68,0.77,0.75,1,0.28,4,1,Austria
ILM-EKF,inc case,1,AT,0.74,0.96,0.75,1,0.25,4,1,Austria
LANL-GrowthRate,inc case,1,AT,0.84,0.81,0.5,1,-0.5,4,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.46,NA,0.75,1,NA,4,1,Austria
USC-SIkJalpha,inc case,1,AT,0.57,0.82,0.75,1,-0.05,4,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,0.65,0.65,0.75,1,0.4,4,1,Austria
EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.25,1,-0.32,4,1,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,0.79,0.93,1,1,0.05,4,1,Austria
IEM_Health-CovidProject,inc death,1,AT,1.35,1.35,0.75,1,-0.25,4,1,Austria
ILM-EKF,inc death,1,AT,0.84,1.89,1,1,0.07,4,1,Austria
LANL-GrowthRate,inc death,1,AT,0.79,0.84,0.5,1,-0.06,4,1,Austria
RobertWalraven-ESG,inc death,1,AT,1.11,0.87,0.25,1,-0.3,4,1,Austria
USC-SIkJalpha,inc death,1,AT,0.89,1.16,0.75,1,0.2,4,1,Austria
epiforecasts-EpiNow2,inc death,1,AT,1.72,1.49,0.25,1,0.76,4,1,Austria
EuroCOVIDhub-baseline,inc case,1,BE,1,1,0,1,-0.41,4,1,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,0.57,0.47,0.5,1,-0.15,4,1,Belgium
IEM_Health-CovidProject,inc case,1,BE,0.7,0.58,0.5,1,-0.1,4,1,Belgium
ILM-EKF,inc case,1,BE,0.87,0.76,0.5,0.75,-0.15,4,1,Belgium
LANL-GrowthRate,inc case,1,BE,0.41,0.45,0.5,1,-0.08,4,1,Belgium
RobertWalraven-ESG,inc case,1,BE,0.66,NA,0.25,0.75,NA,4,1,Belgium
USC-SIkJalpha,inc case,1,BE,1.07,0.94,0.5,0.75,-0.62,4,1,Belgium
epiforecasts-EpiNow2,inc case,1,BE,0.63,0.53,0.75,1,-0.08,4,1,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.75,1,-0.12,4,1,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,0.92,0.73,0.75,1,-0.08,4,1,Belgium
IEM_Health-CovidProject,inc death,1,BE,1.86,1.08,0.5,1,-0.46,4,1,Belgium
ILM-EKF,inc death,1,BE,1.12,1.23,1,1,0.02,4,1,Belgium
LANL-GrowthRate,inc death,1,BE,1.63,1,0,1,-0.39,4,1,Belgium
RobertWalraven-ESG,inc death,1,BE,1.27,0.9,0.5,1,-0.43,4,1,Belgium
USC-SIkJalpha,inc death,1,BE,1.48,0.97,0.25,1,-0.5,4,1,Belgium
epiforecasts-EpiNow2,inc death,1,BE,2.42,1.39,0,1,0.43,4,1,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,1,1,0,0.75,-0.49,4,1,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,0.82,0.79,0.75,1,-0.08,4,1,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,1.32,1.07,0.75,1,-0.12,4,1,Bulgaria
ILM-EKF,inc case,1,BG,1.22,1.06,0.5,1,0.34,4,1,Bulgaria
LANL-GrowthRate,inc case,1,BG,0.78,0.91,1,1,-0.1,4,1,Bulgaria
RobertWalraven-ESG,inc case,1,BG,1.27,NA,0,0.5,NA,4,1,Bulgaria
USC-SIkJalpha,inc case,1,BG,1.68,2.07,0.25,0.5,-0.7,4,1,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,0.9,0.88,0.75,1,0.4,4,1,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,1,1,0,0.75,-0.51,4,1,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,0.99,0.92,0.5,1,0,4,1,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,1.52,1.36,0.75,1,-0.34,4,1,Bulgaria
ILM-EKF,inc death,1,BG,1.04,1.02,0.75,1,0.2,4,1,Bulgaria
LANL-GrowthRate,inc death,1,BG,1.69,1.59,0,0.75,-0,4,1,Bulgaria
RobertWalraven-ESG,inc death,1,BG,1.17,1.19,0,0.5,-0.5,4,1,Bulgaria
USC-SIkJalpha,inc death,1,BG,1.31,1.31,0.25,0.5,-0.38,4,1,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,1.6,1.37,0,0.75,0.43,4,1,Bulgaria
EuroCOVIDhub-baseline,inc case,1,CH,1,1,0,1,-0.7,4,1,Switzerland
EuroCOVIDhub-ensemble,inc case,1,CH,0.83,0.96,0.5,1,-0.38,4,1,Switzerland
IEM_Health-CovidProject,inc case,1,CH,1.83,1.87,0.5,0.75,-0.6,4,1,Switzerland
ILM-EKF,inc case,1,CH,0.73,0.78,0.75,1,-0.28,4,1,Switzerland
LANL-GrowthRate,inc case,1,CH,1.92,1.56,0.5,1,-0.2,4,1,Switzerland
RobertWalraven-ESG,inc case,1,CH,2.75,NA,0,0.75,NA,4,1,Switzerland
USC-SIkJalpha,inc case,1,CH,1.69,1.68,0,1,-0.7,4,1,Switzerland
epiforecasts-EpiNow2,inc case,1,CH,0.54,0.79,0.75,1,0.08,4,1,Switzerland
