model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.87,NA,0.51,0.93,NA,268,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.52,0.91,0.06,312,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.91,1.02,0.41,0.84,-0.02,312,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.9,1.07,0.25,0.58,-0.01,305,32,NA
ILM-EKF,inc case,2,Overall,1.42,1.78,0.34,0.74,-0.14,311,32,NA
Karlen-pypm,inc case,2,Overall,5.39,2.85,0.31,0.69,0.35,55,29,NA
LANL-GrowthRate,inc case,2,Overall,0.89,0.96,0.41,0.77,-0.31,282,32,NA
MUNI-ARIMA,inc case,2,Overall,0.86,0.97,0.56,0.89,-0.11,312,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.91,1.14,0.35,0.66,-0.23,312,32,NA
USC-SIkJalpha,inc case,2,Overall,1.05,1.35,0.24,0.25,-0.08,312,32,NA
UVA-Ensemble,inc case,2,Overall,1.41,NA,0.59,0.84,NA,312,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.37,1.64,0.32,0.72,-0.17,311,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.69,NA,0.53,0.94,NA,271,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.42,0.94,0.02,313,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.85,0.8,0.43,0.89,-0.03,313,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.89,0.97,0.33,0.69,-0.03,305,32,NA
ILM-EKF,inc case,1,Overall,1.13,1.28,0.38,0.79,-0.13,312,32,NA
Karlen-pypm,inc case,1,Overall,2.35,1.29,0.54,0.87,0.28,83,29,NA
LANL-GrowthRate,inc case,1,Overall,0.81,0.76,0.43,0.84,-0.36,282,32,NA
MUNI-ARIMA,inc case,1,Overall,0.75,0.85,0.55,0.88,-0.08,313,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.09,1.22,0.39,0.72,-0.17,313,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.65,NA,NA,NA,NA,313,32,NA
USC-SIkJalpha,inc case,1,Overall,1.21,1.38,0.28,0.34,0.02,313,32,NA
UVA-Ensemble,inc case,1,Overall,1.89,NA,0.6,0.88,NA,313,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.28,1.31,0.39,0.79,-0.11,312,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.47,0.85,0.16,310,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.75,0.78,0.3,0.72,0.07,310,32,NA
IEM_Health-CovidProject,inc case,4,Overall,0.88,1.01,0.2,0.45,0.07,305,32,NA
ILM-EKF,inc case,4,Overall,0.93,1.02,0.34,0.73,-0.13,309,32,NA
LANL-GrowthRate,inc case,4,Overall,0.82,0.87,0.29,0.72,-0.06,279,32,NA
MUNI-ARIMA,inc case,4,Overall,0.79,0.78,0.53,0.87,-0.15,279,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.78,1.07,0.36,0.64,-0.28,310,32,NA
UMass-SemiMech,inc case,4,Overall,0.95,1.12,0.27,0.7,0.11,310,32,NA
USC-SIkJalpha,inc case,4,Overall,0.8,1,0.19,0.2,-0.1,310,32,NA
UVA-Ensemble,inc case,4,Overall,1.19,NA,0.35,0.61,NA,310,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.73,0.82,0.15,0.47,0.3,68,19,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,0.7,0.85,0.15,0.39,0.22,54,16,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.89,0.94,0.27,0.61,-0.24,309,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.5,0.86,0.11,311,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.92,1.06,0.33,0.78,0.04,311,32,NA
IEM_Health-CovidProject,inc case,3,Overall,0.89,1.1,0.21,0.51,0.03,305,32,NA
ILM-EKF,inc case,3,Overall,1.19,1.57,0.33,0.73,-0.14,311,32,NA
Karlen-pypm,inc case,3,Overall,6.8,4.31,0.19,0.63,0.38,27,18,NA
LANL-GrowthRate,inc case,3,Overall,0.84,0.94,0.35,0.72,-0.22,280,32,NA
MUNI-ARIMA,inc case,3,Overall,0.79,0.86,0.55,0.88,-0.11,311,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.83,1.09,0.32,0.64,-0.25,311,32,NA
USC-SIkJalpha,inc case,3,Overall,0.85,1.13,0.21,0.22,-0.13,311,32,NA
UVA-Ensemble,inc case,3,Overall,1.21,NA,0.48,0.76,NA,311,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.16,1.34,0.15,0.53,0.17,60,19,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.1,1.27,0.29,0.66,-0.18,310,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.22,0.69,0.12,279,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.16,0.17,-0.08,310,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,1.05,NA,0.46,0.87,NA,240,31,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.77,0.97,0.21,315,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.41,0.39,0.7,0.96,0.18,315,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.69,0.6,0.5,0.86,0.16,307,32,NA
ILM-EKF,inc death,2,Overall,0.45,0.49,0.82,0.97,0.09,314,32,NA
Karlen-pypm,inc death,2,Overall,0.58,0.58,0.49,0.95,0.15,55,29,NA
LANL-GrowthRate,inc death,2,Overall,0.47,0.48,0.36,0.75,0.1,284,32,NA
MUNI-ARIMA,inc death,2,Overall,0.63,0.57,0.64,0.96,0.09,315,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.52,0.53,0.75,0.94,-0.05,315,32,NA
UMass-MechBayes,inc death,2,Overall,0.57,0.53,0.5,0.91,0.17,315,32,NA
