model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.51,0.88,-0.21,316,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.49,1.66,0.35,0.75,-0.24,316,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.25,1.5,0.28,0.57,-0.37,307,32,NA
ILM-EKF,inc case,4,Overall,5,6.23,0.23,0.6,-0.34,315,32,NA
Karlen-pypm,inc case,4,Overall,5.72,5.71,0.23,0.61,0.27,111,29,NA
LANL-GrowthRate,inc case,4,Overall,1.13,1.21,0.27,0.61,-0.45,285,32,NA
MUNI-ARIMA,inc case,4,Overall,1.11,1.15,0.5,0.88,-0.31,316,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.99,1.26,0.25,0.49,-0.49,316,32,NA
USC-SIkJalpha,inc case,4,Overall,1.31,1.78,0.2,0.23,-0.49,316,32,NA
UVA-Ensemble,inc case,4,Overall,1.26,NA,0.27,0.54,NA,316,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,2.06,2.22,0.27,0.61,-0.33,316,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.52,0.89,-0.22,317,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.3,1.37,0.34,0.78,-0.25,317,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.22,1.4,0.24,0.6,-0.3,307,31,NA
ILM-EKF,inc case,3,Overall,2.77,3.32,0.27,0.63,-0.3,316,32,NA
Karlen-pypm,inc case,3,Overall,4.4,4.54,0.25,0.63,0.16,139,29,NA
LANL-GrowthRate,inc case,3,Overall,1.12,1.21,0.29,0.67,-0.42,317,32,NA
MUNI-ARIMA,inc case,3,Overall,1.02,1.06,0.52,0.89,-0.29,317,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.05,1.28,0.22,0.5,-0.49,317,32,NA
USC-SIkJalpha,inc case,3,Overall,1.27,1.6,0.15,0.23,-0.45,317,32,NA
UVA-Ensemble,inc case,3,Overall,1.45,NA,0.39,0.73,NA,317,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,2.03,2.12,0.32,0.69,-0.25,317,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.54,0.91,-0.25,318,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.12,1.14,0.42,0.84,-0.24,318,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.14,1.23,0.26,0.62,-0.21,308,31,NA
ILM-EKF,inc case,2,Overall,2,2.29,0.31,0.67,-0.27,318,32,NA
Karlen-pypm,inc case,2,Overall,3.04,2.89,0.35,0.75,0.14,167,29,NA
LANL-GrowthRate,inc case,2,Overall,1.12,1.11,0.34,0.78,-0.42,318,32,NA
MUNI-ARIMA,inc case,2,Overall,0.91,0.96,0.57,0.9,-0.25,318,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.1,1.29,0.25,0.53,-0.49,318,32,NA
USC-SIkJalpha,inc case,2,Overall,1.76,2.19,0.17,0.28,-0.36,318,32,NA
UVA-Ensemble,inc case,2,Overall,1.7,NA,0.47,0.83,NA,318,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.92,2.05,0.38,0.76,-0.2,318,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.48,0.94,-0.26,320,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.9,0.82,0.52,0.9,-0.21,320,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.07,1.06,0.33,0.75,-0.16,310,31,NA
ILM-EKF,inc case,1,Overall,1.31,1.38,0.35,0.77,-0.23,320,32,NA
Karlen-pypm,inc case,1,Overall,1.63,1.4,0.56,0.92,0.12,195,29,NA
LANL-GrowthRate,inc case,1,Overall,0.92,0.88,0.42,0.88,-0.45,320,32,NA
MUNI-ARIMA,inc case,1,Overall,0.85,0.89,0.59,0.89,-0.2,320,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.15,1.25,0.35,0.66,-0.4,320,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.79,NA,NA,NA,NA,320,32,NA
USC-SIkJalpha,inc case,1,Overall,1.5,1.66,0.25,0.5,-0.26,320,32,NA
UVA-Ensemble,inc case,1,Overall,2.8,NA,0.46,0.83,NA,320,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.47,1.47,0.51,0.84,-0.15,320,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.21,0.57,-0.39,283,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.17,0.2,-0.53,314,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.84,0.98,0.06,317,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.5,0.5,0.68,0.95,0.08,317,32,NA
IEM_Health-CovidProject,inc death,4,Overall,0.67,0.65,0.44,0.86,-0.11,307,31,NA
ILM-EKF,inc death,4,Overall,0.94,1.03,0.66,0.96,-0.02,316,32,NA
Karlen-pypm,inc death,4,Overall,1.73,1.22,0.28,0.83,0.13,111,29,NA
LANL-GrowthRate,inc death,4,Overall,0.5,0.49,0.31,0.7,-0.11,286,32,NA
MUNI-ARIMA,inc death,4,Overall,0.75,0.72,0.67,0.95,-0.07,317,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.64,0.65,0.71,0.88,-0.21,317,32,NA
UMass-MechBayes,inc death,4,Overall,0.99,1.01,0.49,0.86,0,317,32,NA
USC-SIkJalpha,inc death,4,Overall,0.58,0.67,0.32,0.45,0.03,317,32,NA
USyd-OneModelMan,inc death,4,Overall,0.59,NA,NA,NA,NA,317,32,NA
epiforecasts-EpiNow2,inc death,4,Overall,1.32,1.33,0.52,0.89,0.03,295,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.88,0.98,0.03,318,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.51,0.45,0.68,0.95,0.06,318,32,NA
IEM_Health-CovidProject,inc death,3,Overall,0.67,0.59,0.48,0.87,-0.09,307,31,NA
ILM-EKF,inc death,3,Overall,0.75,0.77,0.74,0.97,0.03,317,32,NA
Karlen-pypm,inc death,3,Overall,1.15,0.86,0.38,0.84,0.02,139,29,NA
LANL-GrowthRate,inc death,3,Overall,0.59,0.57,0.33,0.7,-0.1,318,32,NA
MUNI-ARIMA,inc death,3,Overall,0.82,0.71,0.68,0.95,-0.08,318,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.71,0.68,0.7,0.9,-0.2,318,32,NA
UMass-MechBayes,inc death,3,Overall,0.88,0.79,0.49,0.88,0.03,318,32,NA
USC-SIkJalpha,inc death,3,Overall,0.73,0.77,0.32,0.44,0.11,318,32,NA
USyd-OneModelMan,inc death,3,Overall,0.59,NA,NA,NA,NA,318,32,NA
