model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.5,0.88,-0.27,317,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.5,1.61,0.36,0.76,-0.3,317,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.3,1.51,0.25,0.55,-0.4,307,31,NA
ILM-EKF,inc case,4,Overall,4.98,5.98,0.22,0.59,-0.36,316,32,NA
Karlen-pypm,inc case,4,Overall,4.76,5.31,0.24,0.6,0.15,139,29,NA
LANL-GrowthRate,inc case,4,Overall,1.08,1.2,0.27,0.62,-0.45,317,32,NA
MUNI-ARIMA,inc case,4,Overall,1.11,1.13,0.51,0.88,-0.33,317,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.03,1.3,0.22,0.45,-0.56,317,32,NA
USC-SIkJalpha,inc case,4,Overall,1.33,1.75,0.16,0.21,-0.56,317,32,NA
UVA-Ensemble,inc case,4,Overall,1.33,NA,0.22,0.5,NA,317,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,2.09,2.21,0.31,0.63,-0.32,317,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.51,0.88,-0.27,318,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.32,1.36,0.34,0.78,-0.28,318,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.3,1.46,0.23,0.58,-0.29,308,31,NA
ILM-EKF,inc case,3,Overall,2.8,3.28,0.27,0.62,-0.31,317,32,NA
Karlen-pypm,inc case,3,Overall,3.78,4.18,0.27,0.66,0.13,167,29,NA
LANL-GrowthRate,inc case,3,Overall,1.14,1.21,0.25,0.67,-0.47,318,32,NA
MUNI-ARIMA,inc case,3,Overall,1.04,1.07,0.53,0.89,-0.3,318,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.09,1.33,0.19,0.47,-0.55,318,32,NA
USC-SIkJalpha,inc case,3,Overall,2.33,3.07,0.13,0.23,-0.5,318,32,NA
