model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.47,0.87,-0.3,318,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.52,1.61,0.36,0.76,-0.31,318,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.4,1.6,0.21,0.54,-0.36,308,31,NA
ILM-EKF,inc case,4,Overall,5.04,5.97,0.21,0.58,-0.32,317,32,NA
Karlen-pypm,inc case,4,Overall,4.19,4.91,0.24,0.62,0.12,167,29,NA
LANL-GrowthRate,inc case,4,Overall,1.09,1.2,0.25,0.61,-0.48,318,32,NA
MUNI-ARIMA,inc case,4,Overall,1.12,1.15,0.51,0.88,-0.31,318,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.06,1.33,0.2,0.42,-0.6,318,32,NA
USC-SIkJalpha,inc case,4,Overall,2.9,4.04,0.13,0.19,-0.55,318,32,NA
UVA-Ensemble,inc case,4,Overall,1.37,NA,0.18,0.47,NA,318,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,2.15,2.28,0.34,0.65,-0.28,318,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.48,0.88,-0.28,320,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.33,1.38,0.33,0.78,-0.26,320,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.35,1.52,0.22,0.56,-0.28,310,31,NA
ILM-EKF,inc case,3,Overall,2.85,3.32,0.26,0.61,-0.25,319,32,NA
Karlen-pypm,inc case,3,Overall,3.4,4.07,0.28,0.7,0.11,195,29,NA
LANL-GrowthRate,inc case,3,Overall,1.13,1.2,0.25,0.67,-0.45,320,32,NA
MUNI-ARIMA,inc case,3,Overall,1.04,1.07,0.52,0.89,-0.26,320,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.06,1.29,0.17,0.44,-0.57,320,32,NA
USC-SIkJalpha,inc case,3,Overall,2.29,3.05,0.12,0.23,-0.48,320,32,NA
UVA-Ensemble,inc case,3,Overall,1.66,NA,0.31,0.68,NA,320,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,2.08,2.19,0.38,0.72,-0.2,320,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.47,0.9,-0.27,320,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.12,1.13,0.42,0.83,-0.2,320,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.22,1.3,0.25,0.61,-0.16,310,31,NA
ILM-EKF,inc case,2,Overall,2.03,2.31,0.31,0.68,-0.17,320,32,NA
Karlen-pypm,inc case,2,Overall,2.45,2.74,0.37,0.78,0.11,223,29,NA
LANL-GrowthRate,inc case,2,Overall,1.08,1.08,0.36,0.79,-0.38,320,32,NA
MUNI-ARIMA,inc case,2,Overall,0.93,0.98,0.58,0.92,-0.19,320,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.04,1.24,0.23,0.5,-0.49,320,32,NA
USC-SIkJalpha,inc case,2,Overall,1.72,2.15,0.14,0.3,-0.37,320,32,NA
UVA-Ensemble,inc case,2,Overall,2.11,NA,0.36,0.78,NA,320,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.93,2.09,0.43,0.81,-0.14,320,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.4,0.94,-0.26,320,32,NA
