model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,1,Overall,1.26,1.09,0.41,0.88,0.44,106,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.17,0.88,-0.02,191,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.93,0.82,0.65,0.96,0.05,191,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.36,1.18,0.51,0.94,0.07,191,32,NA
ILM-EKF,inc case,1,Overall,1.19,1.08,0.47,0.91,0.07,191,32,NA
LANL-GrowthRate,inc case,1,Overall,1,0.91,0.62,0.93,-0.23,191,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.1,NA,0.3,0.75,NA,191,32,NA
USC-SIkJalpha,inc case,1,Overall,1.11,1.18,0.55,0.76,-0.08,191,32,NA
UVA-Ensemble,inc case,1,Overall,1.51,NA,0.18,0.47,NA,163,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.93,0.93,0.3,0.78,0.07,108,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.08,0.91,0.5,0.91,0.14,190,32,NA
DSMPG-bayes,inc case,2,Overall,1.29,1.17,0.4,0.93,0.34,87,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.25,0.8,-0.08,159,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1,0.88,0.47,0.94,0.11,159,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.38,1.28,0.31,0.83,0.1,159,32,NA
ILM-EKF,inc case,2,Overall,1.36,1.23,0.4,0.89,0.14,159,32,NA
LANL-GrowthRate,inc case,2,Overall,0.89,0.83,0.44,0.91,-0.11,159,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.06,NA,0.3,0.63,NA,159,32,NA
USC-SIkJalpha,inc case,2,Overall,0.98,1.04,0.43,0.72,-0.08,159,32,NA
UVA-Ensemble,inc case,2,Overall,1.21,NA,0.09,0.34,NA,131,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,1.04,1.08,0.27,0.67,0.11,95,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.01,0.93,0.46,0.84,0.14,158,32,NA
DSMPG-bayes,inc case,3,Overall,1.86,1.98,0.35,NA,0.38,66,25,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.3,0.78,-0.08,127,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.15,1.09,0.38,0.9,0.2,127,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.69,1.67,0.31,0.78,0.13,127,32,NA
ILM-EKF,inc case,3,Overall,1.77,1.72,0.35,0.83,0.18,127,32,NA
LANL-GrowthRate,inc case,3,Overall,0.92,0.89,0.37,0.82,-0.03,127,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.13,NA,0.31,0.64,NA,127,32,NA
USC-SIkJalpha,inc case,3,Overall,1.08,1.07,0.39,0.61,-0.07,127,32,NA
UVA-Ensemble,inc case,3,Overall,1.13,NA,0.06,0.21,NA,99,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.08,1.12,0.25,0.68,0.17,87,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.24,1.25,0.44,0.83,0.2,127,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.32,0.95,-0.07,192,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.69,0.72,0.78,0.99,0.05,192,32,NA
IEM_Health-CovidProject,inc death,1,Overall,1.04,1.07,0.69,0.99,-0.18,192,32,NA
ILM-EKF,inc death,1,Overall,0.9,1.08,0.88,0.99,0.09,192,32,NA
LANL-GrowthRate,inc death,1,Overall,0.83,0.85,0.43,0.87,-0.14,192,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.85,0.86,0.43,0.77,-0.24,192,32,NA
USC-SIkJalpha,inc death,1,Overall,0.82,1.08,0.58,0.78,0.06,192,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,0.99,1.04,0.33,0.71,0.06,109,32,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.17,1.11,0.51,0.91,0.31,190,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.47,0.9,-0.1,160,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.64,0.66,0.74,0.98,0.1,160,32,NA
IEM_Health-CovidProject,inc death,2,Overall,1.05,1.03,0.61,0.98,-0.2,160,32,NA
ILM-EKF,inc death,2,Overall,1.07,1.1,0.76,0.99,0.18,160,32,NA
LANL-GrowthRate,inc death,2,Overall,0.78,0.77,0.43,0.86,-0.19,160,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.89,0.99,0.45,0.66,-0.34,160,32,NA
USC-SIkJalpha,inc death,2,Overall,0.85,0.92,0.58,0.83,0.14,160,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,0.97,1.02,0.33,0.78,0.08,96,32,NA
epiforecasts-EpiNow2,inc death,2,Overall,1.23,1.21,0.4,0.84,0.42,159,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.53,0.84,-0.11,128,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.66,0.63,0.66,0.98,0.12,128,32,NA
IEM_Health-CovidProject,inc death,3,Overall,1.11,1.01,0.52,0.97,-0.23,128,32,NA
ILM-EKF,inc death,3,Overall,1.4,1.28,0.67,0.98,0.24,128,32,NA
LANL-GrowthRate,inc death,3,Overall,0.8,0.74,0.44,0.84,-0.16,128,32,NA
RobertWalraven-ESG,inc death,3,Overall,1.05,1.16,0.39,0.64,-0.44,128,32,NA
USC-SIkJalpha,inc death,3,Overall,0.87,0.87,0.51,0.77,0.19,128,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,0.87,0.83,0.39,0.78,0.1,88,32,NA
epiforecasts-EpiNow2,inc death,3,Overall,1.46,1.42,0.42,0.84,0.47,128,32,NA
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.17,1,-0.07,6,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.66,0.71,0.83,1,0.28,6,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.92,0.9,0.5,1,0.43,6,1,Austria
ILM-EKF,inc case,1,AT,0.93,1.02,0.67,1,0.37,6,1,Austria
LANL-GrowthRate,inc case,1,AT,0.71,0.7,0.5,1,-0.23,6,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.81,NA,0.5,0.83,NA,6,1,Austria
USC-SIkJalpha,inc case,1,AT,0.62,0.86,0.67,0.83,0.2,6,1,Austria
UVA-Ensemble,inc case,1,AT,1.42,NA,0.2,1,NA,5,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,0.65,0.61,0.67,1,0.33,6,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0,1,-0.12,5,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.92,0.95,0.4,1,0.48,5,1,Austria
IEM_Health-CovidProject,inc case,2,AT,1.12,1.13,0.4,1,0.54,5,1,Austria
ILM-EKF,inc case,2,AT,1.27,1.38,0.6,1,0.54,5,1,Austria
LANL-GrowthRate,inc case,2,AT,0.82,0.76,0.2,1,0.1,5,1,Austria
