model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.44,0.87,-0.29,320,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.54,1.64,0.35,0.76,-0.26,320,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.49,1.7,0.19,0.52,-0.31,310,31,NA
ILM-EKF,inc case,4,Overall,5.13,6.08,0.21,0.58,-0.23,319,32,NA
Karlen-pypm,inc case,4,Overall,3.83,4.81,0.27,0.64,0.12,195,29,NA
LANL-GrowthRate,inc case,4,Overall,1.09,1.2,0.23,0.62,-0.45,320,32,NA
MUNI-ARIMA,inc case,4,Overall,1.11,1.16,0.51,0.9,-0.25,320,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.03,1.3,0.17,0.4,-0.6,320,32,NA
USC-SIkJalpha,inc case,4,Overall,2.85,4.03,0.12,0.2,-0.49,320,32,NA
UVA-Ensemble,inc case,4,Overall,1.48,NA,0.16,0.45,NA,320,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,2.16,2.35,0.38,0.69,-0.21,320,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.45,0.88,-0.25,320,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.34,1.39,0.35,0.79,-0.18,320,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.43,1.6,0.21,0.55,-0.17,310,31,NA
ILM-EKF,inc case,3,Overall,2.95,3.42,0.26,0.64,-0.14,319,32,NA
Karlen-pypm,inc case,3,Overall,3.15,3.96,0.28,0.71,0.12,223,29,NA
LANL-GrowthRate,inc case,3,Overall,1.11,1.18,0.28,0.68,-0.38,320,32,NA
MUNI-ARIMA,inc case,3,Overall,1.05,1.09,0.54,0.92,-0.18,320,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.02,1.26,0.17,0.44,-0.51,320,32,NA
USC-SIkJalpha,inc case,3,Overall,2.3,3.09,0.11,0.25,-0.38,320,32,NA
UVA-Ensemble,inc case,3,Overall,1.84,NA,0.29,0.66,NA,320,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,2.12,2.24,0.43,0.78,-0.13,320,32,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.44,0.9,-0.23,320,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,1.13,1.14,0.45,0.85,-0.12,320,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.28,1.36,0.25,0.65,-0.04,310,31,NA
ILM-EKF,inc case,2,Overall,2.09,2.36,0.34,0.71,-0.07,320,32,NA
Karlen-pypm,inc case,2,Overall,2.34,2.68,0.38,0.79,0.12,251,29,NA
LANL-GrowthRate,inc case,2,Overall,1.07,1.06,0.4,0.82,-0.31,320,32,NA
MUNI-ARIMA,inc case,2,Overall,0.96,1.02,0.59,0.92,-0.11,320,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.02,1.21,0.24,0.51,-0.42,320,32,NA
USC-SIkJalpha,inc case,2,Overall,1.72,2.17,0.13,0.32,-0.28,320,32,NA
UVA-Ensemble,inc case,2,Overall,2.28,NA,0.31,0.78,NA,320,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,2.08,2.23,0.47,0.86,-0.05,320,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.91,NA,0.66,0.98,NA,195,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.37,0.94,-0.21,320,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.88,0.8,0.53,0.93,-0.07,320,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.18,1.12,0.34,0.81,0.03,310,31,NA
ILM-EKF,inc case,1,Overall,1.28,1.33,0.41,0.8,-0.03,320,32,NA
Karlen-pypm,inc case,1,Overall,1.38,1.33,0.56,0.94,0.11,279,29,NA
LANL-GrowthRate,inc case,1,Overall,0.88,0.85,0.5,0.92,-0.36,320,32,NA
MUNI-ARIMA,inc case,1,Overall,0.84,0.89,0.59,0.92,-0.07,320,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.12,1.2,0.32,0.66,-0.27,320,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.76,NA,NA,NA,NA,320,32,NA
USC-SIkJalpha,inc case,1,Overall,1.38,1.55,0.2,0.58,-0.16,320,32,NA
UVA-Ensemble,inc case,1,Overall,3.53,NA,0.32,0.77,NA,320,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.58,1.59,0.58,0.91,-0.01,320,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.2,0.56,-0.49,318,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.11,0.18,-0.59,318,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.86,0.98,-0.11,320,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.66,0.57,0.63,0.96,-0.09,320,32,NA
