location,target,type,quantile,target_end_date,forecast_date,value
AT,1 wk ahead inc case,point,NA,2021-07-17,2021-07-12,2299
AT,1 wk ahead inc case,quantile,0.01,2021-07-17,2021-07-12,1538
AT,1 wk ahead inc case,quantile,0.025,2021-07-17,2021-07-12,1643
AT,1 wk ahead inc case,quantile,0.05,2021-07-17,2021-07-12,1762
AT,1 wk ahead inc case,quantile,0.1,2021-07-17,2021-07-12,1876
AT,1 wk ahead inc case,quantile,0.15,2021-07-17,2021-07-12,1948
AT,1 wk ahead inc case,quantile,0.2,2021-07-17,2021-07-12,2015
AT,1 wk ahead inc case,quantile,0.25,2021-07-17,2021-07-12,2057
AT,1 wk ahead inc case,quantile,0.3,2021-07-17,2021-07-12,2100
AT,1 wk ahead inc case,quantile,0.35,2021-07-17,2021-07-12,2155
AT,1 wk ahead inc case,quantile,0.4,2021-07-17,2021-07-12,2207
AT,1 wk ahead inc case,quantile,0.45,2021-07-17,2021-07-12,2255
AT,1 wk ahead inc case,quantile,0.5,2021-07-17,2021-07-12,2299
AT,1 wk ahead inc case,quantile,0.55,2021-07-17,2021-07-12,2359
AT,1 wk ahead inc case,quantile,0.6,2021-07-17,2021-07-12,2405
AT,1 wk ahead inc case,quantile,0.65,2021-07-17,2021-07-12,2453
AT,1 wk ahead inc case,quantile,0.7,2021-07-17,2021-07-12,2501
AT,1 wk ahead inc case,quantile,0.75,2021-07-17,2021-07-12,2566
AT,1 wk ahead inc case,quantile,0.8,2021-07-17,2021-07-12,2633
AT,1 wk ahead inc case,quantile,0.85,2021-07-17,2021-07-12,2733
AT,1 wk ahead inc case,quantile,0.9,2021-07-17,2021-07-12,2857
AT,1 wk ahead inc case,quantile,0.95,2021-07-17,2021-07-12,3053
AT,1 wk ahead inc case,quantile,0.975,2021-07-17,2021-07-12,3209
AT,1 wk ahead inc case,quantile,0.99,2021-07-17,2021-07-12,3433
AT,1 wk ahead inc death,point,NA,2021-07-17,2021-07-12,9
AT,1 wk ahead inc death,quantile,0.01,2021-07-17,2021-07-12,1
AT,1 wk ahead inc death,quantile,0.025,2021-07-17,2021-07-12,2
AT,1 wk ahead inc death,quantile,0.05,2021-07-17,2021-07-12,3
AT,1 wk ahead inc death,quantile,0.1,2021-07-17,2021-07-12,4
AT,1 wk ahead inc death,quantile,0.15,2021-07-17,2021-07-12,4
AT,1 wk ahead inc death,quantile,0.2,2021-07-17,2021-07-12,5
AT,1 wk ahead inc death,quantile,0.25,2021-07-17,2021-07-12,6
AT,1 wk ahead inc death,quantile,0.3,2021-07-17,2021-07-12,6
AT,1 wk ahead inc death,quantile,0.35,2021-07-17,2021-07-12,7
AT,1 wk ahead inc death,quantile,0.4,2021-07-17,2021-07-12,8
AT,1 wk ahead inc death,quantile,0.45,2021-07-17,2021-07-12,8
AT,1 wk ahead inc death,quantile,0.5,2021-07-17,2021-07-12,9
AT,1 wk ahead inc death,quantile,0.55,2021-07-17,2021-07-12,10
AT,1 wk ahead inc death,quantile,0.6,2021-07-17,2021-07-12,11
AT,1 wk ahead inc death,quantile,0.65,2021-07-17,2021-07-12,11
AT,1 wk ahead inc death,quantile,0.7,2021-07-17,2021-07-12,13
AT,1 wk ahead inc death,quantile,0.75,2021-07-17,2021-07-12,14
AT,1 wk ahead inc death,quantile,0.8,2021-07-17,2021-07-12,15
AT,1 wk ahead inc death,quantile,0.85,2021-07-17,2021-07-12,18
AT,1 wk ahead inc death,quantile,0.9,2021-07-17,2021-07-12,21
AT,1 wk ahead inc death,quantile,0.95,2021-07-17,2021-07-12,26
AT,1 wk ahead inc death,quantile,0.975,2021-07-17,2021-07-12,32
AT,1 wk ahead inc death,quantile,0.99,2021-07-17,2021-07-12,39
AT,2 wk ahead inc case,point,NA,2021-07-24,2021-07-12,6526
AT,2 wk ahead inc case,quantile,0.01,2021-07-24,2021-07-12,3752
AT,2 wk ahead inc case,quantile,0.025,2021-07-24,2021-07-12,4131
AT,2 wk ahead inc case,quantile,0.05,2021-07-24,2021-07-12,4582
AT,2 wk ahead inc case,quantile,0.1,2021-07-24,2021-07-12,4957
AT,2 wk ahead inc case,quantile,0.15,2021-07-24,2021-07-12,5185
AT,2 wk ahead inc case,quantile,0.2,2021-07-24,2021-07-12,5427
AT,2 wk ahead inc case,quantile,0.25,2021-07-24,2021-07-12,5603
AT,2 wk ahead inc case,quantile,0.3,2021-07-24,2021-07-12,5781
AT,2 wk ahead inc case,quantile,0.35,2021-07-24,2021-07-12,5958
AT,2 wk ahead inc case,quantile,0.4,2021-07-24,2021-07-12,6189
AT,2 wk ahead inc case,quantile,0.45,2021-07-24,2021-07-12,6322
AT,2 wk ahead inc case,quantile,0.5,2021-07-24,2021-07-12,6526
AT,2 wk ahead inc case,quantile,0.55,2021-07-24,2021-07-12,6682
AT,2 wk ahead inc case,quantile,0.6,2021-07-24,2021-07-12,6856
AT,2 wk ahead inc case,quantile,0.65,2021-07-24,2021-07-12,7036
AT,2 wk ahead inc case,quantile,0.7,2021-07-24,2021-07-12,7249
AT,2 wk ahead inc case,quantile,0.75,2021-07-24,2021-07-12,7449
AT,2 wk ahead inc case,quantile,0.8,2021-07-24,2021-07-12,7758
AT,2 wk ahead inc case,quantile,0.85,2021-07-24,2021-07-12,8130
AT,2 wk ahead inc case,quantile,0.9,2021-07-24,2021-07-12,8504
AT,2 wk ahead inc case,quantile,0.95,2021-07-24,2021-07-12,9039
AT,2 wk ahead inc case,quantile,0.975,2021-07-24,2021-07-12,9654
AT,2 wk ahead inc case,quantile,0.99,2021-07-24,2021-07-12,10321
AT,2 wk ahead inc death,point,NA,2021-07-24,2021-07-12,18
AT,2 wk ahead inc death,quantile,0.01,2021-07-24,2021-07-12,2
AT,2 wk ahead inc death,quantile,0.025,2021-07-24,2021-07-12,2
