location_name,location,date,value,source,type
United Kingdom,GB,2021-11-01,1101,Hub,Scraped
United Kingdom,GB,2021-10-31,1009,Hub,Scraped
United Kingdom,GB,2021-10-30,906,Hub,Scraped
United Kingdom,GB,2021-10-29,1034,Hub,Scraped
United Kingdom,GB,2021-10-28,1084,Hub,Scraped
United Kingdom,GB,2021-10-27,1165,Hub,Scraped
United Kingdom,GB,2021-10-26,1123,Hub,Scraped
United Kingdom,GB,2021-10-25,1072,Hub,Scraped
United Kingdom,GB,2021-10-24,972,Hub,Scraped
United Kingdom,GB,2021-10-23,919,Hub,Scraped
United Kingdom,GB,2021-10-22,948,Hub,Scraped
United Kingdom,GB,2021-10-21,990,Hub,Scraped
United Kingdom,GB,2021-10-20,1116,Hub,Scraped
United Kingdom,GB,2021-10-19,1113,Hub,Scraped
United Kingdom,GB,2021-10-18,1093,Hub,Scraped
United Kingdom,GB,2021-10-17,978,Hub,Scraped
United Kingdom,GB,2021-10-16,888,Hub,Scraped
United Kingdom,GB,2021-10-15,958,Hub,Scraped
United Kingdom,GB,2021-10-14,921,Hub,Scraped
United Kingdom,GB,2021-10-13,931,Hub,Scraped
United Kingdom,GB,2021-10-12,949,Hub,Scraped
United Kingdom,GB,2021-10-11,852,Hub,Scraped
United Kingdom,GB,2021-10-10,734,Hub,Scraped
United Kingdom,GB,2021-10-09,773,Hub,Scraped
United Kingdom,GB,2021-10-08,790,Hub,Scraped
United Kingdom,GB,2021-10-07,823,Hub,Scraped
United Kingdom,GB,2021-10-06,782,Hub,Scraped
United Kingdom,GB,2021-10-05,839,Hub,Scraped
United Kingdom,GB,2021-10-04,816,Hub,Scraped
United Kingdom,GB,2021-10-03,720,Hub,Scraped
United Kingdom,GB,2021-10-02,697,Hub,Scraped
United Kingdom,GB,2021-10-01,696,Hub,Scraped
United Kingdom,GB,2021-09-30,710,Hub,Scraped
United Kingdom,GB,2021-09-29,815,Hub,Scraped
United Kingdom,GB,2021-09-28,783,Hub,Scraped
United Kingdom,GB,2021-09-27,785,Hub,Scraped
United Kingdom,GB,2021-09-26,673,Hub,Scraped
United Kingdom,GB,2021-09-25,676,Hub,Scraped
United Kingdom,GB,2021-09-24,732,Hub,Scraped
United Kingdom,GB,2021-09-23,784,Hub,Scraped
United Kingdom,GB,2021-09-22,753,Hub,Scraped
United Kingdom,GB,2021-09-21,806,Hub,Scraped
United Kingdom,GB,2021-09-20,813,Hub,Scraped
United Kingdom,GB,2021-09-19,733,Hub,Scraped
United Kingdom,GB,2021-09-18,760,Hub,Scraped
United Kingdom,GB,2021-09-17,756,Hub,Scraped
United Kingdom,GB,2021-09-16,897,Hub,Scraped
United Kingdom,GB,2021-09-15,949,Hub,Scraped
United Kingdom,GB,2021-09-14,953,Hub,Scraped
