location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,22481
BE,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,36595
BG,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,20941
CH,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,13322
CY,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,3239
CZ,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,25950
DE,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,101109
DK,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,5092
EE,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,3235
ES,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,39146
FI,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,2610
FR,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,344209
GB,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,18272
GR,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,21120
HR,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,14789
HU,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,46308
IE,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,3383
IS,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,49
IT,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,122807
LI,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,39
LT,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,6507
LU,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,1567
LV,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,2883
MT,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,164
NL,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,51626
NO,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,4711
PL,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,193646
PT,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,2543
RO,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,37181
SE,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,39112
SI,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,7846
SK,1 wk ahead inc case,point,NA,2021-04-05,2021-04-10,5594
AT,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,190
BE,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,281
BG,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,956
CH,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,49
CY,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,8
CZ,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,860
DE,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,854
DK,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,17
EE,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,83
ES,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,516
FI,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,39
FR,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,2711
GB,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,93
GR,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,594
HR,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,210
HU,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,1745
IE,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,32
IS,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,0
IT,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,3037
LI,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,0
LT,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,54
LU,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,8
LV,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,45
MT,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,6
NL,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,176
NO,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,22
PL,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,3145
PT,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,29
RO,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,861
SE,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,125
SI,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,57
SK,1 wk ahead inc death,point,NA,2021-04-05,2021-04-10,568
