location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,32786
BE,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,148767
BG,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,10347
CH,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,62183
CY,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,3793
CZ,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,95338
DE,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,379300
DK,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,32039
EE,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,2636
ES,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,77674
FI,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,9091
FR,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,372286
GB,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,332865
GR,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,37137
HR,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,22033
HU,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,59040
IE,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,35929
IS,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,790
IT,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,116088
LI,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,429
LT,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,11451
LU,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,2923
LV,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,3893
MT,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,733
NL,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,160985
NO,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,27146
PL,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,161298
PT,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,26651
RO,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,5835
SE,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,15209
SI,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,9470
SK,1 wk ahead inc case,point,NA,2021-12-06,2021-12-11,73927
AT,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,435
BE,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,342
BG,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,578
CH,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,149
CY,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,11
CZ,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,873
DE,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,2104
DK,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,81
EE,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,22
ES,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,217
FI,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,67
FR,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,682
GB,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,707
GR,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,651
HR,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,475
HU,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,1290
IE,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,63
IS,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,0
IT,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,543
LI,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,1
LT,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,140
LU,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,16
LV,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,83
MT,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,0
NL,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,383
NO,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,32
PL,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,2621
PT,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,156
RO,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,506
SE,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,9
SI,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,108
SK,1 wk ahead inc death,point,NA,2021-12-06,2021-12-11,572
