location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,14340
BE,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,22249
BG,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,7651
CH,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,10569
CY,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,7032
CZ,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,12179
DE,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,123484
DK,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,5040
EE,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,2003
ES,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,54553
FI,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,1187
FR,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,184354
GB,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,15505
GR,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,15330
HR,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,12812
HU,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,11991
IE,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,2935
IS,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,111
IT,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,80861
LI,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,62
LT,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,7530
LU,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,1091
LV,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,3693
MT,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,122
NL,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,54438
NO,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,2008
PL,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,39323
PT,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,3094
RO,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,11403
SE,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,28337
SI,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,3952
SK,1 wk ahead inc case,point,NA,2021-04-26,2021-05-01,3007
AT,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,149
BE,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,298
BG,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,608
CH,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,51
CY,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,0
CZ,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,410
DE,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,1476
DK,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,23
EE,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,39
ES,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,507
FI,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,10
FR,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,2442
GB,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,116
GR,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,537
HR,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,291
HU,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,1400
IE,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,49
IS,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,0
IT,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,1959
LI,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,1
LT,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,78
LU,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,5
LV,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,50
MT,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,2
NL,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,150
NO,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,10
PL,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,2951
PT,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,13
RO,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,1175
SE,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,121
SI,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,52
SK,1 wk ahead inc death,point,NA,2021-04-26,2021-05-01,281
