location,target,type,quantile,forecast_date,target_end_date,value,scenario_id
AT,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,1471,forecast
BE,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,7609,forecast
BG,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,467,forecast
CH,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,2332,forecast
CY,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,170,forecast
CZ,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,1619,forecast
DE,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,10743,forecast
DK,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,5887,forecast
EE,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,406,forecast
ES,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,23002,forecast
FI,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,587,forecast
FR,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,27058,forecast
GB,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,37537,forecast
GR,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,5580,forecast
HR,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,903,forecast
HU,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,948,forecast
IE,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,3280,forecast
IS,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,0,forecast
IT,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,11387,forecast
LI,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,15,forecast
LT,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,1299,forecast
LU,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,308,forecast
LV,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,1262,forecast
MT,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,36,forecast
NL,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,10430,forecast
NO,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,1495,forecast
PL,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,1795,forecast
PT,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,4694,forecast
RO,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,716,forecast
SE,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,3257,forecast
SI,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,1377,forecast
SK,1 wk ahead inc case,point,NA,2021-06-07,2021-06-12,627,forecast
AT,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,40,forecast
BE,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,73,forecast
BG,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,91,forecast
CH,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,34,forecast
CY,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,2,forecast
CZ,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,25,forecast
DE,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,496,forecast
DK,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,0,forecast
EE,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,8,forecast
ES,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,340,forecast
FI,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,1,forecast
FR,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,395,forecast
GB,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,67,forecast
GR,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,180,forecast
HR,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,44,forecast
HU,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,71,forecast
IE,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,0,forecast
IS,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,0,forecast
IT,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,284,forecast
LI,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,0,forecast
LT,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,37,forecast
LU,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,4,forecast
LV,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,59,forecast
MT,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,1,forecast
NL,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,49,forecast
NO,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,3,forecast
PL,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,151,forecast
PT,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,14,forecast
RO,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,693,forecast
SE,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,78,forecast
SI,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,9,forecast
SK,1 wk ahead inc death,point,NA,2021-06-07,2021-06-12,70,forecast
