location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,6614
BE,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,11422
BG,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,6022
CH,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,11438
CY,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,2119
CZ,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,1308
DE,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,39789
DK,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,7927
EE,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,2134
ES,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,61460
FI,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,6599
FR,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,101559
GB,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,195046
GR,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,24103
HR,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,2282
HU,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,393
IE,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,13348
IS,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,677
IT,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,44100
LI,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,74
LT,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,4034
LU,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,215
LV,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,744
MT,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,415
NL,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,14907
NO,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,4029
PL,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,1270
PT,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,16173
RO,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,2633
SE,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,5582
SI,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,1480
SK,1 wk ahead inc case,point,NA,2021-08-16,2021-08-21,522
AT,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,9
BE,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,33
BG,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,84
CH,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,15
CY,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,13
CZ,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,1
DE,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,60
DK,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,12
EE,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,4
ES,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,484
FI,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,18
FR,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,387
GB,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,692
GR,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,154
HR,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,18
HU,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,4
IE,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,21
IS,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,0
IT,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,226
LI,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,0
LT,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,30
LU,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,4
LV,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,0
MT,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,3
NL,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,55
NO,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,3
PL,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,8
PT,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,90
RO,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,34
SE,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,2
SI,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,0
SK,1 wk ahead inc death,point,NA,2021-08-16,2021-08-21,7
