location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,16747
BE,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,19580
BG,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,14231
CH,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,9872
CY,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,3868
CZ,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,21462
DE,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,111751
DK,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,4608
EE,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,4079
ES,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,45619
FI,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,1816
FR,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,437262
GB,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,11124
GR,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,17160
HR,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,14624
HU,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,27656
IE,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,2239
IS,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,26
IT,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,88491
LI,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,99
LT,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,7516
LU,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,958
LV,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,3507
MT,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,412
NL,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,51459
NO,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,5119
PL,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,136412
PT,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,4581
RO,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,26689
SE,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,37819
SI,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,6611
SK,1 wk ahead inc case,point,NA,2021-04-12,2021-04-17,3978
AT,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,241
BE,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,343
BG,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,772
CH,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,106
CY,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,12
CZ,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,692
DE,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,1365
DK,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,19
EE,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,86
ES,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,862
FI,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,41
FR,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,3021
GB,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,128
GR,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,512
HR,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,313
HU,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,1766
IE,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,79
IS,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,0
IT,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,3182
LI,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,0
LT,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,96
LU,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,21
LV,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,62
MT,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,0
NL,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,141
NO,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,5
PL,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,3998
PT,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,32
RO,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,1006
SE,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,92
SI,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,25
SK,1 wk ahead inc death,point,NA,2021-04-12,2021-04-17,541
