location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,13770
BE,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,89502
BG,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,8516
CH,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,71121
CY,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,4122
CZ,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,73214
DE,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,318288
DK,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,51372
EE,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,3091
ES,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,98276
FI,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,8942
FR,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,384281
GB,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,386017
GR,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,32007
HR,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,19122
HU,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,30461
IE,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,29154
IS,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,711
IT,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,137115
LI,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,473
LT,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,10296
LU,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,2663
LV,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,4078
MT,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,624
NL,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,107854
NO,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,36799
PL,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,145771
PT,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,29180
RO,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,5697
SE,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,18206
SI,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,7326
SK,1 wk ahead inc case,point,NA,2021-12-13,2021-12-18,44964
AT,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,305
BE,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,373
BG,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,581
CH,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,177
CY,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,12
CZ,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,778
DE,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,2769
DK,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,58
EE,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,26
ES,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,190
FI,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,56
FR,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,978
GB,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,711
GR,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,643
HR,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,325
HU,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,1282
IE,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,96
IS,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,0
IT,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,718
LI,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,3
LT,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,98
LU,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,0
LV,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,89
MT,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,3
NL,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,484
NO,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,32
PL,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,2827
PT,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,130
RO,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,455
SE,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,10
SI,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,95
SK,1 wk ahead inc death,point,NA,2021-12-13,2021-12-18,545
