location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,415
BE,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,4215
BG,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,441
CH,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,420
CY,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,4213
CZ,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,1082
DE,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,2803
DK,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,2652
EE,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,195
ES,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,61235
FI,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,1500
FR,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,20063
GB,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,213176
GR,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,5639
HR,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,496
HU,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,74
IE,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,3355
IS,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,0
IT,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,4913
LI,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,10
LT,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,202
LU,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,547
LV,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,360
MT,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,64
NL,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,7445
NO,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,1234
PL,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,376
PT,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,17945
RO,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,193
SE,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,995
SI,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,111
SK,1 wk ahead inc case,point,NA,2021-07-05,2021-07-10,118
AT,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,19
BE,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,9
BG,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,65
CH,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,19
CY,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,8
CZ,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,15
DE,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,215
DK,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,6
EE,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
ES,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,95
FI,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,2
FR,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,136
GB,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,146
GR,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,38
HR,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,18
HU,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,11
IE,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,1
IS,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
IT,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,116
LI,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
LT,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,7
LU,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
LV,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,28
MT,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
NL,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,14
NO,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,2
PL,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,40
PT,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,33
RO,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,294
SE,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
SI,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
SK,1 wk ahead inc death,point,NA,2021-07-05,2021-07-10,0
