location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,6161
BE,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,17726
BG,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,2825
CH,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,6592
CY,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,1808
CZ,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,7486
DE,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,78257
DK,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,7010
EE,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,2235
ES,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,28864
FI,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,1590
FR,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,91999
GB,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,13870
GR,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,14348
HR,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,6347
HU,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,6072
IE,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,3070
IS,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,4
IT,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,52523
LI,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,20
LT,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,8681
LU,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,691
LV,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,5351
MT,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,62
NL,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,46510
NO,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,2771
PL,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,23518
PT,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,1959
RO,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,6202
SE,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,27717
SI,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,3251
SK,1 wk ahead inc case,point,NA,2021-05-10,2021-05-15,1554
AT,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,97
BE,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,246
BG,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,359
CH,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,87
CY,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,27
CZ,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,215
DE,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,1388
DK,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,3
EE,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,35
ES,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,424
FI,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,5
FR,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,1252
GB,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,21
GR,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,500
HR,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,309
HU,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,491
IE,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,13
IS,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,0
IT,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,1389
LI,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,1
LT,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,68
LU,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,0
LV,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,67
MT,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,2
NL,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,133
NO,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,4
PL,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,1734
PT,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,15
RO,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,506
SE,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,98
SI,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,22
SK,1 wk ahead inc death,point,NA,2021-05-10,2021-05-15,204
