location,target,type,quantile,forecast_date,target_end_date,value
AT,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,472
BE,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,550
BG,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,288
CH,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,220
CY,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,1612
CZ,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,653
DE,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,2298
DK,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,831
EE,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,104
ES,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,20729
FI,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,786
FR,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,10361
GB,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,120190
GR,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,1810
HR,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,380
HU,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,214
IE,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,2158
IS,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,0
IT,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,3529
LI,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,7
LT,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,104
LU,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,21
LV,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,158
MT,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,22
NL,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,3030
NO,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,1198
PL,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,518
PT,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,10527
RO,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,248
SE,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,2435
SI,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,69
SK,1 wk ahead inc case,point,NA,2021-06-28,2021-07-03,170
AT,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,16
BE,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,32
BG,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,13
CH,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,14
CY,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,0
CZ,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,19
DE,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,217
DK,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,1
EE,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,2
ES,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,99
FI,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,2
FR,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,136
GB,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,137
GR,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,99
HR,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,22
HU,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,8
IE,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,0
IS,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,0
IT,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,95
LI,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,0
LT,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,7
LU,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,0
LV,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,0
MT,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,0
NL,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,17
NO,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,1
PL,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,67
PT,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,19
RO,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,1314
SE,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,17
SI,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,1
SK,1 wk ahead inc death,point,NA,2021-06-28,2021-07-03,31
